sample,breed,BioProject,BioSample,sex
PT-ci2,Putian black duck,PRJNA450892,SAMN08952604,female
SS1,Sansui duck,PRJNA450892,SAMN08952608,male
SS2,Sansui duck,PRJNA450892,SAMN08952609,female
SS-ci2,Sansui duck,PRJNA450892,SAMN08952610,female
SM1,Shan sheldrake,PRJNA450892,SAMN08952605,male
SM2,Shan sheldrake,PRJNA450892,SAMN08952606,female
SM-ci2,Shan sheldrake,PRJNA450892,SAMN08952607,female
SX1,Shaoxing duck,PRJNA450892,SAMN08952611,male
SX2,Shaoxing duck,PRJNA450892,SAMN08952612,female
SX-ci2,Shaoxing duck,PRJNA450892,SAMN08952613,female
TW1,Taiwan duck,PRJNA450892,SAMN08952614,male
TW2,Taiwan duck,PRJNA450892,SAMN08952615,female
TW-ci2,Taiwan duck,PRJNA450892,SAMN08952616,female
YX1,Youxian sheldrake,PRJNA450892,SAMN08952617,male
YX2,Youxian sheldrake,PRJNA450892,SAMN08952618,female
YX-ci2,Youxian sheldrake,PRJNA450892,SAMN08952619,female
