BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome
PRJNA485198,SAMN09786201,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB8,GCF_000239415.1
PRJNA485198,SAMN09786198,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZB3,GCF_000239415.1
PRJNA485198,SAMN09786199,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZB5,GCF_000239415.1
PRJNA485198,SAMN09786156,Haplochromis_burtoni,male,Lufubu River,2015-11,MFF7,GCF_000239415.1
PRJNA485198,SAMN09786157,Haplochromis_burtoni,male,Lufubu River,2015-11,MFF9,GCF_000239415.1
PRJNA485198,SAMN09786154,Haplochromis_burtoni,male,Lufubu River,2015-11,MFF5,GCF_000239415.1
PRJNA485198,SAMN09786155,Haplochromis_burtoni,female,Lufubu River,2015-11,MFF6,GCF_000239415.1
PRJNA485198,SAMN09786160,Haplochromis_burtoni,female,Lunzua River,2015-08,MJF5,GCF_000239415.1
PRJNA485198,SAMN09786161,Haplochromis_burtoni,female,Lunzua River,2015-08,MJF6,GCF_000239415.1
PRJNA485198,SAMN09786158,Haplochromis_burtoni,male,Lunzua River,2015-08,MJF3,GCF_000239415.1
PRJNA485198,SAMN09786159,Haplochromis_burtoni,male,Lunzua River,2015-08,MJF4,GCF_000239415.1
PRJNA485198,SAMN09786162,Haplochromis_burtoni,female,Lunzua River,2015-08,MJF9,GCF_000239415.1
PRJNA485198,SAMN09786163,Haplochromis_burtoni,male,Lunzua River,2015-08,MJG2,GCF_000239415.1
PRJNA485198,SAMN09786142,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD5,GCF_000239415.1
PRJNA485198,SAMN09786134,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC1,GCF_000239415.1
PRJNA485198,SAMN09786136,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC3,GCF_000239415.1
PRJNA485198,SAMN09786137,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFC4,GCF_000239415.1
PRJNA485198,SAMN09786138,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC6,GCF_000239415.1
PRJNA485198,SAMN09786139,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC7,GCF_000239415.1
PRJNA485198,SAMN09786140,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFD1,GCF_000239415.1
PRJNA485198,SAMN09786141,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD4,GCF_000239415.1
PRJNA485198,SAMN09786205,Haplochromis_burtoni,male,Rusizi Lake,2015-01,KZC8,GCF_000239415.1
PRJNA485198,SAMN09786204,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZC7,GCF_000239415.1
PRJNA485198,SAMN09786151,Haplochromis_burtoni,female,Lufubu River,2015-11,MFF1,GCF_000239415.1
PRJNA485198,SAMN09786129,Haplochromis_burtoni,female,Kalambo River 2,2015-08,MKG2,GCF_000239415.1
PRJNA485198,SAMN09786128,Haplochromis_burtoni,male,Kalambo River 2,2015-08,MKC9,GCF_000239415.1
PRJNA485198,SAMN09786131,Haplochromis_burtoni,female,Kalambo River 2,2015-08,MLE3,GCF_000239415.1
PRJNA485198,SAMN09786130,Haplochromis_burtoni,female,Kalambo River 2,2015-08,MKG7,GCF_000239415.1
PRJNA485198,SAMN09786124,Haplochromis_burtoni,male,Kalambo River 2,2015-08,MKC3,GCF_000239415.1
PRJNA485198,SAMN09786127,Haplochromis_burtoni,male,Kalambo River 2,2015-08,MKC7,GCF_000239415.1
PRJNA485198,SAMN09786126,Haplochromis_burtoni,male,Kalambo River 2,2015-08,MKC5,GCF_000239415.1
PRJNA485198,SAMN09786133,Haplochromis_burtoni,female,Kalambo River 2,2015-08,MLE6,GCF_000239415.1
PRJNA485198,SAMN09786132,Haplochromis_burtoni,female,Kalambo River 2,2015-08,MLE5,GCF_000239415.1
PRJNA485198,SAMN09786083,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG3,GCF_000239415.1
PRJNA485198,SAMN09786165,Haplochromis_burtoni,male,Lunzua River,2015-08,MJG4,GCF_000239415.1
PRJNA485198,SAMN09786143,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD6,GCF_000239415.1
PRJNA485198,SAMN09786147,Haplochromis_burtoni,female,Lufubu River,2015-11,MFE5,GCF_000239415.1
PRJNA485198,SAMN09786099,Haplochromis_burtoni,female,Kalambo River 1,2015-12,LKG9,GCF_000239415.1
PRJNA485198,SAMN09786084,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG4,GCF_000239415.1
PRJNA485198,SAMN09786146,Haplochromis_burtoni,male,Lufubu River,2015-11,MFE3,GCF_000239415.1
PRJNA485198,SAMN09786183,Haplochromis_burtoni,male,Rusizi River,2015-01,KBC3,GCF_000239415.1
PRJNA485198,SAMN09786203,Haplochromis_burtoni,female,Rusizi Lake,2015-01,KZC6,GCF_000239415.1
PRJNA485198,SAMN09786135,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC2,GCF_000239415.1
PRJNA485198,SAMN09786112,Haplochromis_burtoni,male,Kalambo Lake,2015-08,MKA1,GCF_000239415.1
PRJNA485198,SAMN09786082,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG2,GCF_000239415.1
PRJNA485198,SAMN09786087,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNF4,GCF_000239415.1
PRJNA485198,SAMN09786182,Haplochromis_burtoni,female,Rusizi River,2015-01,KBB9,GCF_000239415.1
