BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN08465532,L5746-1_BO15-066_S3,GCF_003259725.1,SRR6670174,Athene_cunicularia,PRJNA431202
SAMN08465531,L5735-1_BO15-054_S17,GCF_003259725.1,SRR6670175,Athene_cunicularia,PRJNA431202
SAMN08465581,L6493-1_BO15-177_S15,GCF_003259725.1,SRR6670176,Athene_cunicularia,PRJNA431202
SAMN08465573,L10046-1_BO17-003_S11,GCF_003259725.1,SRR6670178,Athene_cunicularia,PRJNA431202
SAMN08465575,L10048-1_BO17-005_S13,GCF_003259725.1,SRR6670180,Athene_cunicularia,PRJNA431202
SAMN08465577,L10050-2_BO17-007_S15,GCF_003259725.1,SRR6670182,Athene_cunicularia,PRJNA431202
SAMN08465579,L10052-2_BO17-009_S17,GCF_003259725.1,SRR6670184,Athene_cunicularia,PRJNA431202
SAMN08465535,L5704-1_BO15-022_TTAGGC_L003,GCF_003259725.1,SRR6670186,Athene_cunicularia,PRJNA431202
SAMN08465536,L5732-1_BO15-051_CAGATC_L005,GCF_003259725.1,SRR6670187,Athene_cunicularia,PRJNA431202
SAMN08465534,L6390-1_BO15-073_S5,GCF_003259725.1,SRR6670189,Athene_cunicularia,PRJNA431202
SAMN08465540,L5739-1_BO15-058_AGTTCC_L007,GCF_003259725.1,SRR6670191,Athene_cunicularia,PRJNA431202
SAMN08465541,L5733-1_BO15-052_ACTTGA_L005,GCF_003259725.1,SRR6670194,Athene_cunicularia,PRJNA431202
SAMN08465570,L8333-1_BO15-237_S23,GCF_003259725.1,SRR6670196,Athene_cunicularia,PRJNA431202
SAMN08465568,L8331-1_BO15-235_S21,GCF_003259725.1,SRR6670198,Athene_cunicularia,PRJNA431202
SAMN08465566,L8329-1_BO15-233_S18,GCF_003259725.1,SRR6670200,Athene_cunicularia,PRJNA431202
SAMN08465564,L8327-1_BO15-231_S15,GCF_003259725.1,SRR6670202,Athene_cunicularia,PRJNA431202
SAMN08465562,L5731-1_BO15-050_S29,GCF_003259725.1,SRR6670207,Athene_cunicularia,PRJNA431202
SAMN08465596,L6458-1_BO15-142_S4,GCF_003259725.1,SRR6670209,Athene_cunicularia,PRJNA431202
SAMN08465594,L6464-1_BO15-148_S10,GCF_003259725.1,SRR6670211,Athene_cunicularia,PRJNA431202
SAMN08465597,L6457-1_BO15-141_S3,GCF_003259725.1,SRR6670213,Athene_cunicularia,PRJNA431202
SAMN08465550,L5749-1_BO15-070_S6,GCF_003259725.1,SRR6670215,Athene_cunicularia,PRJNA431202
SAMN08465548,L5741-1_BO15-061_S23,GCF_003259725.1,SRR6670217,Athene_cunicularia,PRJNA431202
SAMN08465546,L5737-1_BO15-056_CTTGTA_L006,GCF_003259725.1,SRR6670219,Athene_cunicularia,PRJNA431202
SAMN08465544,L6393-1_BO15-076_S8,GCF_003259725.1,SRR6670221,Athene_cunicularia,PRJNA431202
SAMN08465470,L6446-1_BO15-129_S15,GCF_003259725.1,SRR6670226,Athene_cunicularia,PRJNA431202
SAMN08465464,L6441-1_BO15-124_S8,GCF_003259725.1,SRR6670228,Athene_cunicularia,PRJNA431202
SAMN08465466,L6443-1_BO15-126_S12,GCF_003259725.1,SRR6670230,Athene_cunicularia,PRJNA431202
SAMN08465472,L6447-1_BO15-131_S8,GCF_003259725.1,SRR6670232,Athene_cunicularia,PRJNA431202
SAMN08465554,L5723-1_BO15-041_GAGTGG_L002,GCF_003259725.1,SRR6670234,Athene_cunicularia,PRJNA431202
SAMN08465475,L6450-1_BO15-134_S17,GCF_003259725.1,SRR6670237,Athene_cunicularia,PRJNA431202
SAMN08465480,L6455-1_BO15-139_S1,GCF_003259725.1,SRR6670242,Athene_cunicularia,PRJNA431202
SAMN08465482,L6440-1_BO15-123_S9,GCF_003259725.1,SRR6670244,Athene_cunicularia,PRJNA431202
SAMN08465586,L6489-1_BO15-173_S10,GCF_003259725.1,SRR6670247,Athene_cunicularia,PRJNA431202
SAMN08465588,L6490-1_BO15-174_S11,GCF_003259725.1,SRR6670249,Athene_cunicularia,PRJNA431202
SAMN08465590,L6468-1_BO15-152_S23,GCF_003259725.1,SRR6670251,Athene_cunicularia,PRJNA431202
SAMN08465592,L6459-1_BO15-143_S5,GCF_003259725.1,SRR6670253,Athene_cunicularia,PRJNA431202
SAMN08465557,L6395-1_BO15-078_S10,GCF_003259725.1,SRR6670257,Athene_cunicularia,PRJNA431202
SAMN08465559,L5728-1_BO15-047_TTAGGC_L003,GCF_003259725.1,SRR6670259,Athene_cunicularia,PRJNA431202
SAMN08465560,L5729-1_BO15-048_S28,GCF_003259725.1,SRR6670260,Athene_cunicularia,PRJNA431202
SAMN08465478,L6453-1_BO15-137_S15,GCF_003259725.1,SRR6670240,Athene_cunicularia,PRJNA431202
SAMN08465522,L6414-1_BO15-097_S5,GCF_003259725.1,SRR6670165,Athene_cunicularia,PRJNA431202
SAMN08465486,L6425-1_BO15-108_S22,GCF_003259725.1,SRR6670132,Athene_cunicularia,PRJNA431202
SAMN08465538,L5726-1_BO15-045_S22,GCF_003259725.1,SRR6670193,Athene_cunicularia,PRJNA431202
SAMN08465567,L8330-1_BO15-234_S19,GCF_003259725.1,SRR6670199,Athene_cunicularia,PRJNA431202
SAMN08465561,L5730-1_BO15-049_S7,GCF_003259725.1,SRR6670206,Athene_cunicularia,PRJNA431202
SAMN08465528,L5743-1_BO15-063_GTGAAA_L008,GCF_003259725.1,SRR6670170,Athene_cunicularia,PRJNA431202
SAMN08465516,L6415-1_BO15-098_S6,GCF_003259725.1,SRR6670163,Athene_cunicularia,PRJNA431202
SAMN08465524,L5736-1_BO15-055_GGCTAC_L006,GCF_003259725.1,SRR6670166,Athene_cunicularia,PRJNA431202
SAMN08465468,L6439-1_BO15-122_S4,GCF_003259725.1,SRR6670224,Athene_cunicularia,PRJNA431202
