BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies
PRJNA431202,SAMN08465525,Athene_cunicularia,male,BO15-064,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465529,Athene_cunicularia,female,BO15-060,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465532,Athene_cunicularia,female,BO15-066,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465531,Athene_cunicularia,female,BO15-054,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465581,Athene_cunicularia,female,BO15-177,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465573,Athene_cunicularia,male,BO17-003,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465575,Athene_cunicularia,female,BO17-005,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465577,Athene_cunicularia,female,BO17-007,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465579,Athene_cunicularia,female,BO17-009,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465535,Athene_cunicularia,male,BO15-022,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465536,Athene_cunicularia,male,BO15-051,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465534,Athene_cunicularia,female,BO15-073,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465540,Athene_cunicularia,female,BO15-058,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465541,Athene_cunicularia,female,BO15-052,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465570,Athene_cunicularia,female,BO15-237,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465568,Athene_cunicularia,female,BO15-235,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465566,Athene_cunicularia,missing,BO15-233,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465564,Athene_cunicularia,missing,BO15-231,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465562,Athene_cunicularia,female,BO15-050,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465596,Athene_cunicularia,female,BO15-142,C1_rural_2013,C1,rural,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465594,Athene_cunicularia,male,BO15-148,C1_rural_2013,C1,rural,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465597,Athene_cunicularia,female,BO15-141,C1_rural_2013,C1,rural,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465550,Athene_cunicularia,female,BO15-070,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465548,Athene_cunicularia,female,BO15-061,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465546,Athene_cunicularia,male,BO15-056,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465544,Athene_cunicularia,male,BO15-076,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465470,Athene_cunicularia,female,BO15-129,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465464,Athene_cunicularia,male,BO15-124,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465466,Athene_cunicularia,female,BO15-126,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465472,Athene_cunicularia,male,BO15-131,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465554,Athene_cunicularia,male,BO15-041,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465475,Athene_cunicularia,male,BO15-134,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
