BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome
SAMEA2661380,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__10-sc-2016897,GCF_900246225.1
SAMEA2661392,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__11-sc-2016921,GCF_900246225.1
SAMEA2661393,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__12-sc-2016922,GCF_900246225.1
SAMEA2661394,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__13-sc-2016923,GCF_900246225.1
SAMEA2661395,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__14-sc-2016924,GCF_900246225.1
SAMEA2661396,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__15-sc-2016925,GCF_900246225.1
SAMEA2661397,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__16-sc-2016926,GCF_900246225.1
SAMEA2661398,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__17-sc-2016927,GCF_900246225.1
SAMEA2661399,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__18-sc-2016928,GCF_900246225.1
SAMEA2661400,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__19-sc-2016929,GCF_900246225.1
SAMEA2661402,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__21-sc-2016931,GCF_900246225.1
SAMEA2661403,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__1-sc-2016932,GCF_900246225.1
SAMEA2661404,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__2-sc-2016933,GCF_900246225.1
SAMEA2661405,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__3-sc-2016934,GCF_900246225.1
SAMEA2661406,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__4-sc-2016935,GCF_900246225.1
SAMEA2661407,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__5-sc-2016936,GCF_900246225.1
SAMEA2661408,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__6-sc-2016937,GCF_900246225.1
SAMEA2661409,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__7-sc-2016938,GCF_900246225.1
SAMEA2661410,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__8-sc-2016939,GCF_900246225.1
SAMEA2661411,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__9-sc-2016940,GCF_900246225.1
SAMEA2661412,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__10-sc-2016941,GCF_900246225.1
SAMEA2661413,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__11-sc-2016942,GCF_900246225.1
SAMEA2661414,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__12-sc-2016943,GCF_900246225.1
SAMEA2661415,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__1-sc-2016944,GCF_900246225.1
SAMEA2661417,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__3-sc-2016946,GCF_900246225.1
SAMEA2661418,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__4-sc-2016947,GCF_900246225.1
SAMEA2661419,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__5-sc-2016948,GCF_900246225.1
SAMEA2661420,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__6-sc-2016949,GCF_900246225.1
SAMEA2661421,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__7-sc-2016950,GCF_900246225.1
SAMEA2661422,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__8-sc-2016951,GCF_900246225.1
SAMEA2661423,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__9-sc-2016952,GCF_900246225.1
SAMEA2661424,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__10-sc-2016953,GCF_900246225.1
SAMEA2661425,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__11-sc-2016954,GCF_900246225.1
SAMEA2661426,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__12-sc-2016955,GCF_900246225.1
SAMEA2661427,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__13-sc-2016956,GCF_900246225.1
SAMEA2661428,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__14-sc-2016957,GCF_900246225.1
SAMEA2661429,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__15-sc-2016958,GCF_900246225.1
SAMEA2661430,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__1-sc-2016959,GCF_900246225.1
