BioProject,BioSample,Organism,sex,Country,Continent,drop,Locality,refGenome
PRJNA406821,SAMN07637264,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_443278E_4552069N_Territory_2061_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637282,Strix_varia,male,USA,North America,USA,Elger_Bay_Road_Camano_Island_Island_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637281,Strix_varia,female,USA,North America,USA,Ranger_Station_Road_Marblemount_Skagit_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637277,Strix_varia,female,USA,North America,USA,Camano_Island_Island_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637276,Strix_varia,male,USA,North America,USA,1_5_mi_N_7_mi_E_Newhalem_Whatcom_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637290,Strix_varia,female,USA,North America,USA,38_439951_122_606810_WGS84_in_polo_field_across_from_Star_of_the_Valley_Catholic_Church_Santa_Rosa_Sonoma_County_California,GCA_002372975.1
PRJNA406821,SAMN07637291,Strix_varia,male,USA,North America,USA,Toledo_Lewis_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637278,Strix_varia,male,USA,North America,USA,Alger_Cain_KK_Road_Alger_Skagit_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637280,Strix_varia,female,USA,North America,USA,9_mi_N_7_mi_E_Mount_Baker_summit_700_m_Whatcom_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637315,Strix_varia,female,USA,North America,USA,East_Bear_Wallow_Chandler_Glade_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
