Sample_name,Species,Lake,Sampling_Year,BioProject,BioSample,Organism,sex
Apo_cl5_d_ben_13700,Amphilophus spp. (hybrid),CL Apoyo,2010,PRJEB38173,SAMEA6815730,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_18032,Amphilophus flaveolus,CL Apoyo,2014,PRJEB38173,SAMEA6815731,Amphilophus_citrinellus,missing
Apo_cl5_d_ben_18036,Amphilophus flaveolus,CL Apoyo,2014,PRJEB38173,SAMEA6815732,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO618,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815733,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO621,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815734,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO622,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815735,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO625,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815736,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO627,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815737,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO630,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815738,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO631,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815739,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO636,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815740,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO640,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815741,Amphilophus_citrinellus,missing
Apo_glo_d_ben_MO642,Amphilophus globosus,CL Apoyo,2009,PRJEB38173,SAMEA6815742,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO164,Amphilophus supercilius,CL Apoyo,2007,PRJEB38173,SAMEA6815743,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO247,Amphilophus supercilius,CL Apoyo,2007,PRJEB38173,SAMEA6815744,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO250,Amphilophus supercilius,CL Apoyo,2007,PRJEB38173,SAMEA6815745,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO251,Amphilophus supercilius,CL Apoyo,2007,PRJEB38173,SAMEA6815746,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO252,Amphilophus supercilius,CL Apoyo,2007,PRJEB38173,SAMEA6815747,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO629,Amphilophus supercilius,CL Apoyo,2009,PRJEB38173,SAMEA6815748,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO723,Amphilophus supercilius,CL Apoyo,2008,PRJEB38173,SAMEA6815749,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO728,Amphilophus supercilius,CL Apoyo,2008,PRJEB38173,SAMEA6815750,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO735,Amphilophus supercilius,CL Apoyo,2008,PRJEB38173,SAMEA6815751,Amphilophus_citrinellus,missing
Apo_sup_d_ben_MO736,Amphilophus supercilius,CL Apoyo,2008,PRJEB38173,SAMEA6815752,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03119,Amphilophus supercilius,CL Apoyo,2003,PRJEB38173,SAMEA6815753,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03122,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815754,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03124,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815755,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03964,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815756,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03965,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815757,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03969,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815758,Amphilophus_citrinellus,missing
Apo_zal_d_lim_03976,Amphilophus zaliosus,CL Apoyo,2003,PRJEB38173,SAMEA6815759,Amphilophus_citrinellus,missing
Apo_zal_d_lim_05386,Amphilophus zaliosus,CL Apoyo,2005,PRJEB38173,SAMEA6815760,Amphilophus_citrinellus,missing
Apo_zal_d_lim_05396,Amphilophus zaliosus,CL Apoyo,2005,PRJEB38173,SAMEA6815761,Amphilophus_citrinellus,missing
Apo_zal_d_lim_07676,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815762,Amphilophus_citrinellus,missing
Apo_zal_d_lim_07678,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815763,Amphilophus_citrinellus,missing
Apo_zal_d_lim_07687,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815764,Amphilophus_citrinellus,missing
Apo_zal_d_lim_07697,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815765,Amphilophus_citrinellus,missing
Apo_zal_d_lim_12498,Amphilophus zaliosus,CL Apoyo,2010,PRJEB38173,SAMEA6815766,Amphilophus_citrinellus,missing
Apo_zal_d_lim_12523,Amphilophus zaliosus,CL Apoyo,2010,PRJEB38173,SAMEA6815767,Amphilophus_citrinellus,missing
Apo_zal_d_lim_12534,Amphilophus zaliosus,CL Apoyo,2010,PRJEB38173,SAMEA6815768,Amphilophus_citrinellus,missing
