BioProject,BioSample,Isolate,Ecotype,Collection_date,lat_lon,Country,Continent,Locality
PRJNA668259,SAMN16492571,AI143,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492568,AI140,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492659,AMAR3,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492566,AI138,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492558,AI130,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492545,AI117,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492543,AI115,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492535,AI107,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492530,AES9,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492527,AES6,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492511,AES18,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492812,ATU37,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492801,ATU26,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492799,ATU24,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492796,ATU21,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492793,ATU18,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492778,AST3,AST,2019,58.939666 N 11.176402 E,Sweden,Europe,Sweden:Stromsan
PRJNA668259,SAMN16492774,AST28,AST,2019,58.939666 N 11.176402 E,Sweden,Europe,Sweden:Stromsan
PRJNA668259,SAMN16492752,ASRI7,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492744,ASRI28,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492516,AES23,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492738,ASRI22,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492737,ASRI21,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492704,APM37,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492701,APM34,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492698,APM31,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492707,APM3,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492689,APM22,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492678,APM11,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492507,AES14,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492676,AMAR9,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492673,AMAR6,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492668,AMAR48,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492655,AMAR36,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492652,AMAR33,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492642,AMAR24,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492648,AMAR2,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492636,AMAR19,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492621,ALI50,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492615,ALI45,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492504,AES11,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492441,AAF44,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492437,AAF40,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492435,AAF39,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492429,AAF33,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492436,AAF3,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492638,AMAR20,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492418,AAF22,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492414,AAF18,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492413,AAF17,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492409,AAF13,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492887,SMS44,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492881,SMS39,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492879,SMS37,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492869,SMS27,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492864,SMS22,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492831,ATU54,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492632,AMAR15,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492829,ATU52,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492828,ATU51,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492820,ATU44,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492826,ATU4,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492815,ATU3,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492804,ATU29,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492794,ATU19,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492790,ATU15,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492601,ALI32,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492597,ALI28,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492584,ALI15,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492580,ALI11,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492573,AI145,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492572,AI144,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492563,AI135,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492553,AI125,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492537,AI109,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492534,AI106,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492533,AI105,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492529,AES8,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492510,AES17,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492452,AAF8,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492444,AAF47,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492443,AAF46,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492426,AAF30,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492416,AAF20,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492410,AAF14,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
