BioProject,BioSample,Organism,sex,Submitter_Id,Population,Subpopulation,refGenome,refSpecies
PRJNA628166,SAMN14732672,Dicentrarchus_labrax,male,F1_831241,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732671,Dicentrarchus_labrax,male,F1_830964,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732670,Dicentrarchus_labrax,male,F1_830892,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732669,Dicentrarchus_labrax,male,F1_830517,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732668,Dicentrarchus_labrax,male,F1_830043,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732667,Dicentrarchus_labrax,female,F182171,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732666,Dicentrarchus_labrax,female,F173305,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732664,Dicentrarchus_labrax,female,F078192,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732663,Dicentrarchus_labrax,female,F074851,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732654,Dicentrarchus_labrax,male,AT103278,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732653,Dicentrarchus_labrax,male,AT095165,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732682,Dicentrarchus_labrax,female,F204648,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732680,Dicentrarchus_labrax,female,F198417,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732665,Dicentrarchus_labrax,female,F096887,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732660,Dicentrarchus_labrax,male,AT208678,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
