NW_020799276.1	QEEU01000274.1
NW_020799277.1	QEEU01000275.1
NW_020799278.1	QEEU01000082.1
NW_020799279.1	QEEU01000276.1
NW_020799280.1	QEEU01000277.1
NW_020799281.1	QEEU01000278.1
NW_020799282.1	QEEU01000279.1
NW_020799283.1	QEEU01000280.1
NW_020799284.1	QEEU01000281.1
NW_020799285.1	QEEU01000282.1
NW_020799286.1	QEEU01000283.1
NW_020799287.1	QEEU01000284.1
NW_020799288.1	QEEU01000285.1
NW_020799289.1	QEEU01000083.1
NW_020799290.1	QEEU01000286.1
NW_020799291.1	QEEU01000287.1
NW_020799292.1	QEEU01000288.1
NW_020799293.1	QEEU01000289.1
NW_020799294.1	QEEU01000290.1
NW_020799295.1	QEEU01000291.1
NW_020799296.1	QEEU01000292.1
NW_020799297.1	QEEU01000293.1
NW_020799298.1	QEEU01000294.1
NW_020799299.1	QEEU01000295.1
NW_020799300.1	QEEU01000084.1
NW_020799301.1	QEEU01000296.1
NW_020799302.1	QEEU01000297.1
NW_020799303.1	QEEU01000298.1
NW_020799304.1	QEEU01000299.1
NW_020799305.1	QEEU01000300.1
NW_020799306.1	QEEU01000301.1
NW_020799307.1	QEEU01000302.1
NW_020799308.1	QEEU01000303.1
NW_020799309.1	QEEU01000304.1
NW_020799310.1	QEEU01000305.1
NW_020799311.1	QEEU01000085.1
NW_020799312.1	QEEU01000306.1
NW_020799313.1	QEEU01000307.1
NW_020799314.1	QEEU01000308.1
NW_020799315.1	QEEU01000309.1
NW_020799316.1	QEEU01000310.1
NW_020799317.1	QEEU01000311.1
NW_020799318.1	QEEU01000312.1
NW_020799319.1	QEEU01000313.1
NW_020799320.1	QEEU01000314.1
NW_020799321.1	QEEU01000315.1
NW_020799322.1	QEEU01000087.1
NW_020799323.1	QEEU01000316.1
NW_020799324.1	QEEU01000317.1
NW_020799325.1	QEEU01000318.1
NW_020799326.1	QEEU01000319.1
NW_020799327.1	QEEU01000320.1
NW_020799328.1	QEEU01000321.1
NW_020799329.1	QEEU01000322.1
NW_020799330.1	QEEU01000323.1
NW_020799331.1	QEEU01000324.1
NW_020799332.1	QEEU01000325.1
NW_020799333.1	QEEU01000088.1
NW_020799334.1	QEEU01000326.1
NW_020799335.1	QEEU01000327.1
NW_020799336.1	QEEU01000328.1
NW_020799337.1	QEEU01000329.1
NW_020799338.1	QEEU01000330.1
NW_020799339.1	QEEU01000331.1
NW_020799340.1	QEEU01000332.1
NW_020799341.1	QEEU01000333.1
NW_020799342.1	QEEU01000334.1
NW_020799343.1	QEEU01000335.1
NW_020799344.1	QEEU01000089.1
NW_020799345.1	QEEU01000336.1
NW_020799346.1	QEEU01000337.1
NW_020799347.1	QEEU01000338.1
NW_020799348.1	QEEU01000339.1
NW_020799349.1	QEEU01000340.1
NW_020799350.1	QEEU01000341.1
NW_020799351.1	QEEU01000342.1
