Organism	BioProject.popgen	n.x	directory	fastq2vcf	fastq2vcf_version (scripts or snakemake)	vcf2mk	vcf2mk_version (scripts or snakemake)	n.y	ref_genome	qc_info	publication	bioproject
Maylandia zebra	PRJEB15289	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maylandia zebra	PRJEB21343	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neolamprologus toae	PRJEB25984	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nibea albiflora	PRJNA431723	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nipponia nippon	PRJNA481495	57	Nnippon	y	scripts	y	scripts	8	Nnippon	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA308878
Nipponia nippon	PRJNA481495	57	Nnippon_Egar	y	scripts	n	n/a	8	Egarzetta	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA308878
Nipponia nippon	PRJNA508426	42	Nnippon	y	scripts	y	scripts	8	Nnippon	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA308878
Nipponia nippon	PRJNA508426	42	Nnippon_Egar	y	scripts	n	n/a	8	Egarzetta	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA308878
Nothobranchius furzeri	PRJEB5837	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Numida meleagris	PRJNA639777	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oreochromis aureus	PRJNA609616	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oreochromis niloticus	PRJDB1657	31	Oniloticus	y	scripts	n	n/a	1	Oniloticus	NA	https://www.ncbi.nlm.nih.gov/pubmed/25186727	PRJNA59571
Oreochromis niloticus	PRJNA634901	207	Oniloticus	y	scripts	n	n/a	1	Oniloticus	NA	https://www.ncbi.nlm.nih.gov/pubmed/25186727	PRJNA59571
Oryzias latipes	PRJEB17699	115	Olatipes	y	scripts	n	n/a	16	Olatipes	NA	https://www.ncbi.nlm.nih.gov/pubmed/24408034	PRJEB2759
Oryzias latipes	PRJEB23586	18	Olatipes	y	scripts	n	n/a	16	Olatipes	NA	https://www.ncbi.nlm.nih.gov/pubmed/24408034	PRJEB2759
Oryzias latipes	PRJEB2759	24	Olatipes	y	scripts	n	n/a	16	Olatipes	NA	https://www.ncbi.nlm.nih.gov/pubmed/24408034	PRJEB2759
Paralichthys olivaceus	PRJNA490566	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paralichthys olivaceus	PRJNA613641	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paralichthys olivaceus	PRJNA639001	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parus major	PRJNA274877	31	Pmajor	y	scripts	y	scripts	32;30	Pmajor	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/ , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/	PRJNA274877,PRJNA304164
Parus major	PRJNA304164	30	Pmajor	y	scripts	y	scripts	32;30	Pmajor	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/ , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/	PRJNA274877,PRJNA304164
Passer domesticus	PRJEB27649	14	Pdomesticus	y	scripts	n	n/a	10	Pdomesticus	NA	http://advances.sciencemag.org/content/3/6/e1602996.full	PRJNA255814
Passer domesticus	PRJNA255814	11	Pdomesticus	y	scripts	n	n/a	10	Pdomesticus	NA	http://advances.sciencemag.org/content/3/6/e1602996.full	PRJNA255814
Passer montanus	PRJNA634228	25	Pmontanus	y	scripts	n	n/a	1	Pdomesticus	NA	http://advances.sciencemag.org/content/3/6/e1602996.full	PRJNA255814
Pavo muticus	PRJNA644939	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plectropomus leopardus	PRJNA622646	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podarcis muralis	PRJNA515813	15	Pmuralis	y	scripts	y	scripts	1	Acarolinensis	NA	NA	PRJNA515813
Poecilia formosa	PRJNA89109	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Poecilia reticulata	PRJEB10680	148	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Poecilia reticulata	PRJEB22221	16	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Poecilia reticulata	PRJEB36450	12	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Poecilia reticulata	PRJEB39998	120	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Poecilia reticulata	PRJNA353986	28	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Poecilia reticulata	PRJNA490183	17	Preticulata	y	scripts	n	n/a	20	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/	PRJNA238429
Pseudopodoces humilis	PRJNA293020	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudosimochromis curvifrons	PRJEB25984	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pungitius pungitius	PRJDB9073	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pungitius pungitius	PRJNA477377	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pygoscelis adeliae	PRJNA210803	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pygoscelis adeliae	PRJNA544154	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sander lucioperca	PRJNA626522	394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Seriola dumerili	PRJDB6634	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Silurus glanis	PRJNA645600	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sparus aurata	PRJEB40423	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sparus aurata	PRJNA551969	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sylvia atricapilla	PRJNA616371	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Symphodus melops	PRJNA354496	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Takifugu rubripes	PRJDB7538	20	Trubripes	y	scripts	y	scripts	29	Trubripes	NA	https://dx.doi.org/10.21203/rs.2.16620/v1	PRJNA522329
Takifugu rubripes	PRJNA522329	29	Trubripes	y	scripts	y	scripts	29	Trubripes	NA	https://dx.doi.org/10.21203/rs.2.16620/v1	PRJNA522329
Thunnus albacares	PRJEB14402	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trachinotus ovatus	PRJNA554506	102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Xiphophorus maculatus	PRJNA700566	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zonotrichia albicollis	PRJNA643514	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bambusicola thoracious	NA	NA	Bthoracicus	y	scripts	n	n/a	1	Gallus gallus	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5941490/	PRJNA396570
Corvus brachyrhynchos	NA	NA	Cbrachyrhynchos	y	scripts	n	n/a	5;5	Cbrachyrhynchos	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738	PRJEB9057, PRJNA192205
Cyanistes caeruleus	NA	NA	Ccaeruleus_Pmaj	y	scripts	y	scripts	1	Pmajor	NA	https://www.ncbi.nlm.nih.gov/pubmed/26220359	PRJNA284903
Corvus cornix	NA	NA	Ccornix	y	scripts	y	scripts	19	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738	PRJEB9057, PRJNA192205
Corus corone corone	NA	NA	Ccorone	y	scripts	n	n/a	30	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738	PRJNA192205
Cyanistes cyanus	NA	NA	Ccyanus_Pmaj	y	scripts	n	n/a	1	Pmajor	NA	seq by AJS	NA
Corvus dauuricus	NA	NA	Cdauuricus	y	scripts	n	n/a	16	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/	PRJEB9057
Corvus frugilegus	NA	NA	Cfrugilegus	y	scripts	n	n/a	10;2	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738	PRJEB9057, PRJNA192205
Corvus monedula	NA	NA	Cmonedula	y	scripts	y	scripts	10	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738	PRJEB9057, PRJNA192205
Clupea pallasii	NA	NA	Cpallasii	n	scripts	n	n/a	6	Charengus	NA	http://www.pnas.org/content/114/17/E3452.full	PRJNA338612
Corvus pectoralis	NA	NA	Cpectoralis	y	scripts	n	n/a	6	Ccornix	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/	PRJEB9057
Egretta garzetta	NA	NA	Egarzetta	y	scripts	y	scripts	5	Egarzetta	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA309350
Egretta garzetta	NA	NA	Egarzetta_Nnip	y	scripts	n	n/a	5	Nnippon	NA	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1	PRJNA309350
Ficedula hyperythra	NA	NA	Fhyperythra	y	scripts	y	scripts	1	Falbicollis	NA	NA	PRJEB7359 - best guess
Ficedula hypoleuca	NA	NA	Fhypoleuca	y	scripts	n	n/a	77	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/	PRJEB7359
Ficedula parva	NA	NA	Fparva	y	scripts	n	n/a	34	no data in spreadsheets that I could find?	NA	NA	NA
Ficedula speculigera	NA	NA	Fspeculigera	y	scripts	n	n/a	20	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/	PRJEB7359
Gambusia affinis	NA	NA	Gaffinis	y	scripts	n	n/a	1	Preticulata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5982815/	SRR5601729
Gadus chalcogrammus	NA	NA	Gchalcogrammus	y	scripts	n	n/a	1	Gmorhua	NA	https://www.biorxiv.org/content/early/2015/12/20/034926	PRJNA301002
Gadus macrocephalus	NA	NA	Gmacrocephalus	y	scripts	n	n/a	1	Gmorhua	NA	https://www.biorxiv.org/content/early/2015/12/20/034926	PRJNA301002
Gadhus morhua	NA	NA	Gmorhua	n	scripts	n	n/a	198	Gmorhua	NA	https://www.biorxiv.org/content/early/2015/12/20/034926; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4976360/#S1	PRJNA301002; PRJEB14672
Gadus ogac	NA	NA	Gogac	y	scripts	n	n/a	1	Gmorhua	NA	https://www.biorxiv.org/content/early/2015/12/20/034926	PRJNA301002
Gallus varius	NA	NA	Gvarius	y	scripts	n	n/a	9	Gallus gallus	NA	https://www.ncbi.nlm.nih.gov/pubmed/27142387	PRJDB4092
Gallus varius	NA	NA	Gvarius_Cjap	y	scripts	y	scripts	9	Cjaponica	NA	https://www.ncbi.nlm.nih.gov/pubmed/27142387	PRJDB4092
Gasterosteus wheatlandi	NA	NA	Gwheatlandi	y	scripts	n	n/a	1	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3953013/	PRJDB2374
Leuciscus waleckii	NA	NA	Lwaleckii	y	scripts	n	n/a	16	Lwaleckii	NA	https://academic.oup.com/mbe/article/34/1/145/2655148	PRJNA298374
Oryzias melastigma	NA	NA	Omossambicus	y	scripts	n	n/a	1	Olatipes	NA	https://www.ncbi.nlm.nih.gov/pubmed/29451363	PRJNA401159
Poephila acuticauda	NA	NA	Pacticauda	y	scripts	y	scripts	20	Tguttata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/	PRJEB10586
Phylloscopus collybita	NA	NA	Pcollybita	y	scripts	n	n/a	20	Ptrochilus	NA	https://www.ncbi.nlm.nih.gov/pubmed/29054864	PRJEB21643
Phylloscopus collybita	NA	NA	Pcollybita_Falb	n	scripts	n	n/a	20	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pubmed/29054864	PRJEB21643
Pelecanus crispus	NA	NA	Pcrispus_Egar	y	scripts	y	scripts	1	Egarzetta	NA	https://www.ncbi.nlm.nih.gov/pubmed/25504712	PRJNA212901
Pelecanus crispus	NA	NA	Pcrispus_Nnip	y	scripts	y	scripts	1	Nnippon	NA	https://www.ncbi.nlm.nih.gov/pubmed/25504712	PRJNA212901
Passer hispaniolensis	NA	NA	Phispaniolensis	y	scripts	n	n/a	10	Pdomesticus	NA	http://advances.sciencemag.org/content/3/6/e1602996.full	PRJNA255814
Passer italiae	NA	NA	Pitaliae	y	scripts	n	n/a	10;51	Pdomesticus	NA	http://advances.sciencemag.org/content/3/6/e1602996.full,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/s41559-017-0437-7	PRJNA255814,PRJEB22939
Poecilia latipinna	NA	NA	Platipinna	y	scripts	n	n/a	1	Preticulata	NA	https://www.nature.com/articles/s41559-018-0473-y	PRJNA196862
Parkesia noveboracensis	NA	NA	Pnoveboracensis	y	scripts	n	n/a	1	Setophaga coronata coronata	NA	seq by AJS	NA
Pimephales promelas	NA	NA	Ppromelas	y	scripts	n	n/a	1	Lwaleckii	NA	https://www.ncbi.nlm.nih.gov/pubmed/26513338	PRJNA227290
Ninespine stickleback	NA	NA	Ppungitius	y	scripts	n	n/a	1	Gaculeatus	NA	https://www.ncbi.nlm.nih.gov/pubmed/25818858	PRJDB2321
Phylloscopus tristis	NA	NA	Ptristis	y	scripts	n	n/a	20	Ptrochilus	NA	https://www.ncbi.nlm.nih.gov/pubmed/29054864	PRJEB21643
Phylloscopus tristis	NA	NA	Ptristis_Falb	n	scripts	n	n/a	20	Falbicollis	NA	https://www.ncbi.nlm.nih.gov/pubmed/29054864	PRJEB21643
Phylloscopus trochilus	NA	NA	Ptrochilus	y	scripts	n	n/a	17	Ptrochilus	NA	https://onlinelibrary.wiley.com/doi/abs/10.1002/evl3.15	PRJNA319295
Setophaga coronata coronata	NA	NA	Scoronata	y	scripts	n	n/a	1	Scoronata	NA	https://www.ncbi.nlm.nih.gov/pubmed/27546575	PRJNA325157
Strix occidentalis	NA	NA	Soccidentalis_Acun	y	scripts	y	scripts	1	Acunicularia	NA	https://www.ncbi.nlm.nih.gov/pubmed/28992302	PRJNA338167
Tyto alba	NA	NA	Talba_Acun	y	scripts	n	n/a	1	Acunicularia	NA	https://www.ncbi.nlm.nih.gov/pubmed/25504712	PRJNA212909
Taeniopygia bichenovii	NA	NA	Tbichenovii	y	scripts	n	n/a	1	Tguttata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/	PRJEB10586
Takifugu bimaculatus	NA	NA	Tbimaculatus	y	scripts	y	scripts	8	Trubripes	NA	https://dx.doi.org/10.21203/rs.2.16620/v1	PRJNA522329
Taeniopygia guttata	NA	NA	Tguttata	y	scripts	y	scripts	19	Tguttata	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/	PRJEB10586
Vermivora chrysoptera	NA	NA	Vchrysoptera	y	scripts	n	n/a	10	Scoronata	NA	https://www.ncbi.nlm.nih.gov/pubmed/27546575	PRJNA325126
Vermivora cyanoptera	NA	NA	Vcyanoptera	y	scripts	n	n/a	10	Scoronata	NA	https://www.ncbi.nlm.nih.gov/pubmed/27546575	PRJNA325126
