BioProject,BioSample,Organism,sex,Submitter_ID,Locality,Country,Continent,refGenome,refSpecies
PRJNA522329,SAMN10928602,Takifugu_rubripes,unknown,R02,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928603,Takifugu_rubripes,unknown,R03,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928604,Takifugu_rubripes,unknown,R04,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928605,Takifugu_rubripes,unknown,R07,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928606,Takifugu_rubripes,unknown,R08,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928607,Takifugu_rubripes,unknown,R09,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928608,Takifugu_rubripes,unknown,R10,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928609,Takifugu_rubripes,unknown,R11,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928626,Takifugu_rubripes,unknown,R28,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928624,Takifugu_rubripes,unknown,R26,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928629,Takifugu_rubripes,unknown,R32,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
PRJNA522329,SAMN10928614,Takifugu_rubripes,unknown,R16,"Tanghai, Beidaihe",China,Asia,GCF_901000725.2,Takifugu_rubripes
