BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies
PRJEB7359,SAMEA3166402,Ficedula_albicollis,male,Hungary,Europe,H_53,H,53,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166403,Ficedula_albicollis,male,Hungary,Europe,H_76,H,76,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166404,Ficedula_albicollis,female,Hungary,Europe,H_78,H,78,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166405,Ficedula_albicollis,male,Hungary,Europe,H_86,H,86,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166406,Ficedula_albicollis,male,Hungary,Europe,H_94,H,94,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166413,Ficedula_albicollis,female,Czech Republic,Europe,CZC_119601,CZC,119601,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166414,Ficedula_albicollis,male,Czech Republic,Europe,CZC_304236,CZC,304236,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166417,Ficedula_albicollis,male,Czech Republic,Europe,CZC_419135,CZC,419135,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166418,Ficedula_albicollis,female,Czech Republic,Europe,CZC_419251,CZC,419251,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166419,Ficedula_albicollis,female,Czech Republic,Europe,CZC_419493,CZC,419493,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166420,Ficedula_albicollis,male,Czech Republic,Europe,CZC_461398,CZC,461398,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166421,Ficedula_albicollis,male,Czech Republic,Europe,CZC_48837,CZC,48837,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166422,Ficedula_albicollis,female,Czech Republic,Europe,CZC_73077,CZC,73077,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166423,Ficedula_albicollis,male,Czech Republic,Europe,CZC_82259,CZC,82259,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166425,Ficedula_albicollis,female,Czech Republic,Europe,CZC_82348,CZC,82348,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166426,Ficedula_albicollis,female,Czech Republic,Europe,CZC_82352,CZC,82352,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166427,Ficedula_albicollis,male,Czech Republic,Europe,CZC_82355,CZC,82355,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166428,Ficedula_albicollis,male,Czech Republic,Europe,CZC_82356,CZC,82356,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166429,Ficedula_albicollis,male,Czech Republic,Europe,CZC_83353,CZC,83353,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166430,Ficedula_albicollis,male,Czech Republic,Europe,CZC_83359,CZC,83359,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166431,Ficedula_albicollis,female,Czech Republic,Europe,CZC_91319,CZC,91319,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166432,Ficedula_albicollis,female,Czech Republic,Europe,CZC_91360,CZC,91360,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785397,Ficedula_albicollis,female,Sweden,Europe,OC_HB9,OC,HB9,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166415,Ficedula_albicollis,female,Czech Republic,Europe,CZC_382648,CZC,382648,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785566,Ficedula_albicollis,female,Italy,Europe,I_G13-2,I,G13-2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166416,Ficedula_albicollis,male,Czech Republic,Europe,CZC_382761,CZC,382761,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA2785573,Ficedula_albicollis,male,Italy,Europe,I_LZ-1,I,LZ-1,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3166424,Ficedula_albicollis,female,Czech Republic,Europe,CZC_82317,CZC,82317,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB12616,SAMEA3868732,Ficedula_albicollis,missing,Sweden,Europe,BL17541,OC,BL,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB12616,SAMEA3868733,Ficedula_albicollis,missing,Sweden,Europe,BY76118,OC,BY,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB12616,SAMEA3868735,Ficedula_albicollis,missing,Sweden,Europe,CJ23664,OC,CJ,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB12616,SAMEA3868736,Ficedula_albicollis,missing,Sweden,Europe,CJ23960,OC,CJ,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
