Organism	BioProject.popgen	bioproject.orig	fastq2vcf	ref_genome	publication
Nipponia nippon	PRJNA508426	PRJNA308878	y	Nnippon	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Nothobranchius furzeri	PRJEB5837	NA	NA	NA	NA
Numida meleagris	PRJNA639777	NA	NA	NA	NA
Oreochromis aureus	PRJNA609616	NA	NA	NA	NA
Oreochromis niloticus	PRJDB1657	PRJNA59571	y	Oniloticus	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Oreochromis niloticus	PRJNA634901	PRJNA59571	y	Oniloticus	https://www.ncbi.nlm.nih.gov/pubmed/25186727
Oryzias latipes	PRJEB17699	PRJEB2759	y	Olatipes	https://www.ncbi.nlm.nih.gov/pubmed/24408034
Oryzias latipes	PRJEB23586	PRJEB2759	y	Olatipes	https://www.ncbi.nlm.nih.gov/pubmed/24408034
Oryzias latipes	PRJEB2759	PRJEB2759	y	Olatipes	https://www.ncbi.nlm.nih.gov/pubmed/24408034
Paralichthys olivaceus	PRJNA490566	NA	NA	NA	NA
Paralichthys olivaceus	PRJNA613641	NA	NA	NA	NA
Paralichthys olivaceus	PRJNA639001	NA	NA	NA	NA
Parus major	PRJNA274877	PRJNA274877,PRJNA304164	y	Pmajor	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/ , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/
Parus major	PRJNA304164	PRJNA274877,PRJNA304164	y	Pmajor	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585896/ , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737754/
Passer domesticus	PRJEB27649	PRJNA255814	y	Pdomesticus	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer domesticus	PRJNA255814	PRJNA255814	y	Pdomesticus	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer montanus	PRJNA634228	PRJNA255814	y	Pdomesticus	http://advances.sciencemag.org/content/3/6/e1602996.full
Pavo muticus	PRJNA644939	NA	NA	NA	NA
Plectropomus leopardus	PRJNA622646	NA	NA	NA	NA
Podarcis muralis	PRJNA515813	PRJNA515813	y	Acarolinensis	NA
Poecilia formosa	PRJNA89109	NA	NA	NA	NA
Poecilia reticulata	PRJEB10680	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poecilia reticulata	PRJEB22221	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poecilia reticulata	PRJEB36450	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poecilia reticulata	PRJEB39998	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poecilia reticulata	PRJNA353986	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Poecilia reticulata	PRJNA490183	PRJNA238429	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5199103/
Pseudopodoces humilis	PRJNA293020	NA	NA	NA	NA
Pseudosimochromis curvifrons	PRJEB25984	NA	NA	NA	NA
Pungitius pungitius	PRJDB9073	NA	NA	NA	NA
Pungitius pungitius	PRJNA477377	NA	NA	NA	NA
Pygoscelis adeliae	PRJNA210803	NA	NA	NA	NA
Pygoscelis adeliae	PRJNA544154	NA	NA	NA	NA
Sander lucioperca	PRJNA626522	NA	NA	NA	NA
Seriola dumerili	PRJDB6634	NA	NA	NA	NA
Silurus glanis	PRJNA645600	NA	NA	NA	NA
Sparus aurata	PRJEB40423	NA	NA	NA	NA
Sparus aurata	PRJNA551969	NA	NA	NA	NA
Sylvia atricapilla	PRJNA616371	NA	NA	NA	NA
Symphodus melops	PRJNA354496	NA	NA	NA	NA
Takifugu rubripes	PRJDB7538	PRJNA522329	y	Trubripes	https://dx.doi.org/10.21203/rs.2.16620/v1
Takifugu rubripes	PRJNA522329	PRJNA522329	y	Trubripes	https://dx.doi.org/10.21203/rs.2.16620/v1
Thunnus albacares	PRJEB14402	NA	NA	NA	NA
Trachinotus ovatus	PRJNA554506	NA	NA	NA	NA
Xiphophorus maculatus	PRJNA700566	NA	NA	NA	NA
Zonotrichia albicollis	PRJNA643514	NA	NA	NA	NA
Strix occidentalis	NA	PRJNA338167	y	Acunicularia	https://www.ncbi.nlm.nih.gov/pubmed/28992302
Tyto alba	NA	PRJNA212909	y	Acunicularia	https://www.ncbi.nlm.nih.gov/pubmed/25504712
Corvus brachyrhynchos	NA	PRJEB9057, PRJNA192205	y	Cbrachyrhynchos	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus cornix	NA	PRJEB9057, PRJNA192205	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corus corone corone	NA	PRJNA192205	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus dauuricus	NA	PRJEB9057	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus frugilegus	NA	PRJEB9057, PRJNA192205	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus monedula	NA	PRJEB9057, PRJNA192205	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/, https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus pectoralis	NA	PRJEB9057	y	Ccornix	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Clupea pallasii	NA	PRJNA338612	n	Charengus	http://www.pnas.org/content/114/17/E3452.full
Gallus varius	NA	PRJDB4092	y	Cjaponica	https://www.ncbi.nlm.nih.gov/pubmed/27142387
Egretta garzetta	NA	PRJNA309350	y	Egarzetta	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Pelecanus crispus	NA	PRJNA212901	y	Egarzetta	https://www.ncbi.nlm.nih.gov/pubmed/25504712
Ficedula hyperythra	NA	PRJEB7359 - best guess	y	Falbicollis	NA
Ficedula hypoleuca	NA	PRJEB7359	y	Falbicollis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Ficedula speculigera	NA	PRJEB7359	y	Falbicollis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Phylloscopus collybita	NA	PRJEB21643	n	Falbicollis	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Phylloscopus tristis	NA	PRJEB21643	n	Falbicollis	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Gasterosteus wheatlandi	NA	PRJDB2374	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3953013/
Ninespine stickleback	NA	PRJDB2321	y	Gaculeatus	https://www.ncbi.nlm.nih.gov/pubmed/25818858
Bambusicola thoracious	NA	PRJNA396570	y	Gallus gallus	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5941490/
Gallus varius	NA	PRJDB4092	y	Gallus gallus	https://www.ncbi.nlm.nih.gov/pubmed/27142387
Gadus chalcogrammus	NA	PRJNA301002	y	Gmorhua	https://www.biorxiv.org/content/early/2015/12/20/034926
Gadus macrocephalus	NA	PRJNA301002	y	Gmorhua	https://www.biorxiv.org/content/early/2015/12/20/034926
Gadhus morhua	NA	PRJNA301002; PRJEB14672	n	Gmorhua	https://www.biorxiv.org/content/early/2015/12/20/034926; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4976360/#S1
Gadus ogac	NA	PRJNA301002	y	Gmorhua	https://www.biorxiv.org/content/early/2015/12/20/034926
Leuciscus waleckii	NA	PRJNA298374	y	Lwaleckii	https://academic.oup.com/mbe/article/34/1/145/2655148
Pimephales promelas	NA	PRJNA227290	y	Lwaleckii	https://www.ncbi.nlm.nih.gov/pubmed/26513338
Egretta garzetta	NA	PRJNA309350	y	Nnippon	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Pelecanus crispus	NA	PRJNA212901	y	Nnippon	https://www.ncbi.nlm.nih.gov/pubmed/25504712
Ficedula parva	NA	NA	y	no data in spreadsheets that I could find?	NA
Oreochromis mossambicus	NA	PRJDB1657	y	Oniloticus	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570987/
Passer hispaniolensis	NA	PRJNA255814	y	Pdomesticus	http://advances.sciencemag.org/content/3/6/e1602996.full
Passer italiae	NA	PRJNA255814,PRJEB22939	y	Pdomesticus	http://advances.sciencemag.org/content/3/6/e1602996.full,https://www-nature-com.ezp-prod1.hul.harvard.edu/articles/s41559-017-0437-7
Cyanistes caeruleus	NA	PRJNA284903	y	Pmajor	https://www.ncbi.nlm.nih.gov/pubmed/26220359
