Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN05930359 	 113810920 	 96.14 	 0.03961936165703607 	 88.89 	 0.9546983567159595 	 112528384
SAMN05930360 	 96560241 	 96.16 	 0.04127035059906282 	 89.07 	 0.9578687589859419 	 95503682
SAMN05930506 	 12106559 	 98.7 	 0.009983513895236459 	 90.45 	 0.9377479221686513 	 11973278
SAMN05930356 	 107971941 	 96.63 	 0.05388424942735817 	 90.2 	 0.9666337824489277 	 106817754
SAMN05930431 	 956520 	 98.45 	 0.007212604022916405 	 90.42 	 0.9560550584774051 	 946288
SAMN05930432 	 6981562 	 98.7 	 0.008759214628474258 	 90.78 	 0.9485607406365147 	 6903276
SAMN05930437 	 2226406 	 98.64 	 0.00813822815784722 	 90.83 	 0.9475237605030805 	 2201670
SAMN05930438 	 10220202 	 98.68 	 0.009842075528448459 	 90.85 	 0.9568960996500111 	 10108970
SAMN05930439 	 10602490 	 98.63 	 0.010728328911416092 	 90.52 	 0.9633187357267234 	 10484738
SAMN05930433 	 7041975 	 98.67 	 0.00675236705611707 	 90.34 	 0.9560662667966016 	 6965612
SAMN05930434 	 5474697 	 98.71 	 0.010660498654080764 	 90.66 	 0.9448801494936573 	 5412402
SAMN05930435 	 7632995 	 98.64 	 0.011414261374467034 	 90.41 	 0.9505468616931749 	 7545114
SAMN05930436 	 9068767 	 98.71 	 0.008780686503468443 	 90.54 	 0.9463640521936298 	 8966824
SAMN05930507 	 7847040 	 98.67 	 0.00751990559497594 	 90.29 	 0.9493801673112757 	 7760674
SAMN05930371 	 97073829 	 97.09 	 0.031895239241052295 	 89.89 	 0.9554046092283293 	 95999208
SAMN05930372 	 58054779 	 94.99 	 0.04385718185233295 	 88.66 	 0.9378754285069921 	 57421772
SAMN05930375 	 84600526 	 95.06 	 0.033033116129798056 	 87.77 	 0.9443193236555407 	 83709194
SAMN05930376 	 75891097 	 95.38 	 0.02795536082447194 	 88.23 	 0.9467352221697725 	 75045196
SAMN05930374 	 44113515 	 95.51 	 0.05062493886510744 	 89.76 	 0.9240223370940864 	 43636406
SAMN05930379 	 110848527 	 94.83 	 0.033006338460410935 	 87.04 	 0.9468590162811462 	 109696130
SAMN05930380 	 88468761 	 94.96 	 0.030842966140330597 	 87.82 	 0.9428613238206289 	 87537676
SAMN05930618 	 78526455 	 96.68 	 0.03490497565438297 	 89.38 	 0.9248901255754022 	 77601108
SAMN05930617 	 113621842 	 96.41 	 0.04154025244547611 	 88.74 	 0.8894178550837474 	 112135464
SAMN05930620 	 102655236 	 97.99 	 0.04575927330194828 	 90.53 	 0.9288727601542552 	 101425480
SAMN05930619 	 82380971 	 96.31 	 0.04195351132726998 	 88.5 	 0.9408193253064818 	 81469796
SAMN05930621 	 59947723 	 94.65 	 0.02916814705372546 	 87.16 	 0.92894941650344 	 59260158
SAMN05930624 	 89099918 	 96.12 	 0.04404484412656811 	 88.57 	 0.947234653858969 	 88123894
SAMN05930623 	 78337882 	 96.58 	 0.038650687543479924 	 89.76 	 0.9549416272597556 	 77385576
SAMN05930626 	 102649332 	 95.78 	 0.0436104445375251 	 88.36 	 0.9202275112981355 	 101412368
SAMN05930402 	 66364167 	 94.96 	 0.03968242379957847 	 88.12 	 0.9511395148326732 	 65576272
SAMN05930401 	 102714576 	 96.2 	 0.04874120300121767 	 89.65 	 0.9512117393787751 	 101518948
