Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMEA7230493 	 298860154 	 95.54 	 86929767 	 82.70 	 0.9056770988206319 	 275854998
SAMEA7230520 	 333349955 	 96.05 	 97469971 	 83.26 	 0.9115629110417726 	 308491660
SAMEA7230528 	 220856055 	 96.05 	 48524412 	 84.00 	 0.920596531376143 	 205091020
SAMEA7230538 	 218437023 	 96.17 	 46976937 	 84.09 	 0.9226603388116753 	 203119016
SAMEA7230540 	 316028833 	 88.48 	 96812934 	 77.33 	 0.8922589441098695 	 295656056
SAMEA7230533 	 281930558 	 78.64 	 89842601 	 70.65 	 0.9029681605447543 	 269417922
SAMEA7230554 	 257483058 	 95.07 	 72135643 	 82.04 	 0.9132543626922076 	 236875080
SAMEA7230556 	 288573050 	 92.91 	 83725292 	 79.79 	 0.9041056766989264 	 264336042
SAMEA7230557 	 265506138 	 95.95 	 77133454 	 83.16 	 0.9114824826255113 	 243439086
SAMEA7230558 	 388078859 	 92.75 	 125056811 	 80.21 	 0.8990528018627613 	 358859454
SAMEA7230559 	 361904686 	 95.07 	 109753170 	 82.36 	 0.908193859336095 	 334242270
SAMEA7230551 	 355160037 	 94.74 	 107178869 	 81.70 	 0.8949362552541269 	 325704044
SAMEA7230442 	 173025299 	 97.92 	 27200118 	 90.87 	 0.959797383374419 	 169885924
SAMEA7230444 	 136720654 	 97.84 	 21413493 	 90.80 	 0.9601721590443011 	 134234330
SAMEA7230445 	 103344306 	 98.00 	 16839710 	 91.03 	 0.9629961783789353 	 101544434
SAMEA7230447 	 188496281 	 98.13 	 29885596 	 91.52 	 0.9650893391169009 	 185227796
SAMEA7230448 	 107071329 	 97.95 	 17135747 	 90.87 	 0.9589927452404721 	 105184436
SAMEA7230482 	 175498989 	 98.14 	 32714594 	 91.51 	 0.9625587899006687 	 172348088
SAMEA7230483 	 104277814 	 98.18 	 19332428 	 91.76 	 0.966350569131215 	 102439258
SAMEA7230504 	 213864031 	 98.19 	 37364873 	 91.62 	 0.9627198674554257 	 210028678
SAMEA7230505 	 128646714 	 98.16 	 24250642 	 91.43 	 0.9642902689990115 	 126301698
SAMEA7230501 	 110212389 	 98.09 	 15452118 	 91.07 	 0.955963509597274 	 108188830
SAMEA7230503 	 114332617 	 98.17 	 21259494 	 91.38 	 0.9651799383087132 	 112243908
SAMEA7230446 	 160036087 	 97.95 	 44170617 	 91.48 	 0.9632123008779792 	 157342388
SAMEA7230443 	 121606149 	 98.05 	 36179069 	 91.75 	 0.9663360960227227 	 119522946
SAMEA7230488 	 120025672 	 98.08 	 30632447 	 91.59 	 0.9641373045329722 	 117921798
SAMEA7230522 	 135656254 	 98.05 	 33336786 	 91.97 	 0.9671077096713752 	 133309852
SAMEA7230524 	 149934617 	 97.92 	 38120023 	 91.51 	 0.9659310419600097 	 147392940
SAMEA7230525 	 128646420 	 97.93 	 32300013 	 91.82 	 0.9703124330681072 	 126441124
SAMEA7230526 	 131595491 	 97.88 	 38328472 	 91.61 	 0.965914290684828 	 129255714
SAMEA7230527 	 120745305 	 98.02 	 36355296 	 91.87 	 0.9667951333532872 	 118564586
SAMEA7230521 	 152087438 	 97.95 	 44193417 	 91.70 	 0.9666544731962692 	 149399024
SAMEA7230545 	 137890279 	 98.31 	 35481142 	 92.05 	 0.9693014965804142 	 135457868
SAMEA7230547 	 123157572 	 98.34 	 37167441 	 92.18 	 0.9663324632538713 	 120939716
SAMEA7230541 	 136387642 	 98.31 	 32106443 	 92.19 	 0.9672727408191026 	 133980888
SAMEA7230542 	 131980530 	 98.24 	 31736499 	 92.13 	 0.966828156584457 	 129720318
SAMEA7230465 	 137727757 	 97.96 	 20147622 	 91.41 	 0.9674128717040283 	 135434122
SAMEA7230466 	 147792773 	 98.23 	 23525322 	 91.66 	 0.969831946895746 	 145319520
SAMEA7230467 	 127453122 	 98.09 	 19029801 	 91.40 	 0.9680915084021516 	 125271684
SAMEA7230468 	 119845365 	 97.97 	 18422084 	 91.28 	 0.9671076384687295 	 117789546
SAMEA7230462 	 123824167 	 98.01 	 18557474 	 91.39 	 0.9681364476574071 	 121677052
SAMEA7230463 	 143952733 	 98.15 	 23072113 	 91.84 	 0.9718850912097138 	 141533062
SAMEA7230464 	 143886738 	 98.18 	 21736674 	 91.77 	 0.9687072390061786 	 141451530
SAMEA7230486 	 144950089 	 98.11 	 21735336 	 91.69 	 0.9665084775756464 	 142352118
SAMEA7230487 	 144903641 	 98.12 	 19807351 	 91.41 	 0.963018698351493 	 142324154
SAMEA7230484 	 143961505 	 98.07 	 18252695 	 91.33 	 0.9643908844557967 	 141393290
SAMEA7230543 	 116138640 	 98.32 	 16182796 	 91.74 	 0.9692266995226427 	 114073212
SAMEA7230546 	 124134176 	 98.28 	 18794066 	 91.86 	 0.968554831233497 	 121936102
SAMEA7230506 	 91110431 	 98.08 	 15887680 	 91.46 	 0.9657016507733808 	 89488080
SAMEA7230544 	 137863536 	 98.18 	 19019530 	 91.71 	 0.9665895732104398 	 135432658
SAMEA7230523 	 139600405 	 97.79 	 40803455 	 91.48 	 0.9644063021321873 	 137139556
SAMEA7230485 	 123862103 	 98.12 	 16902394 	 91.81 	 0.9668275109605713 	 121691746
SAMEA7230507 	 116616958 	 98.10 	 22271572 	 91.51 	 0.9655932230946878 	 114502918
SAMEA7230502 	 120761474 	 97.95 	 18609357 	 90.76 	 0.9607790352163166 	 118475300
SAMN06036149 	 252518666 	 97.25 	 77117174 	 90.69 	 0.9617948419957939 	 250511364
SAMN06036166 	 252554870 	 97.36 	 70139885 	 91.23 	 0.9667379009929307 	 250514172
SAMN06036154 	 273308834 	 97.79 	 72274743 	 91.85 	 0.9678326167344482 	 271107004
SAMN06036152 	 279503277 	 97.47 	 88731737 	 91.23 	 0.9642169655817857 	 277310020
SAMN06036157 	 245555903 	 97.37 	 66014975 	 91.15 	 0.958823080803032 	 243529432
SAMN06036168 	 201184010 	 97.43 	 59272090 	 90.90 	 0.9596798186658486 	 199584276
SAMN06036162 	 246945987 	 97.66 	 71971992 	 91.65 	 0.9656336404153317 	 245020552
SAMN06036156 	 199496404 	 97.76 	 59221657 	 91.70 	 0.9619445157432557 	 197841272
SAMN06036172 	 312196265 	 97.54 	 91697286 	 91.10 	 0.9662385427304373 	 309498776
SAMN06036170 	 241344117 	 97.63 	 69878960 	 91.01 	 0.9554269858950158 	 239379130
SAMN06036151 	 203005295 	 97.32 	 53590871 	 91.29 	 0.9658323601663582 	 201388968
SAMN06036164 	 225053368 	 97.40 	 64240062 	 91.22 	 0.9618568683269992 	 223261432
SAMN06036163 	 234715816 	 97.49 	 64923281 	 91.21 	 0.9657510299173564 	 232852818
SAMN06036150 	 197987161 	 97.36 	 51693313 	 90.78 	 0.9642050040521596 	 196340768
SAMN06036167 	 184849616 	 97.24 	 52046749 	 90.90 	 0.9661495941379449 	 183346108
SAMN06036165 	 270397885 	 97.42 	 76776841 	 91.16 	 0.9633951306599616 	 268156682
SAMN06036171 	 209514687 	 97.43 	 56639634 	 90.93 	 0.9673345963763142 	 207781200
SAMN06036169 	 190863790 	 97.67 	 53794122 	 91.17 	 0.9598539964209181 	 189247012
SAMN06036158 	 227669373 	 97.49 	 59812625 	 91.34 	 0.9646152994224424 	 225792332
SAMN06036153 	 245096830 	 97.69 	 60907593 	 91.44 	 0.9573681754454156 	 243150914
SAMN06036160 	 205950901 	 97.68 	 58861763 	 91.23 	 0.9642264409260166 	 204243650
SAMN06036161 	 258038543 	 97.51 	 59883785 	 91.02 	 0.9596300787837909 	 256039836
SAMN06036159 	 250935801 	 97.59 	 68038685 	 91.03 	 0.9635634671697302 	 248824118
SAMN06036155 	 202213517 	 97.56 	 49749240 	 91.23 	 0.9646679665093691 	 200551528
