Organism	BioProject	BioSample	Run
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2751069
Hypoplectrus_puella	PRJEB27858	SAMEA4799755	ERR2751070
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799682	ERR2751071
Hypoplectrus_puella	PRJEB27858	SAMEA4799719	ERR2751072
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799683	ERR2751073
Hypoplectrus_puella	PRJEB27858	SAMEA4799720	ERR2751074
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799684	ERR2751075
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799685	ERR2751076
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799686	ERR2751077
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799687	ERR2751078
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799688	ERR2751079
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799689	ERR2751081
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799756	ERR2751082
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799690	ERR2751083
Hypoplectrus_puella	PRJEB27858	SAMEA4799722	ERR2751084
Hypoplectrus_puella	PRJEB27858	SAMEA4799723	ERR2751085
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799691	ERR2751086
Hypoplectrus_puella	PRJEB27858	SAMEA4799725	ERR2751088
Hypoplectrus_puella	PRJEB27858	SAMEA4799726	ERR2751089
Hypoplectrus_puella	PRJEB27858	SAMEA4799727	ERR2751090
Hypoplectrus_puella	PRJEB27858	SAMEA4799729	ERR2751092
Hypoplectrus_puella	PRJEB27858	SAMEA4799730	ERR2751093
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799692	ERR2751094
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799693	ERR2751095
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799757	ERR2751096
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799758	ERR2751097
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799759	ERR2751098
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799761	ERR2751100
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799762	ERR2751101
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799763	ERR2751102
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799764	ERR2751103
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799765	ERR2751104
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799766	ERR2751105
Hypoplectrus_puella	PRJEB27858	SAMEA4799731	ERR2751107
Hypoplectrus_puella	PRJEB27858	SAMEA4799732	ERR2751108
Hypoplectrus_puella	PRJEB27858	SAMEA4799733	ERR2751109
Hypoplectrus_puella	PRJEB27858	SAMEA4799734	ERR2751110
Hypoplectrus_puella	PRJEB27858	SAMEA4799736	ERR2751112
Hypoplectrus_puella	PRJEB27858	SAMEA4799737	ERR2751113
Hypoplectrus_puella	PRJEB27858	SAMEA4799738	ERR2751114
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799768	ERR2751115
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799770	ERR2751117
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799771	ERR2751118
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799772	ERR2751119
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799774	ERR2751121
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799776	ERR2751123
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799777	ERR2751124
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799778	ERR2751125
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799694	ERR2751126
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799695	ERR2751127
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799696	ERR2751128
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799697	ERR2751129
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799698	ERR2751130
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799699	ERR2751131
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799700	ERR2751132
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799701	ERR2751133
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799702	ERR2751134
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799703	ERR2751135
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799704	ERR2751136
Hypoplectrus_nigricans	PRJEB27858	SAMEA4799705	ERR2751137
Hypoplectrus_puella	PRJEB27858	SAMEA4799739	ERR2751138
Hypoplectrus_puella	PRJEB27858	SAMEA4799740	ERR2751139
Hypoplectrus_puella	PRJEB27858	SAMEA4799741	ERR2751140
Hypoplectrus_puella	PRJEB27858	SAMEA4799742	ERR2751141
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799767	ERR2751106
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799760	ERR2751099
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799769	ERR2751116
Hypoplectrus_puella	PRJEB27858	SAMEA4799735	ERR2751111
Hypoplectrus_puella	PRJEB27858	SAMEA4799721	ERR2751080
Hypoplectrus_puella	PRJEB27858	SAMEA4799728	ERR2751091
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799775	ERR2751122
Hypoplectrus_unicolor	PRJEB27858	SAMEA4799773	ERR2751120
Hypoplectrus_puella	PRJEB27858	SAMEA4799724	ERR2751087
