BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMEA1877436,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1712872,0.0344011,23562984,12.977,0.0278437,-0.0553577,-2.02992e-4,0.00138863,-2.05633e-4,-0.00104207,0.0143101,1.8875e-4,-3.19847e-4,6.78158e-4,cluster_3,outgroup,NA
SAMEA1904323,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1721322,0.0345708,16266288,11.2964,0.0214112,0.0997795,0.150006,-0.132945,-0.0299075,-0.0702586,-0.11645,-0.00550711,-0.00680667,0.0211768,cluster_2,ingroup,NA
SAMEA1904328,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1747821,0.035103,16265686,10.7476,0.0207403,0.105115,0.166419,-0.201629,-0.0389523,-0.0934576,-0.0931491,-0.00472088,-0.00788197,0.0204812,cluster_1,ingroup,NA
SAMEA2661388,NA,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Upper_Rovuma-sc-2016917,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1754191,0.0352309,16262680,13.8515,0.0183822,0.113383,0.198967,-0.470921,-0.0643608,-0.130661,0.230819,0.00315747,0.00268124,-0.0119005,cluster_1,ingroup,NA
SAMEA1877511,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1782255,0.0357946,23562995,12.5192,0.0277967,-0.0547534,-0.00112084,0.00214098,3.89282e-4,-3.90813e-4,0.0136841,-1.43215e-4,5.06903e-5,3.30683e-4,cluster_3,outgroup,NA
SAMEA2661397,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__16-sc-2016926,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1802494,0.036201,23560484,10.6119,0.0278266,-0.0547712,-0.00149091,2.99729e-4,6.03527e-5,-7.52136e-5,0.0153326,-4.46278e-4,3.91557e-4,7.76436e-4,cluster_3,outgroup,NA
SAMEA1877425,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1826944,0.0366921,23562481,11.3741,0.0278733,-0.0552434,-9.56299e-4,0.00155055,7.4441e-6,-7.24903e-4,0.0144256,-3.71621e-4,3.87033e-4,4.5275e-4,cluster_3,outgroup,NA
SAMEA2661387,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Kitai_Dam-sc-2016916,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1883276,0.0378235,16262953,14.3078,0.0196589,0.121601,0.221223,-0.525134,-0.0736244,-0.152224,0.261575,0.00210068,0.00248188,-0.0107414,cluster_1,ingroup,NA
SAMEA2661394,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__13-sc-2016923,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1897665,0.0381124,23560331,8.60083,0.027624,-0.0477633,-1.01897e-5,4.5268e-4,-2.19913e-4,2.34859e-4,-0.00303934,9.25701e-4,4.2188e-6,-3.3692e-5,cluster_3,outgroup,NA
SAMEA2661396,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__15-sc-2016925,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1910384,0.0383679,23560354,8.88808,0.0276811,-0.0513311,-0.00109094,-2.31183e-4,2.85111e-4,8.27254e-4,0.0065423,6.46801e-5,-3.34997e-5,4.90948e-4,cluster_3,outgroup,NA
