sample,breed,BioProject,BioSample,Organism,sex,Continent,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:Q538852,NA,PRJNA599025,SAMN13737512,Anas_poecilorhyncha,male,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2393116,0.0464363,26522080,4.03233,-0.291477,0.0429353,0.00978057,-0.0239553,-0.181111,0.213528,0.220106,-0.313524,0.0123747,-0.10942,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:84,Mallard,PRJNA450892,SAMN08952576,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2404399,0.0466552,45554543,7.97151,0.0613322,-0.0984199,-0.108227,-0.0682498,0.00236571,-0.0883511,0.0890666,0.0327008,-0.103911,0.230564,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:21,Mallard,PRJNA450892,SAMN08952551,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2421558,0.0469882,45553628,7.10415,0.0766204,-0.185047,-0.118796,-0.118122,-0.00183051,0.375424,-0.272672,-0.0307699,0.079832,-0.0847215,cluster_6,ingroup,2
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:78,Mallard,PRJNA450892,SAMN08952572,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2425835,0.0470712,45551733,7.47559,0.0541894,-0.224331,-0.0188793,0.117389,-0.0437229,-0.109412,0.0655066,0.0352585,-0.0769595,0.220073,cluster_6,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:64,Mallard,PRJNA450892,SAMN08952567,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2427997,0.0471131,45554570,7.21381,0.0887917,0.186157,0.0768616,0.0176447,0.0119945,0.0273297,-0.0390063,0.021432,-0.00181191,0.0364246,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata-mk/Anas_poecilorhyncha_sample_metadata.csv:P289316,NA,PRJNA599025,SAMN13737510,Anas_poecilorhyncha,female,NA,NA,NA,GCF_015476345.1,Anas_platyrhynchos,51535486,0,2458545,0.0477059,26523218,4.04588,-0.276465,0.00180043,-0.0220993,-0.05135,-0.021372,-0.065563,-0.111469,0.771868,0.167193,-0.175879,cluster_1,outgroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:9,Mallard,PRJNA450892,SAMN08952546,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2466487,0.04786,45557109,7.79961,0.0926663,0.14211,0.0630962,0.0306044,0.00328263,0.00261354,-4.73996e-4,-0.00583096,-0.00850926,6.44238e-4,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:18,Mallard,PRJNA450892,SAMN08952550,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2478968,0.0481022,45554913,7.48532,0.085612,0.110643,0.0285574,0.0219496,0.0059158,0.0128079,-0.0210298,-0.00258228,0.00323726,-0.0156213,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:95,Mallard,PRJNA450892,SAMN08952578,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2489002,0.0482969,45553308,6.98656,0.0634494,-0.0981795,-0.119028,-0.0715565,0.00311898,0.156488,-0.1336,-0.0118735,0.046451,-0.0502911,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:58,Mallard,PRJNA450892,SAMN08952565,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2562058,0.0497144,45551521,7.16863,0.0610276,-0.107186,0.0470845,0.322141,-0.0367326,-0.128508,0.0638079,-0.0513457,0.0985527,-0.306759,cluster_3,ingroup,3
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:52,Mallard,PRJNA450892,SAMN08952563,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2574080,0.0499477,45549572,6.35492,0.0413238,-0.060736,-0.0485099,-0.0409861,0.00746913,0.0319398,-0.052084,0.0323889,-0.00283164,0.0308511,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:102,Mallard,PRJNA450892,SAMN08952580,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2609808,0.050641,45552575,6.50902,0.0713973,0.0508271,-0.0535316,-0.0855173,0.0137107,0.0440643,-0.051515,0.00171182,0.00616286,0.018547,cluster_4,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:45,Mallard,PRJNA450892,SAMN08952559,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2610843,0.0506611,45552227,7.28127,0.0488847,-0.139191,-0.0719051,0.0376181,-0.031895,0.0061602,-0.0119845,0.0662169,-0.141901,0.369819,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:65,Mallard,PRJNA450892,SAMN08952568,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2652305,0.0514656,45551809,7.46581,0.0513921,-0.223945,-0.0249629,0.071687,-0.0254487,0.073869,-0.0491031,-0.0356082,0.0488003,-0.112283,cluster_6,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:25,Mallard,PRJNA450892,SAMN08952552,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2724625,0.0528689,45551065,6.94177,0.0740931,0.0201573,-0.24061,-0.424614,0.120595,-0.252578,0.195895,-0.0729333,0.0586446,-0.244795,cluster_4,ingroup,1
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:82,Mallard,PRJNA450892,SAMN08952574,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2746678,0.0532968,45552395,6.81093,0.0780493,-0.226817,-0.13217,-0.134575,-3.6238e-4,0.456019,-0.329924,-0.0308604,0.0839363,-0.0788016,cluster_6,exclude,2
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:D,Mallard,PRJNA450892,SAMN08952583,Anas_platyrhynchos,male,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2756609,0.0534895,45551935,12.7522,0.0957983,0.132297,0.0589585,0.0135982,0.00727053,0.0306211,-0.0385,0.00797315,0.00212776,0.011148,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:34,Mallard,PRJNA450892,SAMN08952558,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2764068,0.0536343,45554500,7.56529,0.0838205,0.157038,0.0471005,0.0155616,0.0172019,0.00214198,-0.0121462,0.00777623,-0.00875508,0.0215268,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:33,Mallard,PRJNA450892,SAMN08952557,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2839577,0.0550995,45554536,6.59289,0.0924445,0.179952,0.0711961,0.00218666,0.0116884,0.0113948,-0.0301804,0.00916681,3.50913e-4,0.0386719,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:70,Mallard,PRJNA450892,SAMN08952569,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2883351,0.0559488,45550274,6.41962,0.0793506,-0.10356,-0.154779,-0.141138,0.0186583,-0.0708433,0.0564969,0.0156589,-0.0518026,0.12571,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:83,Mallard,PRJNA450892,SAMN08952575,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2887524,0.0560298,45551279,6.82493,0.0361549,-0.421181,0.810872,-0.328526,0.0579086,-0.0790325,0.0668587,-0.005902,-0.0116476,-0.0250509,cluster_2,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:96,Mallard,PRJNA450892,SAMN08952579,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2981756,0.0578583,45552823,6.48739,0.0676717,-0.0606478,-0.0243819,0.181627,-0.0231229,0.045716,-0.0359279,0.00767854,0.0188011,-0.0684744,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:46,Mallard,PRJNA450892,SAMN08952560,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,2986718,0.0579546,45550737,6.33838,0.0778894,0.0271219,-0.224891,-0.390793,0.111867,-0.232218,0.17823,-0.0718064,0.0595198,-0.240467,cluster_4,exclude,1
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:16,Mallard,PRJNA450892,SAMN08952548,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3021230,0.0586243,45552653,6.08911,0.0909637,0.18299,0.0666421,0.0147435,0.0146886,0.00895005,-0.0303521,0.0145706,0.0102871,0.0248154,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:7,Mallard,PRJNA450892,SAMN08952545,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3030502,0.0588042,45551956,6.91208,0.0844043,0.192546,0.0808806,0.020434,0.0111137,0.00729615,-0.0378461,0.0158304,0.00179307,0.0353833,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:6,Mallard,PRJNA450892,SAMN08952544,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3058029,0.0593383,45553528,7.08784,0.0619549,-0.116345,-0.128693,-0.00813701,-0.00626281,0.0185374,-0.0032848,0.00786702,-0.00874007,0.0851368,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:76,Mallard,PRJNA450892,SAMN08952571,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3068287,0.0595374,45553542,6.91754,0.0473598,-0.10486,-0.0115008,0.190306,-0.0318972,-0.0164735,-0.00545411,0.00660734,0.00364297,-0.00235418,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:10,Mallard,PRJNA450892,SAMN08952547,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3117921,0.0605005,45551062,5.7883,0.0978332,0.147594,0.0560299,4.24156e-4,0.0119158,-0.00668021,-0.0193624,0.00536802,0.00391022,0.00378041,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:80,Mallard,PRJNA450892,SAMN08952573,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3122206,0.0605836,45555334,6.74413,0.0963999,0.175986,0.0620145,0.00224276,0.0117015,0.0169643,-0.0332526,0.0158242,0.00733758,0.0139807,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:59,Mallard,PRJNA450892,SAMN08952566,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3138141,0.0608928,45550371,5.22197,0.0898552,0.185596,0.0738195,0.0142729,0.0094699,0.0177542,-0.0389702,0.0211311,0.00783931,0.0307075,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:90,Mallard,PRJNA450892,SAMN08952577,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3173894,0.0615866,45552018,6.82873,0.0327048,-0.225052,-0.142556,0.305904,-0.0761978,-0.182428,0.222262,0.02763,-0.0391275,0.00136322,cluster_6,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:53,Mallard,PRJNA450892,SAMN08952564,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3256419,0.0631879,45554737,6.33123,0.0901439,0.147153,0.0742525,0.00811399,0.0120679,0.0268671,-0.0289336,0.0107413,-4.37882e-4,0.0281823,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:32,Mallard,PRJNA450892,SAMN08952556,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3321817,0.0644569,45550602,6.7053,0.081905,-0.0986843,0.0258663,0.27753100000000003,-0.0345428,-0.0594408,0.0238496,-0.0509138,0.0950552,-0.27493,cluster_3,exclude,3
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:29,Mallard,PRJNA450892,SAMN08952555,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3336274,0.0647374,45554783,6.25616,0.0883114,0.150596,0.0512301,0.00788343,0.010329,0.0102892,-0.0120274,0.00326864,-0.00258242,0.0199954,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:17,Mallard,PRJNA450892,SAMN08952549,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3351070,0.0650245,45547295,6.39551,0.0819004,-0.0864271,-0.123736,-0.119859,0.0279106,-0.0610273,0.060718,-0.026406,0.013488,-0.0500412,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:28,Mallard,PRJNA450892,SAMN08952554,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3379191,0.0655702,45553331,6.24436,0.0529851,-0.153401,-0.0727022,0.0862273,-0.0118385,-0.0452327,0.0610706,-0.0070198,-0.00741368,-0.00457634,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:26,Mallard,PRJNA450892,SAMN08952553,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3490951,0.0677388,45547791,5.40078,0.0866781,0.122628,0.053177,0.0314338,0.00698184,-0.029739,0.011268,-0.00160375,0.0102835,-0.0195191,cluster_5,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:49,Mallard,PRJNA450892,SAMN08952561,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3558206,0.0690438,45548160,6.17072,-0.0566701,0.060709,0.0119993,-0.0201325,-0.0590252,0.220841,0.205769,-0.0455418,-0.34976,0.0897135,cluster_4,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:51,Mallard,PRJNA450892,SAMN08952562,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3738971,0.0725514,45548093,6.54053,0.0749176,-0.0520323,0.0402177,0.2377,-0.0290013,-0.0902377,0.0396915,-0.042546,0.078722,-0.214582,cluster_3,ingroup,NA
../compPopGen_ms/SRA/cleaned-metadata/Anas_platyrhynchos_sample_metadata.csv:71,Mallard,PRJNA450892,SAMN08952570,Anas_platyrhynchos,female,Asia,China,"Aoji Duck Farm, Zhejiang Province",GCF_015476345.1,Anas_platyrhynchos,51535486,0,3788893,0.0735201,45546676,5.41985,0.0474515,-0.145433,-0.111354,-0.0287019,-0.00926835,-0.100168,0.0791167,0.0663903,-0.122838,0.350131,cluster_3,ingroup,NA
