BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA612146,SAMN14363116,Hippocampus_barbouri,missing,Hbb_4,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,940726,0.00532877,13640602,11.0389,-0.00985702,0.0103913,-0.0166148,7.88849e-4,0.0601026,0.00561269,0.147182,-0.0878704,-0.009273,0.00730875,cluster_6,outgroup,NA
PRJNA612146,SAMN14363123,Hippocampus_barbouri,missing,Hbb_11,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,981493,0.0055597,13638380,10.1011,-0.00977029,0.0102467,-0.0163683,8.59384e-4,0.0585726,0.00530715,0.141999,-0.0845686,-0.00864575,0.00705981,cluster_6,outgroup,NA
PRJNA612146,SAMN14363130,Hippocampus_barbouri,missing,Hbb_18,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1019837,0.0057769,13638577,10.3894,-0.00995425,0.0105958,-0.0166408,9.31388e-4,0.0599202,0.00564472,0.146705,-0.0876129,-0.00911647,0.00732844,cluster_6,outgroup,NA
PRJNA612146,SAMN14363119,Hippocampus_barbouri,missing,Hbb_7,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1020764,0.00578215,13639145,9.78937,-0.00997584,0.0105083,-0.0167684,9.53561e-4,0.060281,0.0056134,0.147497,-0.0878743,-0.00899496,0.00733509,cluster_6,outgroup,NA
PRJNA612146,SAMN14363126,Hippocampus_barbouri,missing,Hbb_14,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1032348,0.00584777,13641938,10.8692,-0.00996301,0.010524499999999999,-0.0167847,9.14253e-4,0.0604378,0.00560655,0.148184,-0.0886032,-0.00919425,0.00762032,cluster_6,outgroup,NA
PRJNA612146,SAMN14363122,Hippocampus_barbouri,missing,Hbb_10,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1043192,0.0059092,13636333,9.43785,-0.00994529,0.0104018,-0.0164925,7.85793e-4,0.0594278,0.00557985,0.144736,-0.0863871,-0.00892678,0.00720898,cluster_6,outgroup,NA
PRJNA612146,SAMN14363118,Hippocampus_barbouri,missing,Hbb_6,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1081241,0.00612472,13635893,9.01556,-0.0100082,0.0105261,-0.0166635,8.63726e-4,0.0601259,0.00548526,0.147233,-0.0880264,-0.00901108,0.00732206,cluster_6,outgroup,NA
PRJNA612146,SAMN14363120,Hippocampus_barbouri,missing,Hbb_8,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1083337,0.0061366,13634976,9.05931,-0.00951255,0.00997896,-0.0155545,8.3352e-4,0.0558997,0.00521001,0.133074,-0.0790637,-0.00803972,0.0061712,cluster_6,outgroup,NA
PRJNA612146,SAMN14363125,Hippocampus_barbouri,missing,Hbb_13,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1103311,0.00624974,13632811,9.05563,-0.00987121,0.0103314,-0.0164862,8.4748e-4,0.0593795,0.0054652,0.144949,-0.0863513,-0.00896315,0.00713366,cluster_6,outgroup,NA
PRJNA612146,SAMN14363121,Hippocampus_barbouri,missing,Hbb_9,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1106737,0.00626915,13634123,8.87902,-0.0100135,0.0105033,-0.0165981,8.94687e-4,0.059789,0.00553449,0.14623,-0.0872622,-0.00898456,0.00728374,cluster_6,outgroup,NA
PRJNA612146,SAMN14363115,Hippocampus_barbouri,missing,Hbb_3,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1132406,0.00641455,13633416,8.78172,-0.00949195,0.00998437,-0.0155659,7.92128e-4,0.055865,0.00520452,0.133138,-0.0790297,-0.00806963,0.00612315,cluster_6,outgroup,NA
PRJNA612146,SAMN14363127,Hippocampus_barbouri,missing,Hbb_15,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1201849,0.00680791,13618687,8.04246,-0.00963398,0.0101056,-0.0161124,8.55861e-4,0.0575152,0.00534615,0.138808,-0.0825356,-0.0084674,0.00675528,cluster_6,outgroup,NA
PRJNA612146,SAMN14363114,Hippocampus_barbouri,missing,Hbb_2,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1216980,0.00689362,13630346,7.8655,-0.00964179,0.0100129,-0.0159397,8.54984e-4,0.0572848,0.00538856,0.137549,-0.0817757,-0.00836937,0.00669209,cluster_6,outgroup,NA
PRJNA612146,SAMN14363113,Hippocampus_barbouri,missing,Hbb_1,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes,176537074,0,1253711,0.00710169,13622223,7.77565,-0.00985101,0.0103743,-0.0163929,9.06457e-4,0.0589005,0.00543283,0.142795,-0.0851921,-0.0087927,0.00712207,cluster_6,outgroup,NA
PRJNA612146,SAMN14363242,Hippocampus_histrix,missing,Hht_18,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1321349,0.00748482,22220992,24.3345,-0.0151696,0.0142128,-0.0310352,0.0110963,0.164993,0.0803604,-0.100035,0.0212925,-0.00227138,0.0016248,cluster_6,outgroup,NA
