BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA431202,SAMN08465489,Athene_cunicularia,female,BO15-111,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,449158,0.00553878,23956527,17.6474,-0.00937735,-0.0729458,0.0371582,-0.238515,0.0850188,-0.467401,0.206653,-0.186016,0.107006,-0.0227078,cluster_5,exclude,6
PRJNA431202,SAMN08465473,Athene_cunicularia,female,BO15-132,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,451340,0.00556569,23960334,18.8924,-0.00612077,0.0349242,0.0838576,-0.0202876,-0.0132649,0.00950258,-6.42731e-4,0.0182248,-0.0619922,0.0205483,cluster_2,ingroup,NA
PRJNA431202,SAMN08465468,Athene_cunicularia,male,BO15-122,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,452503,0.00558003,23960294,16.3347,-0.00621173,0.0345525,0.0804256,9.17264e-4,-0.0199152,-0.00311202,0.00244767,0.0115971,-0.0596593,0.0102472,cluster_2,ingroup,NA
PRJNA431202,SAMN08465529,Athene_cunicularia,female,BO15-060,C1_urban_2012,C1,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,453846,0.00559659,23957277,16.1704,-0.00822439,-0.0809518,-0.0381959,0.0532772,0.0121845,-0.00358252,0.00867274,-0.0301853,-0.00331764,-0.0506499,cluster_5,ingroup,NA
PRJNA431202,SAMN08465570,Athene_cunicularia,female,BO15-237,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,454311,0.00560232,23957975,16.0809,-0.00351435,-0.0662974,-0.0618737,-0.00670022,-0.0100392,-0.00457944,-0.00193758,-0.0110422,-0.0501013,-0.00699323,cluster_5,ingroup,NA
PRJNA431202,SAMN08465493,Athene_cunicularia,male,BO15-114,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,454480,0.00560441,23956566,15.9536,-0.0100938,-0.0862343,-0.0102928,-0.197446,0.0679657,0.0641798,-0.184581,0.127641,0.113533,-0.00901918,cluster_5,ingroup,NA
PRJNA431202,SAMN08465573,Athene_cunicularia,male,BO17-003,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,455657,0.00561892,23960163,16.9546,-0.00549042,0.0391829,0.06491,0.00240556,-0.0356276,-0.00208503,-0.0118526,0.0107116,-0.0662615,0.0080179,cluster_2,ingroup,NA
PRJNA431202,SAMN08465569,Athene_cunicularia,female,BO15-236,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,456338,0.00562732,23957840,16.6255,-0.00600698,-0.0669038,-0.064223,-0.01602,-0.0114022,-0.00149474,-0.0163372,-0.0290937,-0.0375194,-7.18625e-4,cluster_5,ingroup,NA
PRJNA431202,SAMN08465465,Athene_cunicularia,female,BO15-125,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,457520,0.00564189,23960132,20.0383,-0.00818424,-0.0718164,-0.0624861,-0.015952,-0.00249075,0.00676775,-0.0207506,-0.0251979,-0.0749523,-0.0198324,cluster_5,ingroup,NA
PRJNA431202,SAMN08465494,Athene_cunicularia,female,BO15-115,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,458295,0.00565145,23957379,16.2851,-0.00799735,-0.0849953,-0.0556501,-0.063778,0.015271,-0.0386364,-0.0374102,-0.00933322,-0.0273073,-0.0151418,cluster_5,ingroup,NA
PRJNA431202,SAMN08465513,Athene_cunicularia,female,BO15-087,B_urban_2013,B,urban,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,458318,0.00565173,23956831,15.5288,-0.0113559,0.129708,-0.260535,-0.0134455,0.087585,-0.0402389,0.245447,0.333023,0.0478849,0.0219698,cluster_1,exclude,9
PRJNA431202,SAMN08465518,Athene_cunicularia,male,BO15-096,B_urban_2014,B,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,458787,0.00565752,23957271,14.5949,-0.0105223,0.200867,-0.00526651,0.0110301,-0.0392223,0.00774899,-0.0904434,-0.126535,-0.183076,-0.299678,cluster_3,ingroup,2
PRJNA431202,SAMN08465568,Athene_cunicularia,female,BO15-235,B_rural_2015,B,rural,2015,GCA_003259725.1,Athene_cunicularia,81093328,0,459125,0.00566169,23957717,16.6212,-0.00719387,-0.0673362,-0.061708,-0.00494688,-0.00239433,-0.00574437,-0.0220657,-0.020799,-0.0427675,-0.0277537,cluster_5,ingroup,NA
PRJNA431202,SAMN08465539,Athene_cunicularia,male,BO15-074,C1_urban_2012,C1,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,460682,0.00568089,23956998,13.9124,-0.00642942,0.00554685,0.120013,0.184913,0.144572,-0.0189235,0.0159346,0.0268046,0.109628,-0.0267056,cluster_2,ingroup,NA
