BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB7359,SAMEA3175122,Ficedula_speculigera,female,Morocco,Africa,FSP08-011,FSP08,011,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1003239,0.00845264,22491322,18.6304,0.050899,-0.0331231,-0.203384,-0.0150678,-0.00157796,0.00422508,0.00225949,0.00730341,2.48983e-4,-0.00782877,cluster_1,outgroup,NA
PRJEB7359,SAMEA3175128,Ficedula_speculigera,male,Morocco,Africa,FSP08-019,FSP08,019,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1011528,0.00852248,22491307,16.7151,0.050506,-0.0323877,-0.200992,-0.0128068,-0.00149893,-0.00402523,-1.38078e-4,0.00181017,-0.00287287,0.00279948,cluster_1,outgroup,NA
PRJEB7359,SAMEA3174137,Ficedula_semitorquata,male,Bulgaria,Europe,FST_27,FST,27,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1050670,0.00885226,21318910,12.124,-3.56171e-4,-0.210386,0.0536517,-0.0118696,-0.00325119,-0.00731702,-0.0236863,0.0718243,-0.146241,-0.192995,cluster_8,outgroup,NA
PRJEB7359,SAMEA3175117,Ficedula_speculigera,female,Morocco,Africa,FSP08-002,FSP08,002,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1092604,0.00920557,22491694,16.9932,0.0509275,-0.0329222,-0.203912,-0.0121118,-0.00266471,0.00328736,-0.00141903,0.00597507,0.0019379,0.0148587,cluster_1,outgroup,NA
PRJEB7359,SAMEA3174141,Ficedula_semitorquata,male,Bulgaria,Europe,FST_35,FST,35,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1112049,0.0093694,21317038,8.68477,-7.01812e-4,-0.21339,0.055253,-0.0233473,-0.0046489,-0.00936993,-0.477025,-0.466972,0.0732656,0.0200062,cluster_8,outgroup,NA
PRJEB7359,SAMEA3175135,Ficedula_speculigera,male,Morocco,Africa,FSP08-026,FSP08,026,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1127622,0.00950061,22492446,11.4619,0.0507627,-0.0330547,-0.203984,-0.0137795,-0.00326691,-0.00214025,8.50297e-4,4.68601e-4,0.00318538,2.48475e-4,cluster_1,outgroup,NA
PRJEB7359,SAMEA2785541,Ficedula_hypoleuca,male,Sweden,Europe,SP_14,SP,14,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1134577,0.00955921,34372867,26.4036,0.0877376,0.0286418,0.0371771,-0.00412942,-0.0605686,0.015322,-2.06897e-4,-0.00352389,-9.13243e-4,-0.00543376,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174139,Ficedula_semitorquata,male,Bulgaria,Europe,FST_32,FST,32,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1135456,0.00956662,21318558,11.2281,-5.53908e-4,-0.20714,0.0530591,-0.0142685,-0.00331069,-0.00241823,-0.024289,0.104735,-0.101945,-0.0335769,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785540,Ficedula_hypoleuca,male,Sweden,Europe,SP_13,SP,13,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1181511,0.00995465,34372153,22.1999,0.0874817,0.0286466,0.0369816,-0.00387124,-0.0555635,0.0131668,-2.40152e-4,-0.00211304,-0.00194768,4.77287e-4,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174135,Ficedula_semitorquata,male,Bulgaria,Europe,FST_22,FST,22,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1190617,0.0100314,21319188,11.999,-7.38342e-4,-0.206581,0.0525933,-0.0115308,-0.00409977,-0.00440572,0.0201896,0.0795876,-0.0972421,-0.0675613,cluster_8,outgroup,NA
