BioProject,BioSample,Organism,sex,Locality,Province,Sample Name,Population,Continent,Country,Submitter_ID,Latitude,Longitude,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA304164,SAMN04296375,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39490,51.77,-1.34,GCF_001522545.3,Parus_major,49993475,0,1003152,0.0200657,49988398,6.32851,-0.0930773,-0.00786995,-0.00103571,0.00177996,4.30411e-4,3.35852e-4,0.00108107,-0.00150092,0.00113559,-0.00123924,cluster_2,ingroup,NA
PRJNA304164,SAMN04296351,Parus_major,male,Velky Kosr,NA,NA,NA,Europe,Czech Republic,52,49.32,17.04,GCF_001522545.3,Parus_major,49993475,0,1198375,0.0239706,49988158,6.41369,-0.0930331,-0.00798427,-4.82265e-4,0.00127248,-1.46113e-4,-0.00142685,4.94007e-4,-0.00128839,-9.78327e-4,0.0012681,cluster_2,ingroup,NA
PRJNA274877,SAMN03333192,Parus_major,missing,Gaoligong,Yunnan,5242,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1458608,0.029176,49980399,5.52998,0.193061,-0.218753,0.00749605,0.082291,-0.148539,0.00175664,-0.0290518,-0.00780667,-0.00549849,-0.00197177,cluster_3,ingroup,NA
PRJNA274877,SAMN03333200,Parus_major,missing,Eerguna,Inner Mongolia,11556,MON,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1469073,0.0293853,49987247,4.98414,-0.0937347,-0.0072710199999999996,-0.00106541,0.00120303,-6.27216e-4,1.39575e-4,-0.00182506,0.00146515,-2.43714e-5,0.00198101,cluster_2,ingroup,NA
PRJNA274877,SAMN03333201,Parus_major,missing,Eerguna,Inner Mongolia,11557,MON,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1516947,0.0303429,49986996,4.79799,-0.093621,-0.00696243,-0.00182331,0.00247727,-7.57394e-5,-3.44127e-4,-0.00176874,-6.66288e-4,0.00169167,6.97108e-4,cluster_2,ingroup,NA
PRJNA274877,SAMN03333208,Parus_major,missing,Altai Region,Russia,17252,MON,Asia,Russia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1543188,0.0308678,49986668,4.65246,-0.0928674,-0.00808898,-5.71253e-4,7.07091e-4,4.57502e-4,1.94256e-5,-1.6168e-4,0.00220414,-8.93048e-4,0.00135568,cluster_2,ingroup,NA
PRJNA274877,SAMN03333204,Parus_major,missing,Teshig,Mongolia,15081,MON,Asia,Mongolia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1558570,0.0311755,49986747,4.99779,-0.0956856,-0.00943405,-0.00407844,0.00118171,-7.2914e-5,0.00216527,2.93209e-4,-0.0027596,4.57435e-4,-0.00108072,cluster_2,ingroup,NA
PRJNA274877,SAMN03333190,Parus_major,missing,Gaoligong,Yunnan,5226,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1678912,0.0335826,49978321,5.13016,0.190371,-0.214755,0.00144051,0.0816056,-0.157931,-6.04633e-4,-0.00717439,0.0051534,0.00676074,-0.00591339,cluster_3,ingroup,NA
PRJNA274877,SAMN03333199,Parus_major,missing,Eerguna,Inner Mongolia,11555,MON,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1717100,0.0343465,49985950,4.71171,-0.0946902,-0.00820923,-0.00214373,-2.49666e-4,-0.0012226,0.00262081,-5.44482e-4,-0.00104661,0.00229742,-5.56236e-4,cluster_2,ingroup,NA
PRJNA274877,SAMN03333191,Parus_major,missing,Gaoligong,Yunnan,5236,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1723980,0.0344841,49977104,5.21549,0.191931,-0.218224,0.0027743,0.0781145,-0.161698,0.0270863,-0.00134483,-0.0162728,0.0220193,-0.00631333,cluster_3,ingroup,NA
