BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB22939,SAMEA104363394,Passer_italiae,NA,male,Malta,Italy,NA,NA,Europe,GCA_001700915.1,Passer_domesticus,95014342,0,704377,0.00741338,46668180,17.4988,0.0209144,-0.0463766,0.00120418,-1.50115e-4,-0.0013973,-3.19439e-4,-9.61172e-4,-6.68416e-4,-1.27285e-4,-9.07206e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785147,Passer_montanus,PM5,undetermined,Malta,Malta,"14°38'26.19"" E","35°94'58.39"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,708990,0.00746193,32327415,11.8546,-0.304457,-0.0143563,-0.00432141,0.0776861,-0.041546,-0.353605,-0.354454,-0.383943,-0.120657,-0.475702,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785141,Passer_montanus,PM001-Malta,undetermined,Malta,Malta,"14°38'26.19"" E","35°94'58.39"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,711760,0.00749108,32327535,12.4719,-0.304009,-0.0142888,-0.00505996,-0.0561207,-0.208722,-0.219399,-0.00593966,0.235923,-0.0645348,-0.217183,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785145,Passer_montanus,PM2,undetermined,Malta,Malta,"14°38'26.19"" E","35°94'58.39"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,712439,0.00749823,32327742,12.3549,-0.30642200000000003,-0.0141364,-0.00393906,0.221962,-0.0469618,-0.0846447,-0.111579,-0.510794,0.354185,0.634238,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785120,Passer_domesticus,Pdomesticus_9_Golestan_105,male,Golestan,Iran,"54°37'53.5"" E","37°03'07.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,719222,0.00756962,58586090,11.474,0.0083101,0.168618,0.150322,-0.00279036,0.00207916,0.00216977,0.00259693,2.5106e-4,0.00144682,-0.00181124,cluster_5,ingroup,NA
PRJEB27649,SAMEA4785149,Passer_montanus,5PMCos,undetermined,Corsica,Italy,"9°19'80.6"" E","41°58'44.3"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,719797,0.00757567,32327056,11.1365,-0.306765,-0.014,-0.00459021,0.267038,-0.100749,-0.149795,-0.221296,0.0355567,-0.260526,-0.0515158,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785113,Passer_domesticus,Pdomesticus_2_Kardeh_1,male,Kardeh,Iran,"59°40'03.5"" E","36°39'21.7"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,723408,0.00761367,58585001,11.8235,0.00817476,0.171228,0.148488,-8.70916e-4,0.00543824,0.00167304,-7.50224e-4,5.78906e-4,3.66578e-4,3.89432e-4,cluster_5,ingroup,NA
PRJEB27649,SAMEA4785091,Passer_hispaniolensis,KAZ14001,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,734465,0.00773004,37218035,16.8185,0.0222234,-0.103276,0.0823324,8.35293e-4,4.4539e-4,-5.84776e-4,4.47258e-5,6.02631e-4,-7.84856e-5,-5.4013e-4,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785119,Passer_domesticus,Pdomesticus_8_Golestan_104,male,Golestan,Iran,"54°37'53.5"" E","37°03'07.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,745376,0.00784488,58584942,10.988,0.00860638,0.167111,0.148676,-0.0038976,0.00491515,0.00237713,0.00137352,9.81514e-4,-0.00153559,0.00233965,cluster_5,ingroup,NA
PRJNA255814,SAMN06619719,Passer_italiae,Pitaliae_28_Guglionesi_434,male,Guglionesi,Italy,"~ 14° 54' 50""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,761119,0.00801057,46667697,12.2683,0.0193597,-0.00358265,-0.0384142,-4.46604e-5,5.91614e-4,-9.50696e-4,-0.00140551,-5.88333e-5,-1.76871e-4,7.94126e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785143,Passer_montanus,PM003,undetermined,Naxos,Italy,"15°16'12"" E","37°49'08.91"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,769152,0.00809511,32325156,10.3172,-0.306201,-0.0142046,-0.00847158,0.337726,-0.265224,0.253246,0.250515,0.204778,-0.563545,0.287902,cluster_3,outgroup,NA
PRJNA255814,SAMN06619702,Passer_hispaniolensis,Phisp_11_Lesina_280,male,Lesina,Italy,"~ 15° 27' 03""E","~ 41° 51'30.84"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,775501,0.00816194,37217866,14.4967,0.0219914,-0.0990902,0.078986,-8.79491e-5,1.52906e-4,1.38592e-5,0.00030295400000000003,-2.42605e-4,-3.08707e-4,-6.36495e-4,cluster_1,outgroup,NA
