BioProject,BioSample,Organism,sex,Submitter_ID,FAO_Fishing_Area,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB14402,SAMEA4032518,Thunnus_albacares,missing,SOU005,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,1955637,0.047539,41105675,5.16197,-0.0211657,-0.1042,0.0458284,0.00494913,0.0210304,0.00562619,-0.033004,0.0141662,-0.0427152,0.0031674,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032495,Thunnus_albacares,missing,IVO012,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares,41137503,0,1957430,0.0475826,41104392,6.80103,-0.033706,0.18362,-0.170075,-0.147447,0.0885208,-0.0315334,-0.0404051,0.311136,0.0931485,-0.119285,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032490,Thunnus_albacares,missing,ELS002,"Pacific, Eastern Central",NA,"5° N, 104° W",GCA_900302625.1,Thunnus_albacares,41137503,0,1982815,0.0481997,41088544,6.08669,-0.0322205,0.282185,0.216732,-0.0763793,0.050073,0.0469146,0.0726716,-0.00933957,-0.0817593,0.00304939,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032523,Thunnus_albacares,missing,USA001,"Atlantic, Northwest",USA,"Rhode Island, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,1982833,0.0482001,41105000,5.38322,-0.0202288,-0.0998683,-0.14038,0.0179332,0.137177,0.0561766,-0.0445696,0.0359472,-0.0192714,0.0137343,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032504,Thunnus_albacares,missing,JAP005,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares,41137503,0,1989758,0.0483685,41105664,7.77631,-0.0202432,-0.148415,0.0974803,0.0353987,-0.0207799,-0.0610673,0.0130401,-0.0046436,-0.0102601,-0.00241104,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032502,Thunnus_albacares,missing,JAP003,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares,41137503,0,2031783,0.04939,41103117,6.7947,-0.0180517,-0.149202,0.132412,0.069438,-0.119225,0.033209,0.0115334,-0.181511,-0.0381943,0.0215891,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032486,Thunnus_albacares,missing,CAP249,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares,41137503,0,2051550,0.0498706,41099914,5.67172,-0.0326471,0.167009,-0.172662,-0.0613685,0.0623991,0.0410055,-0.0577698,0.145764,0.0858607,-0.225621,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032514,Thunnus_albacares,missing,OMA006,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,2065091,0.0501997,41095004,6.16411,-0.0318696,0.311339,0.338304,-0.254636,-0.00911831,-0.352656,0.219099,-0.0964461,0.204991,-0.157337,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032503,Thunnus_albacares,missing,JAP004,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares,41137503,0,2072589,0.050382,41083650,10.5872,-0.0184438,-0.201058,0.130722,0.209093,-0.56433,0.076587,0.0610487,0.46639,-0.25351,-0.193204,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032499,Thunnus_albacares,missing,IVO016,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares,41137503,0,2079135,0.0505411,41077138,11.9087,-0.0279593,0.0578911,-0.164785,0.0164871,0.153648,0.268494,-0.064609,-0.0634854,0.0894417,0.317587,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032510,Thunnus_albacares,missing,JAP108,"Pacific, Northwest",Japan,Kozu Island,GCA_900302625.1,Thunnus_albacares,41137503,0,2088289,0.0507636,41103284,5.2274,-0.0170676,-0.151628,0.0827003,0.0293248,0.00926789,0.0580549,0.0455038,-0.178954,0.0415357,-0.0588034,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032500,Thunnus_albacares,missing,JAP001,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares,41137503,0,2105031,0.0511706,41096542,6.26333,0.987021,0.0320331,-0.00879974,-0.00330044,0.00155458,1.19194e-4,-0.00280457,0.00142303,-0.00424249,-0.00489705,cluster_1,ingroup,NA
PRJEB14402,SAMEA4032488,Thunnus_albacares,missing,CAP255,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares,41137503,0,2169282,0.0527325,41095387,5.42544,-0.03126,0.0965738,-0.143827,-0.0646912,-0.0127567,0.0121849,-0.0739772,0.11423,0.16024,-0.030549,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032505,Thunnus_albacares,missing,JAP102,"Pacific, Northwest",Japan,Kozu Island,GCA_900302625.1,Thunnus_albacares,41137503,0,2187596,0.0531777,41101606,4.91769,-0.0174449,-0.101728,0.00801597,-0.0187038,-0.06471,-0.139076,-0.163886,0.00987201,0.0924885,-0.061002,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032501,Thunnus_albacares,missing,JAP002,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares,41137503,0,2229766,0.0542028,41094460,6.43031,-0.0174012,-0.179418,0.141155,-0.0232719,-0.239774,0.152043,0.00749777,-0.246057,0.179303,-0.198919,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032492,Thunnus_albacares,missing,IND571,"Indian Ocean, Eastern",Indonesia,"Denpasar, 10°S, 110°E",GCA_900302625.1,Thunnus_albacares,41137503,0,2229954,0.0542073,41098568,5.67444,-0.0177565,-0.161054,0.0361721,-0.031175,0.163326,-0.166095,0.0181104,0.155236,-0.0654218,0.301486,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032513,Thunnus_albacares,missing,OMA005,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,2236312,0.0543619,41081720,6.07155,-0.031666,0.22552,0.227528,0.0680123,-0.00687084,-7.25456e-4,0.124022,-0.134988,-0.276914,-0.182325,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032519,Thunnus_albacares,missing,SOU006,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,2255425,0.0548265,41089586,6.18477,-0.0239501,-0.0696329,-0.0362516,-0.037374,0.0369894,-0.00803195,-0.080135,0.119312,0.0498304,-0.0021721,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032521,Thunnus_albacares,missing,SOU010,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares,41137503,0,2328445,0.0566015,41099111,4.68385,-0.0244391,-0.0949942,0.0113981,-0.00832107,0.249802,0.118323,-0.149552,-0.063118,-0.187478,-0.125047,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032515,Thunnus_albacares,missing,OMA007,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,2363873,0.0574627,41093792,5.75706,-0.0304571,0.269448,0.197914,-0.0279902,0.0487581,-0.0931256,-0.00468474,0.0740193,-7.88798e-4,0.00428205,cluster_2,ingroup,NA
PRJEB14402,SAMEA4032511,Thunnus_albacares,missing,OMA002,"Indian Ocean, Western",Oman,"Muscat, local fish market",GCA_900302625.1,Thunnus_albacares,41137503,0,2699704,0.0656263,41085482,6.43033,-0.0268357,-0.0263866,0.0762008,0.00602804,0.134577,0.0801249,0.0679241,-0.218349,-0.244532,0.0220849,cluster_3,ingroup,NA
PRJEB14402,SAMEA4032484,Thunnus_albacares,missing,CAP247,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares,41137503,0,3210546,0.0780443,41003798,8.44574,-0.0320591,0.210212,-0.315117,0.731002,-0.0775044,-0.456883,-0.0331168,-0.178511,0.0650799,0.00479135,cluster_2,ingroup,NA
