BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB38173,SAMEA6815748,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO629,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,311865,0.0183032,4318806,14.2886,-0.0749289,-0.00863388,-0.00542318,0.0083189,0.00440276,0.01682,-0.0603476,0.0101256,-0.00146855,-0.00451479,cluster_5,outgroup,NA
PRJEB38173,SAMEA6815720,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_03975,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,314492,0.0184574,4875467,21.8777,-0.0745519,-0.0103546,-0.00301673,0.00767882,0.00517957,0.0411504,-0.00640623,0.00162823,0.00543282,-0.00322177,cluster_5,exclude,10
PRJEB38173,SAMEA6816059,Amphilophus_viridis,missing,Xil_vir_d_ben_01254,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,316164,0.0185556,5512726,23.1197,0.0379941,-0.0573871,-0.00916245,0.00401006,-0.0255359,0.00204685,-0.00273157,-0.0180174,0.0050847,0.0112695,cluster_8,exclude,2
PRJEB38173,SAMEA6816024,Amphilophus_amarillo,missing,Xil_ama_d_ben_17974,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,323366,0.0189782,5443093,18.5787,0.0357782,-0.0487436,-0.00470704,0.00374246,-0.0260217,-0.00145347,-0.00751874,-0.0386527,0.0227214,0.129391,cluster_9,outgroup,NA
PRJEB38173,SAMEA6815697,Amphilophus_chancho,missing,Apo_cl3_d_ben_19363,CL Apoyo,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,324305,0.0190333,4286936,21.3133,-0.0783422,-0.0116145,-0.0049923500000000004,0.00984097,0.00540218,-0.0164772,-0.145306,0.00546419,-0.00966845,-0.00802889,cluster_10,outgroup,NA
PRJEB38173,SAMEA6815694,Amphilophus_chancho,missing,Apo_cl3_d_ben_18412,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,325703,0.0191154,4286322,19.3029,-0.0788433,-0.0130814,-0.00839518,0.00988082,0.00340969,-0.0300183,-0.179529,0.00855647,-0.0105166,-0.00707207,cluster_10,exclude,10
PRJEB38173,SAMEA6815693,Amphilophus_chancho,missing,Apo_cl3_d_ben_18401,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,326648,0.0191709,4286229,19.4549,-0.0798516,-0.0134884,-0.00863187,0.00821613,0.00423425,-0.0275265,-0.165985,0.00589901,-0.0104519,-0.0062223,cluster_10,exclude,10
PRJEB38173,SAMEA6815691,Amphilophus_chancho,missing,Apo_cl3_d_ben_18399,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,328993,0.0193085,4285728,16.5918,-0.079977500000000007,-0.0120009,-0.00818443,0.00933993,0.00605706,-0.0194807,-0.167518,0.00850485,-0.0074167,-0.00330751,cluster_10,exclude,10
PRJEB38173,SAMEA6815716,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_02419,CL Apoyo,2013,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,333103,0.0195497,4874808,21.0811,-0.0747931,-0.0111426,-0.00517616,0.00487711,0.00224229,0.018635,-0.0114808,0.00519845,0.00181864,-0.00262363,cluster_5,exclude,10
PRJEB38173,SAMEA6816073,Amphilophus_viridis,missing,Xil_vir_d_ben_19323,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,334813,0.0196501,5511753,16.988,0.0356643,-0.0496925,-0.005575,0.00741039,-0.0168346,0.00210015,-0.00536248,-0.0246439,0.00303855,0.0511717,cluster_9,exclude,2
PRJEB38173,SAMEA6816063,Amphilophus_viridis,missing,Xil_vir_d_ben_13051,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,335617,0.0196972,5512763,21.2569,0.0352265,-0.0500429,-0.00710788,0.00500586,-0.011727,0.00556431,-6.46055e-4,-0.0304036,0.00624714,0.0538581,cluster_9,exclude,2
PRJEB38173,SAMEA6815726,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12478,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,335998,0.0197196,4875072,16.1363,-0.0716063,-0.00994922,-0.00431113,0.0044491,0.00427369,0.0125822,-0.0155275,0.00276021,-7.08109e-4,-0.00340742,cluster_5,exclude,10
PRJEB38173,SAMEA6816106,Amphilophus_sagittae,missing,Xil_xil_g_ben_19488,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,336341,0.0197397,5600091,27.7757,0.0465365,-0.101616,-0.0170823,0.00878977,-0.0310092,-0.0028792,0.00720236,0.0348852,-0.0024023,-0.103147,cluster_1,outgroup,12
