BioProject,BioSample,Organism,sex,Country,Continent,lat_lon,Submitter_Id,Collection_date,Location,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB27858,SAMEA4799776,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20568,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,361741,0.0156478,16582178,23.9677,0.061359,-0.0114704,0.0465865,0.0853572,-0.0528967,-0.0413834,0.105163,-0.0980998,-0.0107646,0.144004,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799785,Hypoplectrus_unicolor,missing,Panama,North America,9.2983 N 82.2894 E,18442,2004-07-08,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,362326,0.0156731,16579434,17.6951,0.058082,0.122616,-0.217281,0.00187733,0.0509128,-0.0608531,0.067886,0.0797313,0.0974267,-0.0777579,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799733,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20553,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,363671,0.0157313,16614130,21.6498,0.0342627,-0.00746419,0.0662473,0.0348126,-0.0172909,-0.0752003,0.0362906,0.00359246,-0.0285405,0.0389833,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799685,Hypoplectrus_nigricans,missing,Belize,North America,16.8008 N 88.0789 E,18156,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,364240,0.0157559,16104403,22.0413,-0.0450962,-0.249427,-0.0252856,-0.114172,-0.0357287,-0.0695403,-0.179288,-0.0622392,0.135194,-0.0228654,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799702,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20607,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,364905,0.0157847,16103684,21.0531,0.017591,-0.0375746,0.0572324,0.0573783,-0.0497279,-0.121676,0.0809592,0.094485,-0.0518381,-0.160717,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799696,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20601,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,364934,0.0157859,16103752,18.7141,0.0102534,-0.0665055,0.0683079,0.0386272,-0.0606304,-0.140793,0.0936061,0.0742675,-8.94709e-4,-0.136385,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799703,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20608,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,365297,0.0158016,16103957,20.2779,0.0155723,-0.0450156,0.073771,0.0367157,-0.0582538,-0.149279,0.0651792,0.0848665,-0.0184047,-0.0853812,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799693,Hypoplectrus_nigricans,missing,Belize,North America,16.8058 N 88.0792 E,18187,2004-07-26,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,366228,0.0158419,16104244,21.5775,-0.0603062,-0.187888,-0.0211468,-0.102684,0.0576136,-0.0475344,-0.00135953,-0.0507583,0.0942794,0.0360435,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799683,Hypoplectrus_nigricans,missing,Belize,North America,16.7653 N 88.1442 E,18153,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,367137,0.0158812,16103997,19.6502,-0.0528713,-0.202402,-0.0291899,-0.110431,0.0732073,-0.0666407,-0.015932,-0.0503349,0.108556,-0.00627288,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799736,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20556,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,367614,0.0159019,16614334,23.9327,0.0315845,-0.0059202,0.0577405,0.0264513,-0.0119642,-0.0633593,-7.30128e-4,0.0366078,0.0280206,-0.00764887,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799767,Hypoplectrus_unicolor,missing,Belize,North America,16.8936 N 88.1226 E,20149,2005-08-12,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,371515,0.0160706,16582137,19.5486,0.0610202,-0.0205893,-0.00717349,0.0808255,-0.0599183,0.105771,-0.0357042,-0.229851,9.07498e-6,-0.177322,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799781,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18435,2004-06-23,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,372993,0.0161346,16579373,17.2449,0.0524597,0.130575,-0.287717,-0.0431544,0.0428636,-0.00656229,0.0259962,0.06693,0.00931935,-0.00884091,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799697,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20602,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,374362,0.0161938,16103511,19.1371,0.0174197,-0.0368482,0.0615063,0.0356134,-0.0586572,-0.159027,0.0544266,0.0936548,-0.00682238,-0.115026,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799775,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20567,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,375307,0.0162347,16582233,21.8728,0.061949,0.00585652,0.0430219,0.0836736,-0.0187674,-0.0456885,0.0853469,-0.101482,0.0104799,0.117568,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799701,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20606,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,375312,0.0162349,16103813,18.887,0.0154711,-0.0558241,0.0341827,0.0492677,-0.0658284,-0.120161,0.0619302,0.0657682,-0.00337007,-0.0687214,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799699,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20604,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,375817,0.0162567,16103543,16.7092,0.0127735,-0.0564942,0.0483633,0.0271645,-0.0768274,-0.123435,0.0804943,0.0356699,0.00441815,-0.129199,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799780,Hypoplectrus_unicolor,missing,Panama,North America,10.2392 N 83.1731 E,18420,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,376709,0.0162953,16579168,16.7738,0.0564249,0.112169,-0.217542,0.00556922,0.0385469,-0.0496353,0.00105531,0.0787715,0.0765221,-0.120184,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799720,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18154,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,376743,0.0162968,16613829,20.4982,0.0526866,-0.00496311,0.0421818,0.016436,0.0927494,0.174848,-0.00764692,0.21152,-0.0433727,0.0551323,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799757,Hypoplectrus_unicolor,missing,Belize,North America,NA,18261,2004-07-24,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,377061,0.0163105,16581439,18.1244,0.0626174,-0.02828,-0.105603,0.00648073,-0.0792317,0.122054,-0.0475568,-0.134021,-0.18577,-0.109779,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799722,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18166,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,377366,0.0163237,16613840,20.2833,0.0561327,-0.0313107,0.0747382,0.0230198,0.0895301,0.179517,-0.00269663,0.185697,0.11816,-0.0187351,cluster_5,ingroup,NA
PRJEB27858,SAMEA4799686,Hypoplectrus_nigricans,missing,Belize,North America,16.8008 N 88.0789 E,18157,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,377573,0.0163327,16104076,19.6201,-0.0523049,-0.197442,-0.114407,-0.157398,0.102933,0.00437956,0.0414887,8.50932e-4,-0.107945,0.0954808,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799747,Hypoplectrus_puella,missing,Panama,North America,10.2392 N 83.1731 E,18427,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,378211,0.0163603,16611456,17.7553,0.0190413,0.125097,0.107089,-0.100781,0.1113,-0.0795648,-0.0507376,-0.0510966,-0.0415047,0.00744862,cluster_7,ingroup,NA
PRJEB27858,SAMEA4799786,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18445,2004-06-28,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,378926,0.0163912,16579260,16.354,0.0544171,0.0939666,-0.228342,-0.00620868,0.0606821,-0.0162825,-0.0294097,0.10659,-0.0111123,-0.0123028,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799746,Hypoplectrus_puella,missing,Panama,North America,10.2392 N 83.1731 E,18426,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,379536,0.0164176,16611526,17.3478,0.0119065,0.107348,0.102416,-0.0720334,0.149885,-0.0605609,-0.0798972,-0.0197215,-0.0900583,0.0146842,cluster_7,ingroup,NA
PRJEB27858,SAMEA4799758,Hypoplectrus_unicolor,missing,Belize,North America,NA,18267,2004-07-24,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,380855,0.0164746,16582338,23.0109,0.0568086,-0.0508239,0.00272875,0.0722008,-0.0263433,0.151691,-0.0420604,-0.0609649,0.104007,-0.0971392,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799774,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20566,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,380956,0.016479,16582100,21.8425,0.0635453,0.00409132,0.0238641,0.0824115,-0.0527654,-0.0401553,0.144663,-0.138002,0.0157935,0.13035,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799765,Hypoplectrus_unicolor,missing,Belize,North America,16.8936 N 88.1226 E,20128,2005-08-12,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,381455,0.0165006,16582036,18.9171,0.0746524,-0.0497106,0.0137146,0.0551958,-0.0666438,0.0847843,-0.165763,-0.147829,-0.0155889,-0.0756102,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799724,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18172,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,381537,0.0165041,16613894,19.7077,0.059431,-0.0180446,0.0710266,0.0189108,0.0931469,0.147617,-0.0425925,0.154022,0.103424,0.0296999,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799783,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18440,2004-06-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,382742,0.0165563,16579195,16.8405,0.0535917,0.113463,-0.244301,-0.00210305,0.0181381,-0.0149976,0.0432112,0.0193275,-0.023698,0.013815,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799772,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20564,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,383776,0.016601,16582563,23.8641,0.0651283,-0.00331879,0.034825,0.110869,-0.0392483,0.0176846,0.058489,-0.111652,0.0400613,0.179261,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799734,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20554,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,385539,0.0166773,16613812,18.4061,0.0392819,-0.0124548,0.0424836,0.0425093,-0.0290636,-0.0281504,0.0623031,-0.00867559,-0.0419501,0.0337795,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799779,Hypoplectrus_unicolor,missing,Panama,North America,NA,16_31-40,2016,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,385571,0.0166786,16580189,43.5576,0.0665309,0.0357647,-0.0941804,0.0193854,-0.229009,-0.0941534,-0.355204,0.117288,0.118721,0.256476,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799766,Hypoplectrus_unicolor,missing,Belize,North America,16.8936 N 88.1226 E,20135,2005-08-12,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,386236,0.0167074,16581805,17.7352,0.0682411,-0.0378537,-0.00510944,0.0489597,-0.0930322,0.0920388,-0.173966,-0.179784,0.0367472,-0.137728,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799731,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20551,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,387481,0.0167613,16613628,18.865,0.037035,-0.0148243,-0.0566769,-0.00556137,-0.0389213,0.0323913,0.105812,0.053371,-0.182837,0.100814,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799741,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20635,2006-06-05,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,387643,0.0167683,16613821,21.483,0.0442604,-0.0106396,-0.0464926,-0.0144884,0.0116407,0.0829231,0.154602,0.0522106,-0.211479,0.0883791,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799688,Hypoplectrus_nigricans,missing,Belize,North America,16.8008 N 88.0789 E,18159,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,388429,0.0168023,16103581,18.296,-0.0473272,-0.218784,-0.00831548,-0.111652,0.0397951,-0.0554876,-0.0932105,-0.0276948,0.0853792,0.0186196,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799753,Hypoplectrus_puella,missing,Panama,North America,9.2983 N 82.2894 E,18915,2005-03-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,388542,0.0168072,16610765,16.7472,0.0130482,0.102921,0.0966325,-0.0677672,0.112049,-0.0657792,-0.0488433,-0.00764848,-0.0609675,0.01099,cluster_7,ingroup,NA
PRJEB27858,SAMEA4799764,Hypoplectrus_unicolor,missing,Belize,North America,16.8936 N 88.1226 E,20126,2005-08-12,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,388664,0.0168124,16582053,18.7894,0.0680087,-0.0582952,-0.00100614,0.0580018,-0.0910796,0.0898955,-0.152851,-0.160351,0.00460277,-0.0821061,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799769,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20561,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,391456,0.0169332,16582035,19.7155,0.0545595,0.00453932,0.018614,0.0723801,-0.0403304,-0.0323346,0.0731344,-0.112696,0.0556831,0.181403,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799771,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20563,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,392162,0.0169637,16582100,19.336,0.0568228,-0.0129922,0.0308458,0.0588542,-0.0511429,-0.021923,0.0986459,-0.149733,0.0482181,0.247237,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799743,Hypoplectrus_puella,missing,Panama,North America,10.2392 N 83.1731 E,18419,2004-05-12,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,392793,0.016991,16610823,16.4415,0.0154115,0.127928,0.114482,-0.0898553,0.119715,-0.0674013,-0.118872,-0.0682802,-0.147081,-0.0236784,cluster_7,ingroup,NA
PRJEB27858,SAMEA4799761,Hypoplectrus_unicolor,missing,Belize,North America,16.7078 N 87.8598 E,19881,2005-08-16,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,396576,0.0171547,16581720,19.1037,0.0623261,-0.0522556,-0.0124678,0.0573721,-0.0900308,0.112953,-0.145202,-0.169825,-0.0116027,-0.0725663,cluster_5,outgroup,NA
PRJEB27858,SAMEA4799728,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18178,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,398094,0.0172203,16613385,18.6429,0.0650873,-0.0183683,0.0772191,0.038869,0.0873353,0.173565,-0.031494,0.167776,0.0587385,0.0116585,cluster_5,ingroup,NA
PRJEB27858,SAMEA4799768,Hypoplectrus_unicolor,missing,Honduras,North America,15.9558 N 83.2931 E,20560,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,398811,0.0172514,16581538,17.0211,0.0626678,0.00891943,0.0121623,0.0729618,-0.0163953,-0.0127296,0.119718,-0.092426,0.0466884,0.243276,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799790,Hypoplectrus_unicolor,missing,Panama,North America,9.3328 N 82.2547 E,18450,2004-06-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,399412,0.0172774,16578757,15.2321,0.0591739,0.12374,-0.241432,-0.0159508,0.0362346,-0.00974764,-0.0204169,0.0262584,-0.0172694,-0.0455497,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799760,Hypoplectrus_unicolor,missing,Belize,North America,16.7653 N 88.1442 E,18276,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,399995,0.0173026,16581904,19.3181,0.0610037,-0.0156899,0.0262241,0.0448824,0.0316911,0.159699,-0.0143832,0.0628817,0.0686554,-0.00476548,cluster_8,outgroup,NA
PRJEB27858,SAMEA4799730,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18180,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,400954,0.0173441,16613477,17.9547,0.0647244,-0.0293874,0.0742156,0.0387196,0.0708137,0.17748,-0.0146756,-0.0391047,0.00111038,-0.113464,cluster_5,ingroup,NA
PRJEB27858,SAMEA4799742,Hypoplectrus_puella,missing,Honduras,North America,15.9558 N 83.2931 E,20638,2006-06-05,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,403417,0.0174506,16613616,17.7901,0.0366874,0.0111512,-0.0524185,-0.00252385,-0.048964,0.0235925,0.142804,0.0485619,-0.151431,0.0351714,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799788,Hypoplectrus_unicolor,missing,Panama,North America,9.2894 N 82.2589 E,18447,2004-07-09,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,408182,0.0176567,16578315,14.208,0.0641478,0.124979,-0.232837,-0.0090245,0.0337128,-0.0531913,0.0181437,0.0568589,0.115059,-0.0482809,cluster_3,outgroup,NA
PRJEB27858,SAMEA4799723,Hypoplectrus_puella,missing,Belize,North America,16.7653 N 88.1442 E,18169,2004-07-25,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,408691,0.0176787,16613289,16.5186,0.0578962,-0.00715597,0.0772233,0.0156336,0.0814561,0.111983,0.0264138,0.103904,0.0269196,-0.0197493,cluster_8,ingroup,NA
PRJEB27858,SAMEA4799716,Hypoplectrus_nigricans,missing,Panama,North America,9.2983 N 82.2894 E,18906,2005-03-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,423364,0.0183135,16102073,22.571,-0.249389,0.0512216,-0.0717325,0.0268676,-0.023996,0.100999,0.0216146,0.0542015,-0.035759,-4.92738e-4,cluster_1,outgroup,NA
PRJEB27858,SAMEA4799711,Hypoplectrus_nigricans,missing,Panama,North America,9.2983 N 82.2894 E,18901,2005-03-25,Bocas del Toro,GCA_900610375.1,Hypoplectrus_puella,23117652,0,431679,0.0186731,16102163,21.7272,-0.229856,0.0477233,0.0291632,0.0763,-0.0107929,0.0183462,-0.0119197,-0.0280042,0.0414101,-0.0266638,cluster_1,outgroup,NA
PRJEB27858,SAMEA4799692,Hypoplectrus_nigricans,missing,Belize,North America,16.8058 N 88.0792 E,18185,2004-07-26,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,436173,0.0188675,16104122,21.4811,-0.0524628,-0.220505,-0.105954,-0.162866,0.0855092,0.00459846,-0.0381364,-0.0173187,-0.0690985,0.00487136,cluster_6,outgroup,NA
PRJEB27858,SAMEA4799698,Hypoplectrus_nigricans,missing,Honduras,North America,15.9558 N 83.2931 E,20603,2006-06-04,Cayos Becerros,GCA_900610375.1,Hypoplectrus_puella,23117652,0,437480,0.0189241,16104077,21.2794,0.0213287,-0.055869,0.056406,0.0444869,-0.0746041,-0.131687,0.0889342,0.0796552,0.00720493,-0.155685,cluster_4,outgroup,NA
PRJEB27858,SAMEA4799721,Hypoplectrus_puella,missing,Belize,North America,16.8058 N 88.0792 E,18161,2004-07-26,Carrie Bow Cay,GCA_900610375.1,Hypoplectrus_puella,23117652,0,442175,0.0191272,16613111,15.6105,0.0476974,-0.0251485,0.0519539,0.0114735,0.0446215,0.0721177,0.00391095,-0.00475378,0.0234555,0.022739,cluster_5,ingroup,NA
