Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
Clupea_harengus,PRJNA642736,SAMN15398057,unknown,Fehmarn3_Fehmarn_Baltic_Autumn_rg1,Baltic Sea: Fehmarn,GCF_900700415.1,Clupea_harengus,55155261,0,2844510,0.0515728,43518975,21.6188,0.086596,-0.177402,-0.0521212,0.0645384,-0.0198097,0.00463279,-0.0733584,-0.0322739,-0.0531066,-0.0116227,cluster_5,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398054,unknown,Gavle54_Gavle_Baltic_Autumn_rg1,Baltic Sea: Gavle,GCF_900700415.1,Clupea_harengus,55155261,0,2863609,0.0519191,43527033,23.4691,0.0869413,-0.192356,-0.0624597,0.054029,-0.00960845,-0.00609816,-0.0770221,-0.0496344,-0.0422803,-0.0480545,cluster_5,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398044,unknown,NorthSea34_NorthSea_Atlantic_Autumn_rg1,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,3149100,0.0570952,43513135,15.427,0.0874591,-0.100873,-0.0290727,0.0509155,0.0169739,0.00323086,-0.0577361,-0.046382,-0.031021,0.00322626,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398042,unknown,NorthSea13_NorthSea_Atlantic_Autumn_rg1,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,3260056,0.0591069,43510290,15.0372,0.0889312,-0.0891731,-0.0486376,0.0582547,-0.0306341,0.0178827,-0.0854246,-0.0387965,-0.0377211,-0.00637768,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398043,unknown,NorthSea19_NorthSea_Atlantic_Autumn_rg1,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,3336079,0.0604852,43515725,15.6238,0.0872646,-0.122064,-0.0381088,0.0627777,-0.00118754,0.0269782,-0.0601363,-0.0627365,-0.00370264,-0.030197,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398045,unknown,Z4_IsleofMan_Atlantic_Autumn_rg2,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,3629584,0.0658067,43480254,14.6206,0.0951803,0.224309,-0.0616008,-0.302157,0.664453,0.536895,-0.0949774,-0.159477,0.168711,-0.045196,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398045,unknown,Z4_IsleofMan_Atlantic_Autumn_rg1,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,3629584,0.0658067,43480254,14.6206,0.0951803,0.224309,-0.0616008,-0.302157,0.664453,0.536895,-0.0949774,-0.159477,0.168711,-0.045196,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398047,unknown,Z14_IsleofMan_Atlantic_Autumn_rg2,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,4189974,0.0759669,43469789,10.6541,0.092632,0.334947,0.30175,0.217748,-0.0847149,0.32116,0.0103165,0.354487,-0.653177,-0.173142,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398047,unknown,Z14_IsleofMan_Atlantic_Autumn_rg1,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,4189974,0.0759669,43469789,10.6541,0.092632,0.334947,0.30175,0.217748,-0.0847149,0.32116,0.0103165,0.354487,-0.653177,-0.173142,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398052,unknown,AAL2_CelticSea_Atlantic_Winter_rg1,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4226190,0.0766235,43477704,10.706,0.0923799,0.116046,0.0352418,-0.0772042,0.0783667,-0.0282315,-0.0920082,-0.0340112,-0.0909383,0.176735,cluster_1,ingroup,NA
