BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Ecotype,refGenome,refSpecies
PRJDB5056,SAMD00056778,Gasterosteus_aculeatus,missing,SAMD00056778,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056781,Gasterosteus_aculeatus,missing,SAMD00056781,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056783,Gasterosteus_aculeatus,missing,SAMD00056783,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056785,Gasterosteus_aculeatus,female,SAMD00056785,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056790,Gasterosteus_aculeatus,female,SAMD00056790,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056791,Gasterosteus_aculeatus,male,SAMD00056791,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056793,Gasterosteus_aculeatus,male,SAMD00056793,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056796,Gasterosteus_aculeatus,male,SAMD00056796,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056801,Gasterosteus_aculeatus,male,SAMD00056801,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056802,Gasterosteus_aculeatus,male,SAMD00056802,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056803,Gasterosteus_aculeatus,male,SAMD00056803,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056776,Gasterosteus_aculeatus,missing,SAMD00056776,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056782,Gasterosteus_aculeatus,missing,SAMD00056782,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056764,Gasterosteus_aculeatus,missing,SAMD00056764,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056769,Gasterosteus_aculeatus,missing,SAMD00056769,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056798,Gasterosteus_aculeatus,male,SAMD00056798,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056799,Gasterosteus_aculeatus,male,SAMD00056799,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056787,Gasterosteus_aculeatus,female,SAMD00056787,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056768,Gasterosteus_aculeatus,missing,SAMD00056768,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056800,Gasterosteus_aculeatus,male,SAMD00056800,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056792,Gasterosteus_aculeatus,male,SAMD00056792,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056789,Gasterosteus_aculeatus,female,SAMD00056789,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056788,Gasterosteus_aculeatus,female,SAMD00056788,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,stream,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5056,SAMD00056771,Gasterosteus_aculeatus,missing,SAMD00056771,Canada,North America,Canada:British Columbia,49.01587 N 122.77996 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057639,Gasterosteus_aculeatus,missing,Ono,Japan,Asia,"Japan:Fukui\, Ono\, Honganshozu",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057640,Gasterosteus_aculeatus,missing,Nasu,Japan,Asia,"Japan:Tochigi\, Nasu\, Utagawa River",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057642,Gasterosteus_aculeatus,missing,Tsuya,Japan,Asia,"Japan:Gifu\, Tsuya River",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057643,Gasterosteus_aculeatus,missing,Gifu_keizai7,Japan,Asia,"Japan:Gifu\, Ogaki\, Gifu-keizai University",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057645,Gasterosteus_aculeatus,missing,Shiga,Japan,Asia,"Japan:Shiga\, Maibara\, Samegai",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057641,Gasterosteus_aculeatus,missing,Aizu,Japan,Asia,"Japan:Fukushima\, Tajima\, Aizu",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJDB5097,SAMD00057644,Gasterosteus_aculeatus,missing,Gifu_keizai5,Japan,Asia,"Japan:Gifu\, Ogaki\, Gifu-keizai University",NA,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385615,Gasterosteus_aculeatus,missing,Hal_L1,Denmark,Europe,Lake Hald,"56°22025.59′′N, 9°20047.10′′E",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385616,Gasterosteus_aculeatus,missing,Hal_L2,Denmark,Europe,Lake Hald,"56°22025.59′′N, 9°20047.10′′E",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385617,Gasterosteus_aculeatus,missing,Hal_L6,Denmark,Europe,Lake Hald,"56°22025.59′′N, 9°20047.10′′E",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385618,Gasterosteus_aculeatus,missing,Kob_L31,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385620,Gasterosteus_aculeatus,missing,Kob_L33,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385621,Gasterosteus_aculeatus,missing,Kob_M26,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385622,Gasterosteus_aculeatus,missing,Kob_M27,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385623,Gasterosteus_aculeatus,missing,Kob_M28,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385624,Gasterosteus_aculeatus,missing,Qar_L31,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385625,Gasterosteus_aculeatus,missing,Qar_L33,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385626,Gasterosteus_aculeatus,missing,Qar_L35,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385627,Gasterosteus_aculeatus,missing,Ran_M1,Denmark,Europe,Udbyhøj,"56°36024.07′′N, 10°1807.27′′E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385628,Gasterosteus_aculeatus,missing,Ran_M3,Denmark,Europe,Udbyhøj,"56°36024.07′′N, 10°1807.27′′E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385629,Gasterosteus_aculeatus,missing,Ran_M5,Denmark,Europe,Udbyhøj,"56°36024.07′′N, 10°1807.27′′E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB15181,SAMEA4385619,Gasterosteus_aculeatus,missing,Kob_L32,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338557,Gasterosteus_aculeatus,female,BS10,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338582,Gasterosteus_aculeatus,female,BS11,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338545,Gasterosteus_aculeatus,male,BS12,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338575,Gasterosteus_aculeatus,female,BS14,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338595,Gasterosteus_aculeatus,female,BS15,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338584,Gasterosteus_aculeatus,male,BS17,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338541,Gasterosteus_aculeatus,male,BS18,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338539,Gasterosteus_aculeatus,female,BS19,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338587,Gasterosteus_aculeatus,female,BS1,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338592,Gasterosteus_aculeatus,female,BS20,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338560,Gasterosteus_aculeatus,male,BS21,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338549,Gasterosteus_aculeatus,male,BS22,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338581,Gasterosteus_aculeatus,female,BS23,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338567,Gasterosteus_aculeatus,female,BS24,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523621,Gasterosteus_aculeatus,missing,BS25,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523618,Gasterosteus_aculeatus,missing,BS26,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523619,Gasterosteus_aculeatus,missing,BS28,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523623,Gasterosteus_aculeatus,missing,BS29,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338598,Gasterosteus_aculeatus,female,BS2,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523620,Gasterosteus_aculeatus,missing,BS30,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338569,Gasterosteus_aculeatus,male,BS3,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338546,Gasterosteus_aculeatus,male,BS4,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338559,Gasterosteus_aculeatus,male,BS5,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338594,Gasterosteus_aculeatus,male,BS6,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338552,Gasterosteus_aculeatus,female,BS7,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338579,Gasterosteus_aculeatus,female,BS8,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338593,Gasterosteus_aculeatus,male,BS9,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338580,Gasterosteus_aculeatus,male,BS13,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338565,Gasterosteus_aculeatus,male,BS16,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA1523622,Gasterosteus_aculeatus,missing,BS27,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338570,Gasterosteus_aculeatus,female,BS31b,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338583,Gasterosteus_aculeatus,female,BS32b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338566,Gasterosteus_aculeatus,male,BS33,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338597,Gasterosteus_aculeatus,male,BS34b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338550,Gasterosteus_aculeatus,female,BS35,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338578,Gasterosteus_aculeatus,female,BS36b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338562,Gasterosteus_aculeatus,male,BS38b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338577,Gasterosteus_aculeatus,female,BS39,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338544,Gasterosteus_aculeatus,female,BS40b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338574,Gasterosteus_aculeatus,male,BS41,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338591,Gasterosteus_aculeatus,female,BS42b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338563,Gasterosteus_aculeatus,male,BS43,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338558,Gasterosteus_aculeatus,male,BS44,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338554,Gasterosteus_aculeatus,female,BS45,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338540,Gasterosteus_aculeatus,female,BS46,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338585,Gasterosteus_aculeatus,male,BS47,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338571,Gasterosteus_aculeatus,male,BS48,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338573,Gasterosteus_aculeatus,female,BS49,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338586,Gasterosteus_aculeatus,female,BS50b,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338556,Gasterosteus_aculeatus,male,BS51,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338547,Gasterosteus_aculeatus,male,BS52b,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338564,Gasterosteus_aculeatus,female,BS53,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338548,Gasterosteus_aculeatus,female,BS54,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338589,Gasterosteus_aculeatus,male,BS55,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338553,Gasterosteus_aculeatus,male,BS56,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338576,Gasterosteus_aculeatus,female,BS57,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338572,Gasterosteus_aculeatus,female,BS58b,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338561,Gasterosteus_aculeatus,male,BS59,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338588,Gasterosteus_aculeatus,male,BS60,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338543,Gasterosteus_aculeatus,female,BS61,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338551,Gasterosteus_aculeatus,male,BS62,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338555,Gasterosteus_aculeatus,male,BS63b,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338568,Gasterosteus_aculeatus,male,BS64b,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338596,Gasterosteus_aculeatus,female,BS65,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338542,Gasterosteus_aculeatus,female,BS66,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus
PRJEB5198,SAMEA2338590,Gasterosteus_aculeatus,male,BS37,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323936,Gasterosteus_aculeatus,female,WDPL_X_2009#05,Canada,North America,WDPL,53.647121802 N 132.098328481 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323935,Gasterosteus_aculeatus,female,WATT_X_2009#05,Canada,North America,WATT,53.764633599 N 132.070859784 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323934,Gasterosteus_aculeatus,female,STIU_X_2009#03,Canada,North America,STIU,53.244507898 N 132.588068083 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323933,Gasterosteus_aculeatus,female,SPNC_O_2010#14,Canada,North America,SPNC,53.974716204 N 131.781403361 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323932,Gasterosteus_aculeatus,female,SPNC_O_2010#08,Canada,North America,SPNC,53.974716204 N 131.781403361 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323931,Gasterosteus_aculeatus,female,SPNC_L_2009#02,Canada,North America,SPNC,53.974716204 N 131.781403361 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323930,Gasterosteus_aculeatus,female,SPNC_L_2009#01,Canada,North America,SPNC,53.974716204 N 131.781403361 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323929,Gasterosteus_aculeatus,female,SLVR|X|2009#29996,Canada,North America,SLVR,54.103117883 N 131.685371428 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323928,Gasterosteus_aculeatus,female,SLTC|X|X#90458,Canada,North America,SLTC,53.940503904 N 131.931242677 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
PRJNA374462,SAMN06323927,Gasterosteus_aculeatus,female,SKON|X|X#12,Canada,North America,SKON,53.910133626 N 132.030670465 W,marine,GCA_000180675.1,Gasterosteus_aculeatus
