BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3868733,library_SAMEA3868733,GCF_000247815.1,ERR1254818,Ficedula_albicollis,PRJEB12616
SAMEA3868735,library_SAMEA3868735,GCF_000247815.1,ERR1254820,Ficedula_albicollis,PRJEB12616
SAMEA3868736,library_SAMEA3868736,GCF_000247815.1,ERR1254821,Ficedula_albicollis,PRJEB12616
SAMEA3638001,u003_450,GCF_000247815.1,ERR1097507,Ficedula_albicollis,PRJEB11502
SAMEA3638017,u004_450,GCF_000247815.1,ERR1097508,Ficedula_albicollis,PRJEB11502
SAMEA3637999,u005_450,GCF_000247815.1,ERR1097509,Ficedula_albicollis,PRJEB11502
SAMEA3638002,u007_450,GCF_000247815.1,ERR1097510,Ficedula_albicollis,PRJEB11502
SAMEA3638013,u010_450,GCF_000247815.1,ERR1097511,Ficedula_albicollis,PRJEB11502
SAMEA3638012,u011_450,GCF_000247815.1,ERR1097512,Ficedula_albicollis,PRJEB11502
SAMEA3638019,u012_450,GCF_000247815.1,ERR1097513,Ficedula_albicollis,PRJEB11502
SAMEA3638011,u013_450,GCF_000247815.1,ERR1097514,Ficedula_albicollis,PRJEB11502
SAMEA3638020,u014_450,GCF_000247815.1,ERR1097515,Ficedula_albicollis,PRJEB11502
SAMEA3638000,u016_450,GCF_000247815.1,ERR1097516,Ficedula_albicollis,PRJEB11502
SAMEA3638009,u017_450,GCF_000247815.1,ERR1097517,Ficedula_albicollis,PRJEB11502
SAMEA3638008,u018_450,GCF_000247815.1,ERR1097518,Ficedula_albicollis,PRJEB11502
SAMEA3638005,u019_450,GCF_000247815.1,ERR1097519,Ficedula_albicollis,PRJEB11502
SAMEA3637987,u021_450,GCF_000247815.1,ERR1097521,Ficedula_albicollis,PRJEB11502
SAMEA3637998,u022_450,GCF_000247815.1,ERR1097522,Ficedula_albicollis,PRJEB11502
SAMEA3638021,u023_450,GCF_000247815.1,ERR1097523,Ficedula_albicollis,PRJEB11502
SAMEA3637990,u024_450,GCF_000247815.1,ERR1097524,Ficedula_albicollis,PRJEB11502
SAMEA3638016,u025_450,GCF_000247815.1,ERR1097525,Ficedula_albicollis,PRJEB11502
SAMEA3637995,u026_450,GCF_000247815.1,ERR1097526,Ficedula_albicollis,PRJEB11502
SAMEA3638014,u028_450,GCF_000247815.1,ERR1097528,Ficedula_albicollis,PRJEB11502
SAMEA3638003,u029_450,GCF_000247815.1,ERR1097529,Ficedula_albicollis,PRJEB11502
