BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815999,library_SAMEA6815999,GCA_013435755.1,ERR4190010,Amphilophus_spp,PRJEB38173
SAMEA6816000,library_SAMEA6816000,GCA_013435755.1,ERR4190011,Amphilophus_spp,PRJEB38173
SAMEA6816001,library_SAMEA6816001,GCA_013435755.1,ERR4190012,Amphilophus_spp,PRJEB38173
SAMEA6816002,library_SAMEA6816002,GCA_013435755.1,ERR4190013,Amphilophus_spp,PRJEB38173
SAMEA6816003,library_SAMEA6816003,GCA_013435755.1,ERR4190014,Amphilophus_spp,PRJEB38173
SAMEA6816004,library_SAMEA6816004,GCA_013435755.1,ERR4190015,Amphilophus_spp,PRJEB38173
SAMEA6816006,library_SAMEA6816006,GCA_013435755.1,ERR4190017,Amphilophus_spp,PRJEB38173
SAMEA6816007,library_SAMEA6816007,GCA_013435755.1,ERR4190018,Amphilophus_spp,PRJEB38173
SAMEA6816008,library_SAMEA6816008,GCA_013435755.1,ERR4190019,Amphilophus_spp,PRJEB38173
SAMEA6816009,library_SAMEA6816009,GCA_013435755.1,ERR4190020,Amphilophus_spp,PRJEB38173
SAMEA6816010,library_SAMEA6816010,GCA_013435755.1,ERR4190021,Amphilophus_spp,PRJEB38173
SAMEA6816011,library_SAMEA6816011,GCA_013435755.1,ERR4190022,Amphilophus_spp,PRJEB38173
SAMEA6816035,library_SAMEA6816035,GCA_013435755.1,ERR4190046,Amphilophus_spp,PRJEB38173
SAMEA6816037,library_SAMEA6816037,GCA_013435755.1,ERR4190048,Amphilophus_spp,PRJEB38173
SAMEA6816056,library_SAMEA6816056,GCA_013435755.1,ERR4190067,Amphilophus_spp,PRJEB38173
SAMEA6816071,library_SAMEA6816071,GCA_013435755.1,ERR4190082,Amphilophus_spp,PRJEB38173
SAMEA6816075,library_SAMEA6816075,GCA_013435755.1,ERR4190086,Amphilophus_spp,PRJEB38173
SAMEA6816079,library_SAMEA6816079,GCA_013435755.1,ERR4190090,Amphilophus_spp,PRJEB38173
SAMEA6816082,library_SAMEA6816082,GCA_013435755.1,ERR4190093,Amphilophus_spp,PRJEB38173
SAMEA6816083,library_SAMEA6816083,GCA_013435755.1,ERR4190094,Amphilophus_spp,PRJEB38173
SAMEA6816084,library_SAMEA6816084,GCA_013435755.1,ERR4190095,Amphilophus_spp,PRJEB38173
SAMEA6816086,library_SAMEA6816086,GCA_013435755.1,ERR4190097,Amphilophus_spp,PRJEB38173
SAMEA6816088,library_SAMEA6816088,GCA_013435755.1,ERR4190099,Amphilophus_spp,PRJEB38173
SAMEA6816089,library_SAMEA6816089,GCA_013435755.1,ERR4190100,Amphilophus_spp,PRJEB38173
SAMEA6815842,library_SAMEA6815842,GCA_013435755.1,ERR4189853,Amphilophus_spp,PRJEB38173
SAMEA6815774,library_SAMEA6815774,GCA_013435755.1,ERR4189785,Amphilophus_spp,PRJEB38173
SAMEA6815933,library_SAMEA6815933,GCA_013435755.1,ERR4189944,Amphilophus_spp,PRJEB38173
SAMEA6816081,library_SAMEA6816081,GCA_013435755.1,ERR4190092,Amphilophus_spp,PRJEB38173
SAMEA6816080,library_SAMEA6816080,GCA_013435755.1,ERR4190091,Amphilophus_spp,PRJEB38173
SAMEA6815919,library_SAMEA6815919,GCA_013435755.1,ERR4189930,Amphilophus_spp,PRJEB38173
SAMEA6816005,library_SAMEA6816005,GCA_013435755.1,ERR4190016,Amphilophus_spp,PRJEB38173
SAMEA6815907,library_SAMEA6815907,GCA_013435755.1,ERR4189918,Amphilophus_spp,PRJEB38173
SAMEA6815784,library_SAMEA6815784,GCA_013435755.1,ERR4189795,Amphilophus_spp,PRJEB38173
SAMEA6815917,library_SAMEA6815917,GCA_013435755.1,ERR4189928,Amphilophus_spp,PRJEB38173
