BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09786138,MFC6,GCF_000239415.1,SRR7662497,Haplochromis_burtoni,PRJNA485198
SAMN09786139,MFC7,GCF_000239415.1,SRR7662498,Haplochromis_burtoni,PRJNA485198
SAMN09786140,MFD1,GCF_000239415.1,SRR7662499,Haplochromis_burtoni,PRJNA485198
SAMN09786141,MFD4,GCF_000239415.1,SRR7662500,Haplochromis_burtoni,PRJNA485198
SAMN09786205,KZC8,GCF_000239415.1,SRR7662503,Haplochromis_burtoni,PRJNA485198
SAMN09786204,KZC7,GCF_000239415.1,SRR7662504,Haplochromis_burtoni,PRJNA485198
SAMN09786151,MFF1,GCF_000239415.1,SRR7662511,Haplochromis_burtoni,PRJNA485198
SAMN09786129,MKG2,GCF_000239415.1,SRR7662512,Haplochromis_burtoni,PRJNA485198
SAMN09786128,MKC9,GCF_000239415.1,SRR7662513,Haplochromis_burtoni,PRJNA485198
SAMN09786131,MLE3,GCF_000239415.1,SRR7662514,Haplochromis_burtoni,PRJNA485198
SAMN09786130,MKG7,GCF_000239415.1,SRR7662515,Haplochromis_burtoni,PRJNA485198
SAMN09786124,MKC3,GCF_000239415.1,SRR7662517,Haplochromis_burtoni,PRJNA485198
SAMN09786127,MKC7,GCF_000239415.1,SRR7662518,Haplochromis_burtoni,PRJNA485198
SAMN09786126,MKC5,GCF_000239415.1,SRR7662519,Haplochromis_burtoni,PRJNA485198
SAMN09786133,MLE6,GCF_000239415.1,SRR7662520,Haplochromis_burtoni,PRJNA485198
SAMN09786132,MLE5,GCF_000239415.1,SRR7662521,Haplochromis_burtoni,PRJNA485198
SAMN09786083,LKG3,GCF_000239415.1,SRR7662428,Haplochromis_burtoni,PRJNA485198
SAMN09786165,MJG4,GCF_000239415.1,SRR7662440,Haplochromis_burtoni,PRJNA485198
SAMN09786143,MFD6,GCF_000239415.1,SRR7662492,Haplochromis_burtoni,PRJNA485198
SAMN09786147,MFE5,GCF_000239415.1,SRR7662467,Haplochromis_burtoni,PRJNA485198
SAMN09786099,LKG9,GCF_000239415.1,SRR7662421,Haplochromis_burtoni,PRJNA485198
SAMN09786084,LKG4,GCF_000239415.1,SRR7662454,Haplochromis_burtoni,PRJNA485198
SAMN09786146,MFE3,GCF_000239415.1,SRR7662468,Haplochromis_burtoni,PRJNA485198
SAMN09786183,KBC3,GCF_000239415.1,SRR7662417,Haplochromis_burtoni,PRJNA485198
SAMN09786203,KZC6,GCF_000239415.1,SRR7662472,Haplochromis_burtoni,PRJNA485198
SAMN09786135,MFC2,GCF_000239415.1,SRR7662494,Haplochromis_burtoni,PRJNA485198
SAMN09786112,MKA1,GCF_000239415.1,SRR7662381,Haplochromis_burtoni,PRJNA485198
SAMN09786082,LKG2,GCF_000239415.1,SRR7662429,Haplochromis_burtoni,PRJNA485198
SAMN09786087,MNF4,GCF_000239415.1,SRR7662455,Haplochromis_burtoni,PRJNA485198
SAMN09786182,KBB9,GCF_000239415.1,SRR7662416,Haplochromis_burtoni,PRJNA485198
