BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Strain	Breed	Cultivar	run (run)	actual_read_length (run)	total_bases (run)
PRJNA339911	SRR5460189	WGS	180	6281567820	SAMN06756448	4176517100	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748204	Illumina HiSeq 2000	WHAIPI003138-44	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_male_1	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	67	not applicable	not applicable	not applicable	FCC3R9UACXX	91	1155948069276
PRJNA339911	SRR5460190	WGS	180	7119005580	SAMN06756445	4730096764	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748205	Illumina HiSeq 2000	WHAIPI003141-47	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_female_3	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	64	not applicable	not applicable	not applicable	FCC3R9UACXX	91	1310055226844
PRJNA339911	SRR5460191	WGS	180	5083414740	SAMN06756449	3456105479	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748206	Illumina HiSeq 2000	WHAIPI003139-45	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_male_2	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	68	not applicable	not applicable	not applicable	FCC3R9UACXX	91	935461276932
PRJNA339911	SRR5460192	WGS	180	5008237380	SAMN06756446	3419762664	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748207	Illumina HiSeq 2000	WHAIPI003142-50	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_female_4	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	65	not applicable	not applicable	not applicable	FCC3R9UACXX	91	921626972084
PRJNA339911	SRR5460193	WGS	180	5527075500	SAMN06756451	3756605952	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748208	Illumina HiSeq 2000	WHAIPI003143-56	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_male_4	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	70	not applicable	not applicable	not applicable	FCC3R9UACXX	91	1017104715900
PRJNA339911	SRR5460194	WGS	180	5423581260	SAMN06756447	3709496635	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748209	Illumina HiSeq 2000	WHAIPI003144-57	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_female_5	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	66	not applicable	not applicable	not applicable	FCC3R9UACXX	91	998059475868
PRJNA339911	SRR5460195	WGS	180	4889907360	SAMN06756452	3327502399	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748210	Illumina HiSeq 2000	WHAIPI003145-64	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_male_5	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	71	not applicable	not applicable	not applicable	FCC3R9UACXX	91	899851618848
PRJNA339911	SRR5460196	WGS	180	4332707280	SAMN06756444	2972542857	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748211	Illumina HiSeq 2000	WHAIPI003152-43	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_female_2	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	63	not applicable	not applicable	not applicable	FCC3R9UACXX	91	797314421904
PRJNA339911	SRR5460197	WGS	180	3663916200	SAMN06756424	2308269547	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748212	Illumina HiSeq 2000	WHAIPI002156-21	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_female_3	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	43	not applicable	not applicable	not applicable	FCC3NKBACXX	91	674242001160
PRJNA339911	SRR5460198	WGS	180	4363826040	SAMN06756423	2761191203	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748213	Illumina HiSeq 2000	WHAIPI002157-22	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_female_2	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	42	not applicable	not applicable	not applicable	FCC3NKBACXX	91	803040965272
PRJNA339911	SRR5460199	WGS	180	4146076080	SAMN06756422	2589478614	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748214	Illumina HiSeq 2000	WHAIPI002158-23	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_female_1	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	41	not applicable	not applicable	not applicable	FCC3NKBACXX	91	762970133744
PRJNA339911	SRR5460200	WGS	180	4275002340	SAMN06756425	2701891048	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748215	Illumina HiSeq 2000	WHAIPI002159-24	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_female_4	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	44	not applicable	not applicable	not applicable	FCC3NKBACXX	91	786695430612
PRJNA339911	SRR5460201	WGS	180	3427025220	SAMN06756426	2182645778	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748216	Illumina HiSeq 2000	WHAIPI002160-25	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_female_5	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	45	not applicable	not applicable	not applicable	FCC3NKBACXX	91	630648796596
PRJNA339911	SRR5460202	WGS	180	3510105120	SAMN06756431	2196739605	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748217	Illumina HiSeq 2000	WHAIPI002161-26	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_male_5	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	50	not applicable	not applicable	not applicable	FCC3NKBACXX	91	645937344416
PRJNA339911	SRR5460203	WGS	180	3415604220	SAMN06756430	2115728609	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748218	Illumina HiSeq 2000	WHAIPI002162-27	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_male_4	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	49	not applicable	not applicable	not applicable	FCC3NKBACXX	91	628547078796
PRJNA339911	SRR5460204	WGS	180	3430112580	SAMN06756427	2136045558	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748219	Illumina HiSeq 2000	WHAIPI002163-31	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_male_1	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	46	not applicable	not applicable	not applicable	FCC3NKBACXX	91	631216939444
PRJNA339911	SRR5460206	WGS	180	3415947120	SAMN06756429	2145763112	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748221	Illumina HiSeq 2000	WHAIPI002165-33	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_wild_male_3	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	48	not applicable	not applicable	not applicable	FCC3NKBACXX	91	628610180016
PRJNA339911	SRR5460207	WGS	180	3876411240	SAMN06756437	2377850309	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748222	Illumina HiSeq 2000	WHAIPI002166-34	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_6	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	56	not applicable	not applicable	not applicable	FCC3NKBACXX	91	713345810632
PRJNA339911	SRR5460209	WGS	180	4438440000	SAMN06756432	2892477782	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748224	Illumina HiSeq 2000	WHAIPI002168-37	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_1	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	51	not applicable	not applicable	not applicable	FCC3NKBACXX	91	816771592000
PRJNA339911	SRR5460210	WGS	180	4955080140	SAMN06756433	3192918041	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748225	Illumina HiSeq 2000	WHAIPI002169-39	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_2	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	52	not applicable	not applicable	not applicable	FCC3NKBACXX	91	911844858652
PRJNA339911	SRR5460211	WGS	180	4180848120	SAMN06756434	2687094820	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748226	Illumina HiSeq 2000	WHAIPI002170-40	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_3	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	53	not applicable	not applicable	not applicable	FCC3NKBACXX	91	769368961816
PRJNA339911	SRR5460212	WGS	180	3210000660	SAMN06756436	2095359692	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748227	Illumina HiSeq 2000	WHAIPI002171-41	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_5	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	55	not applicable	not applicable	not applicable	FCC3NKBACXX	91	590711454788
PRJNA339911	SRR5460213	WGS	180	3827608380	SAMN06756441	2487880016	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748228	Illumina HiSeq 2000	WHAIPI002172-42	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_10	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	60	not applicable	not applicable	not applicable	FCC3NKBACXX	91	704364999884
PRJNA339911	SRR5460214	WGS	180	5822685720	SAMN06756439	3640957222	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748229	Illumina HiSeq 2000	WHAIPI002173-43	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_8	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	58	not applicable	not applicable	not applicable	FCC3NKBACXX	91	1071503565496
PRJNA339911	SRR5460215	WGS	180	4423607100	SAMN06756440	3044687622	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748230	Illumina HiSeq 2000	WHAIPI002174-44	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_9	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	59	not applicable	not applicable	not applicable	FCC4472ACXX	91	814042008780
PRJNA339911	SRR5460216	WGS	180	5328305820	SAMN06756442	3603974178	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748231	Illumina HiSeq 2000	WHAIPI002175-45	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_11	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	61	not applicable	not applicable	not applicable	FCC4472ACXX	91	980526677676
PRJNA339911	SRR5460217	WGS	180	4192021800	SAMN06756438	2914737486	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748232	Illumina HiSeq 2000	WHAIPI002176-46	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_egg_female_7	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	57	not applicable	not applicable	not applicable	FCC4472ACXX	91	771425167240
PRJNA339911	SRR5460218	WGS	300	23657476500	SAMN06756402	11580112584	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748233	Illumina HiSeq 2000	wHAXPI021968-58	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_6	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	21	not applicable	not applicable	not applicable	FCH3KVYBBXX	151	7192188289020
PRJNA339911	SRR5460219	WGS	300	21868519500	SAMN06756417	10652390868	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748234	Illumina HiSeq 2000	wHAXPI021969-59	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_6	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	36	not applicable	not applicable	not applicable	FCH3KVYBBXX	151	6648321508260
PRJNA339911	SRR5460220	WGS	300	23073788400	SAMN06756403	11294082828	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748235	Illumina HiSeq 2000	wHAXPI021970-60	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_7	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	22	not applicable	not applicable	not applicable	FCH3KVYBBXX	151	7014739324112
PRJNA339911	SRR5460221	WGS	300	23055562800	SAMN06756418	11304689019	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748236	Illumina HiSeq 2000	wHAXPI021971-61	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_7	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	37	not applicable	not applicable	not applicable	FCH3KVYBBXX	151	7009198498704
PRJNA339911	SRR5460222	WGS	300	38560814700	SAMN06756407	19696514457	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748237	Illumina HiSeq 2000	wHAXPI021958-14	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_6	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	26	not applicable	not applicable	not applicable	FCH3LLKBBXX	151	11723001812996
