BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Specimen_voucher	sub_species
PRJNA406821	SRR6032916	WGS	300	111267000	SAMN07637317	67131789	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182927	Illumina HiSeq 2500	MK968_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92979	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2005-07-28	USA	North America	USA: Black Rock\, 41.8506126404\, -122.2617187500\, 1839.0 m\, Chandler Glade\, Klamath National Forest\, Siskiyou County\, California	J. P. Dumbacher	41.8506126404 N 122.2617187500 W	CAS:ORN:92979	NA
PRJNA406821	SRR6032919	WGS	300	1006810500	SAMN07637272	598319592	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182924	Illumina HiSeq 2500	NSO138799040_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:99423	SRP117279	Model organism or animal	female	blood	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2011-07-01	USA	North America	USA: Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.0818624516879 N 123.7369464 W	CAS:ORN:99423	caurina
PRJNA406821	SRR6032921	WGS	300	200996700	SAMN07637266	118826786	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182922	Illumina HiSeq 2500	Hoopa20019_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97819	SRP117279	Model organism or animal	female	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.08335 N 123.66711 W	CAS:ORN:97819	NA
PRJNA406821	SRR6032923	WGS	300	190883700	SAMN07637266	114634157	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182920	Illumina HiSeq 2500	Hoopa20019_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97819	SRP117279	Model organism or animal	female	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.08335 N 123.66711 W	CAS:ORN:97819	NA
PRJNA406821	SRR6032925	WGS	300	597536400	SAMN07637267	359245069	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182918	Illumina HiSeq 2500	LCW405_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97201	SRP117279	Model organism or animal	unknown	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2009-08-05	USA	North America	USA: SF Bald Mountain\, Cal Barrel\, Green Diamond Resources\, Humboldt County\, California	Lowell V. Diller	40.8744341576 N 123.9010764568 W	CAS:ORN:97201	NA
PRJNA406821	SRR6032927	WGS	300	29364000	SAMN07637307	17810430	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182916	Illumina HiSeq 2500	JPD386_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97176	SRP117279	Model organism or animal	unknown	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-08-10	USA	North America	USA: Little Shasta site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	B. Woodbridge	41.8045052778 N 122.2161275 W	CAS:ORN:97176	NA
PRJNA406821	SRR6032929	WGS	300	635770800	SAMN07637267	377944531	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182914	Illumina HiSeq 2500	LCW405_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97201	SRP117279	Model organism or animal	unknown	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2009-08-05	USA	North America	USA: SF Bald Mountain\, Cal Barrel\, Green Diamond Resources\, Humboldt County\, California	Lowell V. Diller	40.8744341576 N 123.9010764568 W	CAS:ORN:97201	NA
PRJNA406821	SRR6032931	WGS	202	539431102	SAMN07637285	304013691	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182912	Illumina HiSeq 2500	UWBM91382_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	UWBM:Bird:91382	SRP117279	Model organism or animal	female	missing	not applicable	missing	Ornithology Collection\, University of Washington Burke Museum\, Seattle\, Washington\, United States of America	2004-09-22	USA	North America	USA: milepost 45 on highway 58\, east of town\, Oakridge\, Lane County\, Oregon	M. Maher	43.74667 N 122.46056 W	UWBM:ORN:91382	NA
PRJNA406821	SRR6032932	WGS	202	1865941064	SAMN07637288	1058690153	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182911	Illumina HiSeq 2500	UWBM91408_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2019-03-25T00:00:00Z	UWBM:Bird:91408	SRP117279	Model organism or animal	male	missing	not applicable	missing	Ornithology Collection\, University of Washington Burke Museum\, Seattle\, Washington\, United States of America	2010-12-28	USA	North America	USA: Riverbottom Road\, T17N R18E Section 14\, Ellensburg\, Kittitas County\, Washington	S. Sovern	46.9638 N 120.5461 W	UWBM:ORN:91408	caurina
PRJNA406821	SRR6032934	WGS	202	1762794208	SAMN07637316	974904815	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182909	Illumina HiSeq 2500	MK1020_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97181	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-07-23	USA	North America	USA: II site\, Chandler Glade\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	B. Woodbridge	41.8582098007 N 122.2604589312 W	CAS:ORN:97181	NA
PRJNA406821	SRR6032936	WGS	202	1830733474	SAMN07637302	1045820484	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182907	Illumina HiSeq 2500	CU51478_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia_varia	ILLUMINA	2019-03-25T00:00:00Z	CUMV:Bird:51478	SRP117279	Model organism or animal	male	missing	not applicable	missing	Bird Collection\, Cornell University Museum of the Vertebrates\, Ithaca\, New York\, United States of America	2005-04-09	USA	North America	USA: Cortland\, Cortland County\, New York	Marti Dumas	42.60083 N 76.17528 W	CUMV:Bird:51478	varia
PRJNA406821	SRR6032942	WGS	300	689397000	SAMN07637313	413387250	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182901	Illumina HiSeq 2500	MEF432_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97174	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-08-03	USA	North America	USA: Chandler Glade III site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	B. Woodbridge	41.8493252778 N 122.2460336111 W	CAS:ORN:97174	NA
PRJNA406821	SRR6032944	WGS	300	548041200	SAMN07637269	321126883	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182899	Illumina HiSeq 2500	LCW491_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97049	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2009-12-03	USA	North America	USA: Substation 4851\, Green Diamond Resources\, Humboldt County\, California	Lowell V. Diller	40.7908748163 N 123.8809931975 W	CAS:ORN:97049	NA
PRJNA406821	SRR6032947	WGS	300	356656500	SAMN07637268	214715055	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182896	Illumina HiSeq 2500	LCW443_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97052	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2010-08-23	USA	North America	USA: Bald Mtn Creek\, Green Diamond Resources\, Humboldt County\, California	Lowell V. Diller	40.8976875179 N 123.9200782135 W	CAS:ORN:97052	NA
PRJNA406821	SRR6032950	WGS	300	512157900	SAMN07637269	307294160	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182893	Illumina HiSeq 2500	LCW491_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97049	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2009-12-03	USA	North America	USA: Substation 4851\, Green Diamond Resources\, Humboldt County\, California	Lowell V. Diller	40.7908748163 N 123.8809931975 W	CAS:ORN:97049	NA
PRJNA406821	SRR6032952	WGS	202	1204991812	SAMN07637299	688001186	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182891	Illumina HiSeq 2500	CMC40824_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia_varia	ILLUMINA	2019-03-25T00:00:00Z	CMC:ORNI-T:B40824	SRP117279	Model organism or animal	female	missing	not applicable	missing	Genomic Resource Collection\, Cincinnati Museum Center\, Cincinnati\, Ohio\, United States of America	2008-01-27	USA	North America	USA: Fiddlers Green Road\, Cincinnati\, Hamilton County\, Ohio	Cindy Alverson	39.14637 N 84.696007 W	NA	varia
PRJNA406821	SRR6032956	WGS	300	1353486300	SAMN07637293	821533145	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182887	Illumina HiSeq 2500	ZRH962_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_x_Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:98171	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2014-03-26	USA	North America	USA: 40.9979662\, -123.7329577\, WGS84\, Supply Creek\, 2600 ft\, 4.5 mi SW of Hoopa + 1.7 mi N of Buck Buttes\, Hoopa Valley Indian Reservation\, Humboldt County\, California	NA	40.9979662037613 N 123.732957735124 W	CAS:ORN:98171	NA
PRJNA406821	SRR6032958	WGS	300	1446341100	SAMN07637293	854043227	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182885	Illumina HiSeq 2500	ZRH962_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_x_Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:98171	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2014-03-26	USA	North America	USA: 40.9979662\, -123.7329577\, WGS84\, Supply Creek\, 2600 ft\, 4.5 mi SW of Hoopa + 1.7 mi N of Buck Buttes\, Hoopa Valley Indian Reservation\, Humboldt County\, California	NA	40.9979662037613 N 123.732957735124 W	CAS:ORN:98171	NA
PRJNA406821	SRR6032960	WGS	202	1920699224	SAMN07637295	1088427330	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182883	Illumina HiSeq 2500	ASG037_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95790	SRP117279	Model organism or animal	female	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-08-28	USA	North America	USA: near Little Shasta campground\, 41.8044500000\, -122.2162166667\, 1896.01896.0 m\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	J. P. Dumbacher	41.8044500000 N 122.2162166667 W	CAS:ORN:95790	NA
PRJNA406821	SRR6032962	WGS	300	223404300	SAMN07637265	131769934	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182881	Illumina HiSeq 2500	Hoopa20018_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97816	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.08335 N 123.66711 W	CAS:ORN:97816	NA
PRJNA406821	SRR6032964	WGS	300	361925100	SAMN07637263	217708527	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182879	Illumina HiSeq 2500	Hoopa20014_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97822	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 444164E 4555296N\, Territory #2037\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.1488 N 123.66652 W	CAS:ORN:97822	NA
PRJNA406821	SRR6032966	WGS	300	213409200	SAMN07637262	123058811	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182877	Illumina HiSeq 2500	Hoopa20011_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97818	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-23	USA	North America	USA: UTM zone 10\, NAD83\, 436085E 4550786N\, Territory #2026\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.10758 N 123.76232 W	CAS:ORN:97818	NA
PRJNA406821	SRR6032968	WGS	300	341007900	SAMN07637264	206906958	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182875	Illumina HiSeq 2500	Hoopa20017_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97820	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 443278E 4552069N\, Territory #2061\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.11967 N 123.67678 W	CAS:ORN:97820	NA
PRJNA406821	SRR6032969	WGS	300	378674400	SAMN07637263	223190688	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182874	Illumina HiSeq 2500	Hoopa20014_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97822	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-30	USA	North America	USA: UTM zone 10\, NAD83\, 444164E 4555296N\, Territory #2037\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.1488 N 123.66652 W	CAS:ORN:97822	NA
PRJNA406821	SRR6032971	WGS	300	613903200	SAMN07637282	363157642	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182872	Illumina HiSeq 2500	UWBM79141_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	UWBM:Bird:79141	SRP117279	Model organism or animal	male	missing	not applicable	missing	Ornithology Collection\, University of Washington Burke Museum\, Seattle\, Washington\, United States of America	1996-11-13	USA	North America	USA: Elger Bay Road\, Camano Island\, Island County\, Washington	S. Murphy	48.151558 N 122.472524 W	UWBM:ORN:79141	NA
PRJNA406821	SRR6032976	WGS	300	19270500	SAMN07637284	11767851	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182867	Illumina HiSeq 2500	UWBM91380_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2019-03-25T00:00:00Z	UWBM:Bird:91380	SRP117279	Model organism or animal	male	missing	not applicable	missing	Ornithology Collection\, University of Washington Burke Museum\, Seattle\, Washington\, United States of America	2008-06-04	USA	North America	USA: UTM 10T 498262 4745180\, T31S R3W Section 23\, Douglas County\, Oregon	Wise\, Stegmeier	42.85920353 N 123.0212745 W	UWBM:ORN:91380	caurina
