BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	Sample_Name	use_species
PRJNA477377	SRR7412010	WGS	300	3167940600	SAMN09469362	1495646299	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283458	Illumina HiSeq 4000	Ppun_30_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_30	SRP151119	Model organism or animal	female	right pectoral fin	30	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412011	WGS	300	4755812400	SAMN09469361	2258453874	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283457	Illumina HiSeq 4000	Ppun_28_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_28	SRP151119	Model organism or animal	female	right pectoral fin	28	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412012	WGS	300	4455226800	SAMN09469377	2096404843	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283456	Illumina HiSeq 4000	Ppun_29_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_29	SRP151119	Model organism or animal	male	right pectoral fin	29	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412013	WGS	300	2957650800	SAMN09469367	1312035976	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283455	Illumina HiSeq 4000	Ppun_6_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_6	SRP151119	Model organism or animal	male	right pectoral fin	6	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412014	WGS	300	2411491800	SAMN09469368	1084667388	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283454	Illumina HiSeq 4000	Ppun_7_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_7	SRP151119	Model organism or animal	male	right pectoral fin	7	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412015	WGS	300	2629291200	SAMN09469366	1174248089	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283453	Illumina HiSeq 4000	Ppun_4_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_4	SRP151119	Model organism or animal	male	right pectoral fin	4	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412016	WGS	300	2472042000	SAMN09469348	1109991759	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283452	Illumina HiSeq 4000	Ppun_5_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_5	SRP151119	Model organism or animal	female	right pectoral fin	5	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411975	WGS	300	3387903300	SAMN09469375	1518095795	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283493	Illumina HiSeq 4000	Ppun_20_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_20	SRP151119	Model organism or animal	male	right pectoral fin	20	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411974	WGS	300	3193668600	SAMN09469355	1427116109	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283494	Illumina HiSeq 4000	Ppun_21_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_21	SRP151119	Model organism or animal	female	right pectoral fin	21	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411984	WGS	300	5297217300	SAMN09469360	2506818569	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	sra,fastq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283484	Illumina HiSeq 4000	Ppun_27_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_27	SRP151119	Model organism or animal	female	right pectoral fin	27	adult	Biwase_tide_pool	2017-04-19	NA	1
