BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Isolation_source	disease
PRJNA431202	SRR6670177	WGS	250	21270329500	SAMN08465582	10236183904	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646900	Illumina HiSeq 2500	L6466-1_BO15-150_S12	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-150	SRP132168	Model organism or animal	male	blood	adult	missing	C1_rural_2012	Site C1:rural_2012	120
PRJNA431202	SRR6670179	WGS	250	21326778000	SAMN08465574	7369530349	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646898	Illumina HiSeq 2500	L10047-1_BO17-004_S12	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO17-004	SRP132168	Model organism or animal	male	blood	adult	missing	B_rural_2016	Site B:rural_2016	112
PRJNA431202	SRR6670181	WGS	200	2764837400	SAMN08465576	1136715504	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646896	Illumina HiSeq 2500	L10049-3_BO17-006_S36	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO17-006	SRP132168	Model organism or animal	male	blood	adult	missing	B_rural_2016	Site B:rural_2016	114
PRJNA431202	SRR6670183	WGS	200	3000788400	SAMN08465578	1236903045	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646894	Illumina HiSeq 2500	L10051-3_BO17-008_S37	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO17-008	SRP132168	Model organism or animal	female	blood	adult	missing	B_rural_2016	Site B:rural_2016	116
PRJNA431202	SRR6670185	WGS	250	21431621500	SAMN08465580	7640025861	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646892	Illumina HiSeq 2500	L6467-1_BO15-151_S22	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-151	SRP132168	Model organism or animal	female	blood	adult	missing	C1_rural_2012	Site C1:rural_2012	118
PRJNA431202	SRR6670188	WGS	250	12956609750	SAMN08465533	4255603035	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646889	Illumina HiSeq 2500	L5750-1_BO15-071_GCCAAT_L005	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-071	SRP132168	Model organism or animal	male	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	71
PRJNA431202	SRR6670190	WGS	250	17657794500	SAMN08465539	8023377193	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646887	Illumina HiSeq 2500	L6391-1_BO15-074_S6	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-074	SRP132168	Model organism or animal	male	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	77
PRJNA431202	SRR6670192	WGS	250	19932246500	SAMN08465537	6616120652	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646885	Illumina HiSeq 2500	L5725-1_BO15-044_ATTCCT_L003	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-044	SRP132168	Model organism or animal	female	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	75
PRJNA431202	SRR6670195	WGS	250	16627499750	SAMN08465542	7438041301	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646882	Illumina HiSeq 2500	L6392-1_BO15-075_S7	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-075	SRP132168	Model organism or animal	male	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	80
PRJNA431202	SRR6670197	WGS	250	20485909250	SAMN08465569	9380016954	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646880	Illumina HiSeq 2500	L8332-1_BO15-236_S22	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-236	SRP132168	Model organism or animal	female	blood	adult	missing	B_rural_2015	Site B:rural_2015	107
