Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Sylvia_atricapilla	PRJNA616371	SAMN14488496	UCM137	male	UCM137	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488495	UCM123	male	UCM123	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488494	UCM117	male	UCM117	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488492	UCM097	male	UCM097	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488491	UCM96	male	UCM096	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488455	A270598	male	A270598	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488490	UCM95	male	UCM095	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488489	UCM094	male	UCM094	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488487	1206	male	1206	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488486	1204	male	1204	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488485	UCM160	male	UCM160	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488484	UCM155	male	UCM155	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488483	UCM154	male	UCM154	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488482	UCM153	male	UCM153	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488481	UCM151	male	UCM151	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488454	A270591	male	A270591	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488480	UCM150	male	UCM150	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488479	UCM149	male	UCM149	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488478	UCM148	male	UCM148	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488477	UCM145	male	UCM145	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488476	UCM143	male	UCM143	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488475	UCM084	male	UCM084	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488474	UCM083	male	UCM083	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488473	UCM081	male	UCM081	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488472	UCM077	male	UCM077	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488471	UCM076	male	UCM076	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488453	A270589	male	A270589	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488470	UCM075	male	UCM075	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488469	UCM071	male	UCM071	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488468	UCM067	male	UCM067	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488467	UCM066	male	UCM066	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488465	CAVE27	male	CAVE27	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488464	CAVE22	male	CAVE22	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488463	CAVE13	male	CAVE13	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488462	CAVE9	male	CAVE9	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488560	20116312	male	20116312	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488559	20116265	male	20116265	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488558	20166915	male	20166915	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488557	20166913	male	20166913	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488556	20166912	male	20166912	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488555	UCM046	male	UCM046	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488554	UCM049	male	UCM049	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488553	UCM048	male	UCM048	long dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488552	TO12756	male	TO12756	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488550	TO12755	male	TO12755	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488549	UCM009	male	UCM009	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488548	UCM003	male	UCM003	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488547	UCM010	male	UCM010	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488546	UCM008	male	UCM008	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488545	UCM007	male	UCM007	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488543	UCM001	male	UCM001	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488542	9350	male	9350	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488551	TO12753	male	TO12753	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488461	CAVE7	male	CAVE7	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488452	A270584	male	A270584	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488451	A270577	male	A270577	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488493	UCM099	male	UCM099	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488460	2N96596	male	2N96596	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488488	1219	male	1219	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488544	UCM005	male	UCM005	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488466	UCM064	male	UCM064	resident continent
Sylvia_atricapilla	PRJNA616371	SAMN14488521	9244	male	9244	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488512	9239	male	9239	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488540	9384	male	9384	med dist SE
