Organism	BioProject	BioSample	SampleName	Sex
Anas_platyrhynchos	PRJNA450892	SAMN08952634	S91	male
Anas_platyrhynchos	PRJNA450892	SAMN08952641	S98	female
Anas_platyrhynchos	PRJNA450892	SAMN08952640	S97	female
Anas_platyrhynchos	PRJNA450892	SAMN08952639	S96	female
Anas_platyrhynchos	PRJNA450892	SAMN08952638	S95	female
Anas_platyrhynchos	PRJNA450892	SAMN08952643	S100	male
Anas_platyrhynchos	PRJNA450892	SAMN08952642	S99	female
Anas_platyrhynchos	PRJNA450892	SAMN08952612	S69	female
Anas_platyrhynchos	PRJNA450892	SAMN08952613	S70	female
Anas_platyrhynchos	PRJNA450892	SAMN08952610	S67	female
Anas_platyrhynchos	PRJNA450892	SAMN08952611	S68	male
Anas_platyrhynchos	PRJNA450892	SAMN08952608	S65	male
Anas_platyrhynchos	PRJNA450892	SAMN08952609	S66	female
Anas_platyrhynchos	PRJNA450892	SAMN08952606	S63	female
Anas_platyrhynchos	PRJNA450892	SAMN08952607	S64	female
Anas_platyrhynchos	PRJNA450892	SAMN08952604	S61	female
Anas_platyrhynchos	PRJNA450892	SAMN08952605	S62	male
Anas_platyrhynchos	PRJNA450892	SAMN08952577	S34	female
Anas_platyrhynchos	PRJNA450892	SAMN08952566	S23	female
Anas_platyrhynchos	PRJNA450892	SAMN08952624	S81	female
Anas_platyrhynchos	PRJNA450892	SAMN08952637	S94	female
Anas_platyrhynchos	PRJNA450892	SAMN08952645	S102	male
