Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	sub_species	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	common_name	lat_lon	collected_by	tissue_type	geographic_location_(region_and_locality)
ERR849869	WGS	200	4053608400	PRJEB9057	SAMEA3334626	2777685766	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930780	Illumina HiSeq 2000	DNA_350	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334626	ERP010115	missing	NA	DNA_350	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334626	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:39Z	public	DNA_350	collared crow	NA	NA	NA	NA
ERR849870	WGS	200	721079800	PRJEB9057	SAMEA3334444	513892600	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930781	Illumina HiSeq 2000	DNA_351	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334444	ERP010115	missing	NA	DNA_351	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334444	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_351	hooded crow	NA	NA	NA	NA
ERR849871	WGS	200	1524136400	PRJEB9057	SAMEA3334646	1051317042	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930782	Illumina HiSeq 2000	DNA_352	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334646	ERP010115	missing	orientalis	DNA_352	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334646	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:44Z	public	DNA_352	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849872	WGS	200	2704172000	PRJEB9057	SAMEA3334595	1894541730	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930783	Illumina HiSeq 2000	DNA_353	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334595	ERP010115	missing	orientalis	DNA_353	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334595	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_353	NA	NA	NA	NA	NA
ERR849873	WGS	200	2383666400	PRJEB9057	SAMEA3334445	1682374231	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930784	Illumina HiSeq 2000	DNA_354	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334445	ERP010115	missing	NA	DNA_354	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334445	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_354	hooded crow	NA	NA	NA	NA
ERR849874	WGS	200	1960180800	PRJEB9057	SAMEA3334596	1388581520	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930785	Illumina HiSeq 2000	DNA_355	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334596	ERP010115	missing	orientalis	DNA_355	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334596	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_355	NA	NA	NA	NA	NA
ERR849875	WGS	200	3330956600	PRJEB9057	SAMEA3334597	2361907039	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930786	Illumina HiSeq 2000	DNA_356	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334597	ERP010115	missing	orientalis	DNA_356	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334597	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_356	NA	NA	NA	NA	NA
ERR849876	WGS	200	3105054200	PRJEB9057	SAMEA3334598	2189382055	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930787	Illumina HiSeq 2000	DNA_357	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334598	ERP010115	missing	orientalis	DNA_357	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334598	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_357	NA	NA	NA	NA	NA
ERR849877	WGS	200	3737844200	PRJEB9057	SAMEA3334599	2599813803	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930788	Illumina HiSeq 2000	DNA_358	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334599	ERP010115	missing	orientalis	DNA_358	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334599	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_358	NA	NA	NA	NA	NA
ERR849878	WGS	200	3066746000	PRJEB9057	SAMEA3334647	2071718461	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930789	Illumina HiSeq 2000	DNA_359	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334647	ERP010115	missing	orientalis	DNA_359	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334647	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:44Z	public	DNA_359	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849879	WGS	200	3357547400	PRJEB9057	SAMEA3334446	2346018256	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930790	Illumina HiSeq 2000	DNA_360	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334446	ERP010115	missing	NA	DNA_360	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334446	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_360	hooded crow	NA	NA	NA	NA
ERR849880	WGS	200	3553050200	PRJEB9057	SAMEA3334600	2501349559	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930791	Illumina HiSeq 2000	DNA_361	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334600	ERP010115	missing	orientalis	DNA_361	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334600	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_361	NA	NA	NA	NA	NA
ERR849881	WGS	200	3048393000	PRJEB9057	SAMEA3334447	2143784735	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930792	Illumina HiSeq 2000	DNA_362	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334447	ERP010115	missing	NA	DNA_362	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334447	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:21Z	public	DNA_362	hooded crow	NA	NA	NA	NA
ERR849882	WGS	200	5005412000	PRJEB9057	SAMEA3334627	2963694786	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930793	Illumina HiSeq 2000	DNA_363	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334627	ERP010115	missing	NA	DNA_363	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334627	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:39Z	public	DNA_363	collared crow	NA	NA	NA	NA
ERR849883	WGS	200	1537152200	PRJEB9057	SAMEA3334448	950061185	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930794	Illumina HiSeq 2000	DNA_364	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334448	ERP010115	missing	NA	DNA_364	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334448	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:21Z	public	DNA_364	hooded crow	NA	NA	NA	NA
ERR849884	WGS	200	4025191800	PRJEB9057	SAMEA3334601	2432239997	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930795	Illumina HiSeq 2000	DNA_365	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334601	ERP010115	missing	orientalis	DNA_365	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334601	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:19Z	public	DNA_365	NA	NA	NA	NA	NA
ERR849885	WGS	200	7163206200	PRJEB9057	SAMEA3334602	4288129327	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930796	Illumina HiSeq 2000	DNA_366	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334602	ERP010115	missing	orientalis	DNA_366	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334602	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_366	NA	NA	NA	NA	NA
ERR849886	WGS	200	7704950000	PRJEB9057	SAMEA3334603	4582398902	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930797	Illumina HiSeq 2000	DNA_367	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334603	ERP010115	missing	orientalis	DNA_367	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334603	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_367	NA	NA	NA	NA	NA
ERR849887	WGS	200	6945883600	PRJEB9057	SAMEA3334604	4431437140	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930798	Illumina HiSeq 2000	DNA_368	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334604	ERP010115	missing	orientalis	DNA_368	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334604	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_368	NA	NA	NA	NA	NA
ERR849888	WGS	200	12812830800	PRJEB9057	SAMEA3334436	8084188777	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930799	Illumina HiSeq 2000	DNA_369	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334436	ERP010115	missing	NA	DNA_369	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334436	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_369	American crow	NA	NA	NA	NA
ERR849889	WGS	200	8078043800	PRJEB9057	SAMEA3334605	5168596269	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930800	Illumina HiSeq 2000	DNA_370	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334605	ERP010115	missing	orientalis	DNA_370	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334605	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_370	NA	NA	NA	NA	NA
ERR849890	WGS	200	10639559000	PRJEB9057	SAMEA3334437	6749410826	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930801	Illumina HiSeq 2000	DNA_371	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334437	ERP010115	missing	NA	DNA_371	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334437	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:20Z	public	DNA_371	American crow	NA	NA	NA	NA
ERR849891	WGS	200	3863865400	PRJEB9057	SAMEA3334606	2446307415	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930802	Illumina HiSeq 2000	DNA_372	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334606	ERP010115	missing	orientalis	DNA_372	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334606	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_372	NA	NA	NA	NA	NA
ERR849892	WGS	200	5606440600	PRJEB9057	SAMEA3334607	3569787328	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930803	Illumina HiSeq 2000	DNA_373	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334607	ERP010115	missing	orientalis	DNA_373	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334607	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_373	NA	NA	NA	NA	NA
ERR849893	WGS	200	9620305400	PRJEB9057	SAMEA3334438	6298016442	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930804	Illumina HiSeq 2000	DNA_374	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334438	ERP010115	missing	NA	DNA_374	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334438	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:21Z	public	DNA_374	American crow	NA	NA	NA	NA
ERR849894	WGS	200	12734701200	PRJEB9057	SAMEA3334439	8083741140	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930805	Illumina HiSeq 2000	DNA_375	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334439	ERP010115	missing	NA	DNA_375	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334439	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_375	American crow	NA	NA	NA	NA
ERR849895	WGS	200	4296867800	PRJEB9057	SAMEA3334608	2758734237	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930806	Illumina HiSeq 2000	DNA_376	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334608	ERP010115	missing	orientalis	DNA_376	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334608	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_376	NA	NA	NA	NA	NA
ERR849896	WGS	200	15668409000	PRJEB9057	SAMEA3334440	10105731417	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930807	Illumina HiSeq 2000	DNA_377	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334440	ERP010115	missing	NA	DNA_377	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334440	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:21Z	public	DNA_377	American crow	NA	NA	NA	NA
ERR849897	WGS	200	2091158800	PRJEB9057	SAMEA3334609	1275866652	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930808	Illumina HiSeq 2000	DNA_378	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334609	ERP010115	missing	orientalis	DNA_378	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334609	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_378	NA	NA	NA	NA	NA
