BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	dangling_references (run)	use_species
PRJEB7359	ERR699273	WGS	200	16413639400	SAMEA3172319	7837313530	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643712	Illumina HiSeq 2000	OP_CJ23028_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172319	ERP007074	male	Sweden	Europe	ERS626562	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626562	OP_CJ23028	OP_CJ23028	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699274	WGS	200	14294062800	SAMEA3172320	6166505832	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643713	Illumina HiSeq 2000	OP_CJ23501_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172320	ERP007074	female	Sweden	Europe	ERS626563	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626563	OP_CJ23501	OP_CJ23501	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699275	WGS	200	16478416400	SAMEA3172321	7245148117	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643714	Illumina HiSeq 2000	OP_CJ23689_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172321	ERP007074	female	Sweden	Europe	ERS626564	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626564	OP_CJ23689	OP_CJ23689	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699277	WGS	200	35411748600	SAMEA3172323	16138269032	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643716	Illumina HiSeq 2000	OP_CK53268_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172323	ERP007074	male	Sweden	Europe	ERS626566	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626566	OP_CK53268	OP_CK53268	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699278	WGS	200	14860473600	SAMEA3172324	6585651212	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643717	Illumina HiSeq 2000	OP_CK53444_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172324	ERP007074	female	Sweden	Europe	ERS626567	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626567	OP_CK53444	OP_CK53444	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699279	WGS	200	15457846800	SAMEA3172325	6928291464	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643718	Illumina HiSeq 2000	OP_CK53825_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172325	ERP007074	female	Sweden	Europe	ERS626568	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626568	OP_CK53825	OP_CK53825	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699281	WGS	200	15230979200	SAMEA3172327	6909199757	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643720	Illumina HiSeq 2000	OP_CK53886_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172327	ERP007074	male	Sweden	Europe	ERS626570	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626570	OP_CK53886	OP_CK53886	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699282	WGS	200	12490487600	SAMEA3172328	5855397695	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643721	Illumina HiSeq 2000	OP_CK53888_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172328	ERP007074	female	Sweden	Europe	ERS626571	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:59Z	public	ERS626571	OP_CK53888	OP_CK53888	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699283	WGS	200	19025320200	SAMEA3172329	8471614632	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643722	Illumina HiSeq 2000	OP_CK53891_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172329	ERP007074	male	Sweden	Europe	ERS626572	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:35:00Z	public	ERS626572	OP_CK53891	OP_CK53891	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699284	WGS	200	14162161200	SAMEA3172330	6250851672	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643723	Illumina HiSeq 2000	OP_CK53898_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172330	ERP007074	male	Sweden	Europe	ERS626573	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:35:00Z	public	ERS626573	OP_CK53898	OP_CK53898	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
