Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Coturnix_japonica	PRJNA339911	SAMN08892725	meatquail_1262526_F_new	female	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892732	meatquail_1262578_F_new	female	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892731	meatquail_1262577_M_new	male	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892743	wildquail_wu_F_new	female	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892722	eggquail_L_107398_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892721	eggquail_L_107374_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892720	eggquail_L_107372_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892719	eggquail_L_107363_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892718	eggquail_E_89270_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892717	eggquail_E_59181_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892716	eggquail_E_59180_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892715	eggquail_Egg_59179_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892714	eggquail_Egg_59172_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892713	eggquail_Egg_117283_M_new	male	not applicable	not applicable	egg_type
Coturnix_japonica	PRJNA339911	SAMN08892741	wildquail_8646_M_new	male	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892742	wildquail_8648_M_new	male	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892733	meatquail_1262587_M_new	male	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN08892734	wildquail_1603_F_new	female	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892735	wildquail_1604_F_new	female	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892736	wildquail_1606_F_new	female	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892737	wildquail_1614_F_new	female	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892738	wildquail_8601_M_new	male	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892739	wildquail_8607_M_new	male	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN08892724	meatquail_1262522_F_new	female	not applicable	not applicable	meat_type
Coturnix_japonica	PRJNA339911	SAMN06756395	Coturnix japonica_marron_female_4	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN08892740	wildquail_8609_M_new	male	not applicable	not applicable	wild_type
Coturnix_japonica	PRJNA339911	SAMN06756404	Coturnix japonica_yellow_female_8	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756435	Coturnix japonica_egg_female_4	female	not applicable	not applicable	not applicable
Coturnix_japonica	PRJNA339911	SAMN06756428	Coturnix japonica_wild_male_2	male	not applicable	not applicable	not applicable
