Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality	Ecotype
Anguilla_anguilla	PRJNA668259	SAMN16492652	AMAR33	missing	AMAR33	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492642	AMAR24	missing	AMAR24	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492648	AMAR2	missing	AMAR2	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492636	AMAR19	missing	AMAR19	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492621	ALI50	missing	ALI50	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492615	ALI45	missing	ALI45	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492504	AES11	missing	AES11	United Kingdom	Europe	United Kingdom: Severn river	AES
Anguilla_anguilla	PRJNA668259	SAMN16492441	AAF44	missing	AAF44	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492437	AAF40	missing	AAF40	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492435	AAF39	missing	AAF39	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492429	AAF33	missing	AAF33	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492436	AAF3	missing	AAF3	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492638	AMAR20	missing	AMAR20	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492418	AAF22	missing	AAF22	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492414	AAF18	missing	AAF18	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492413	AAF17	missing	AAF17	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492409	AAF13	missing	AAF13	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492887	SMS44	missing	SMS44	Sweden	Europe	Sweden:Motala strom	SMS
