Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Coilia_nasus	PRJNA422339	SAMN13381220	anchovy_sample12	not determined	sample12	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381219	anchovy_sample11	not determined	sample11	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381289	anchovy_sample81	not determined	sample81	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381290	anchovy_sample82	not determined	sample82	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381291	anchovy_sample83	not determined	sample83	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381292	anchovy_sample84	not determined	sample84	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381293	anchovy_sample85	not determined	sample85	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381294	anchovy_sample86	not determined	sample86	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381295	anchovy_sample87	not determined	sample87	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381297	anchovy_sample89	not determined	sample89	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381298	anchovy_sample90	not determined	sample90	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381244	anchovy_sample36	not determined	sample36	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381243	anchovy_sample35	not determined	sample35	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381246	anchovy_sample38	not determined	sample38	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381245	anchovy_sample37	not determined	sample37	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381240	anchovy_sample32	not determined	sample32	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381239	anchovy_sample31	not determined	sample31	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381242	anchovy_sample34	not determined	sample34	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381241	anchovy_sample33	not determined	sample33	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381248	anchovy_sample40	not determined	sample40	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381247	anchovy_sample39	not determined	sample39	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381235	anchovy_sample27	not determined	sample27	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381236	anchovy_sample28	not determined	sample28	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
