BioSample	lat_lon
SAMN18196763	
SAMN18196764	
SAMN18196765	
SAMN18196766	
SAMN18196767	
SAMN18196768	
SAMN18196769	
SAMN18196770	
SAMN18196771	
SAMN18196772	
SAMN18196773	
SAMN18196774	
SAMN18196775	
SAMN18196776	
SAMN18196777	
SAMN18196778	
SAMN18196779	
SAMN18196780	
SAMN18196781	
SAMN18196782	
SAMN18196783	
SAMN18196784	
SAMN18196785	
SAMN18196786	
SAMN18196787	
SAMN18196788	
SAMN18196789	
SAMN18196790	
SAMN18196791	
SAMN18196792	
SAMN18196793	
SAMN18196794	
SAMN18196795	
SAMN18196796	
SAMN18196797	
SAMN18196798	
SAMN18196799	
SAMN18196800	
SAMN18196801	
SAMN18196802	
SAMN18196803	
SAMN18196804	
SAMN18196805	
SAMN18196806	
SAMN18196807	
SAMN18196808	
SAMN18196809	
SAMN18196810	
SAMN18196811	
SAMN18196812	
SAMN18196813	
SAMN18196814	
SAMN18196815	
SAMN19607625	
SAMN19607626	
SAMN19607627	
SAMN19607628	
SAMN19607629	
SAMN19607630	
SAMN19607631	
SAMN19607632	
SAMN19607633	
SAMN19607634	
SAMN19607635	
SAMN19607636	
SAMN19607637	
SAMN19607638	
SAMN19607639	
SAMN19607640	
SAMN19607641	
SAMN22420173	52.391 N 113.612 W
SAMN22420174	52.391 N 113.612 W
SAMN22420175	52.391 N 113.612 W
SAMN22420176	52.391 N 113.612 W
SAMN22420177	52.391 N 113.612 W
SAMN22420178	52.391 N 113.612 W
SAMN22420179	40.39 N 74.001 W
SAMN22420180	42.115 N 80.145 W
SAMN22420181	52.391 N 113.612 W
SAMN22420182	42.115 N 80.145 W
SAMN22420183	35.04 N 101.933 W
SAMN22420184	35.04 N 101.933 W
SAMN22420185	40.39 N 74.001 W
SAMN22420186	45.598 N 98.31 W
SAMN22420187	28.36 N 81.588 W
SAMN22420188	28.36 N 81.588 W
SAMN22420189	28.36 N 81.588 W
SAMN22420190	42.115 N 80.145 W
SAMN22420191	28.36 N 81.588 W
SAMN22420192	52.391 N 113.612 W
SAMN22420193	52.391 N 113.612 W
SAMN22420194	52.391 N 113.612 W
SAMN22420195	52.391 N 113.612 W
SAMN22420196	40.39 N 74.001 W
SAMN22420197	28.36 N 81.588 W
SAMN22420198	28.36 N 81.588 W
SAMN22420199	48.995 N 123.815 W
SAMN22420200	27.997 N 97.879 W
SAMN22420201	32.614 N 110.772 W
SAMN22420202	28.36 N 81.588 W
SAMN22420203	46.146 N 93.724 W
SAMN22420204	28.36 N 81.588 W
SAMN22420205	42.115 N 80.145 W
SAMN22420206	35.04 N 101.933 W
SAMN22420207	28.36 N 81.588 W
SAMN22420208	28.36 N 81.588 W
SAMN22420209	27.68 N 97.407 W
SAMN22420210	28.36 N 81.588 W
SAMN22420211	28.36 N 81.588 W
SAMN22420212	28.36 N 81.588 W
SAMN22420213	42.115 N 80.145 W
SAMN22420214	42.115 N 80.145 W
SAMN22420215	42.115 N 80.145 W
SAMN22420216	52.391 N 113.612 W
SAMN22420217	42.115 N 80.145 W
SAMN22420218	53.011 N 112.864 W
SAMN22420219	53.011 N 112.864 W
SAMN22420220	42.115 N 80.145 W
SAMN22420221	40.036 N 75.514 W
SAMN22420222	53.011 N 112.864 W
SAMN22420223	38.613 N 77.263 W
SAMN22420224	35.04 N 101.933 W
SAMN22420225	27.997 N 97.879 W
SAMN22420226	42.115 N 80.145 W
SAMN22420227	26.149 N 81.746 W
SAMN22420228	42.115 N 80.145 W
SAMN22420229	38.613 N 77.263 W
SAMN22420230	27.997 N 97.879 W
SAMN22420231	38.613 N 77.263 W
SAMN22420232	38.613 N 77.263 W
SAMN22420233	38.613 N 77.263 W
SAMN22420234	26.149 N 81.746 W
SAMN22420235	27.997 N 97.879 W
SAMN22420236	45.351 N 75.827 W
SAMN22420237	38.613 N 77.263 W
SAMN22420238	38.611 N 121.436 W
SAMN22420239	38.613 N 77.263 W
SAMN22420240	27.68 N 97.407 W
SAMN22420241	27.997 N 97.879 W
SAMN22420242	27.997 N 97.879 W
SAMN22420243	27.997 N 97.879 W
SAMN22420244	27.997 N 97.879 W
SAMN22420245	27.68 N 97.407 W
SAMN22420246	27.68 N 97.407 W
SAMN22420247	52.391 N 113.612 W
SAMN22420248	53.011 N 112.864 W
SAMN22420249	52.391 N 113.612 W
SAMN22420250	45.598 N 98.31 W
SAMN22420251	42.115 N 80.145 W
SAMN22420252	28.36 N 81.588 W
SAMN22420253	28.36 N 81.588 W
SAMN22420254	28.36 N 81.588 W
SAMN22420255	28.36 N 81.588 W
SAMN22420256	28.36 N 81.588 W
SAMN22420257	28.36 N 81.588 W
SAMN22420258	28.36 N 81.588 W
SAMN22420259	28.36 N 81.588 W
SAMN22420260	42.115 N 80.145 W
SAMN22420261	42.115 N 80.145 W
SAMN22420262	28.36 N 81.588 W
SAMN22420263	45.351 N 75.827 W
SAMN22420264	53.011 N 112.864 W
SAMN22420265	28.36 N 81.588 W
SAMN22420266	52.391 N 113.612 W
SAMN22420267	52.391 N 113.612 W
SAMN22420268	52.391 N 113.612 W
