BioSample,lat_lon
SAMN16492886,58.588932 N 16.18397 E
SAMN16492883,58.588932 N 16.18397 E
SAMN16492893,58.588932 N 16.18397 E
SAMN16492875,58.588932 N 16.18397 E
SAMN16492874,58.588932 N 16.18397 E
SAMN16492870,58.588932 N 16.18397 E
SAMN16492453,47.498587 N 2.384849 W
SAMN16492866,58.588932 N 16.18397 E
SAMN16492862,58.588932 N 16.18397 E
SAMN16492855,58.588932 N 16.18397 E
SAMN16492854,58.588932 N 16.18397 E
SAMN16492838,37.012167 N 10.191194 E
SAMN16492809,37.012167 N 10.191194 E
SAMN16492807,37.012167 N 10.191194 E
SAMN16492805,37.012167 N 10.191194 E
SAMN16492785,37.012167 N 10.191194 E
SAMN16492782,58.939666 N 11.176402 E
SAMN16492631,34.274454 N 6.566088 W
SAMN16492779,58.939666 N 11.176402 E
SAMN16492777,58.939666 N 11.176402 E
SAMN16492764,58.939666 N 11.176402 E
SAMN16492761,58.939666 N 11.176402 E
SAMN16492751,57.26626 N 12.106816 E
SAMN16492748,57.26626 N 12.106816 E
SAMN16492741,57.26626 N 12.106816 E
SAMN16492740,57.26626 N 12.106816 E
SAMN16492727,57.26626 N 12.106816 E
SAMN16492623,55.5425 N 21.1219 E
SAMN16492723,37.721472 N 8.782361 W
SAMN16492709,37.721472 N 8.782361 W
SAMN16492672,34.274454 N 6.566088 W
SAMN16492669,34.274454 N 6.566088 W
SAMN16492656,34.274454 N 6.566088 W
SAMN16492651,34.274454 N 6.566088 W
SAMN16492639,34.274454 N 6.566088 W
SAMN16492635,34.274454 N 6.566088 W
SAMN16492633,34.274454 N 6.566088 W
SAMN16492607,55.5425 N 21.1219 E
SAMN16492629,34.274454 N 6.566088 W
SAMN16492628,34.274454 N 6.566088 W
SAMN16492627,34.274454 N 6.566088 W
SAMN16492622,55.5425 N 21.1219 E
SAMN16492582,55.5425 N 21.1219 E
SAMN16492575,54.504526 N 8.230453 W
SAMN16492569,54.504526 N 8.230453 W
SAMN16492797,37.012167 N 10.191194 E
SAMN16492451,47.498587 N 2.384849 W
SAMN16492771,58.939666 N 11.176402 E
SAMN16492767,58.939666 N 11.176402 E
SAMN16492760,58.939666 N 11.176402 E
SAMN16492753,57.26626 N 12.106816 E
SAMN16492750,57.26626 N 12.106816 E
SAMN16492734,57.26626 N 12.106816 E
SAMN16492724,37.721472 N 8.782361 W
SAMN16492885,58.588932 N 16.18397 E
SAMN16492878,58.588932 N 16.18397 E
SAMN16492712,37.721472 N 8.782361 W
SAMN16492877,58.588932 N 16.18397 E
SAMN16492876,58.588932 N 16.18397 E
SAMN16492872,58.588932 N 16.18397 E
SAMN16492848,37.012167 N 10.191194 E
SAMN16492825,37.012167 N 10.191194 E
SAMN16492823,37.012167 N 10.191194 E
SAMN16492817,37.012167 N 10.191194 E
SAMN16492813,37.012167 N 10.191194 E
SAMN16492787,37.012167 N 10.191194 E
SAMN16492694,37.721472 N 8.782361 W
SAMN16492775,58.939666 N 11.176402 E
SAMN16492773,58.939666 N 11.176402 E
SAMN16492565,54.504526 N 8.230453 W
SAMN16492561,54.504526 N 8.230453 W
SAMN16492560,54.504526 N 8.230453 W
SAMN16492605,55.5425 N 21.1219 E
SAMN16492442,47.498587 N 2.384849 W
SAMN16492557,54.504526 N 8.230453 W
SAMN16492541,54.504526 N 8.230453 W
SAMN16492528,51.993503 N 2.174012 W
SAMN16492512,51.993503 N 2.174012 W
SAMN16492509,51.993503 N 2.174012 W
SAMN16492505,51.993503 N 2.174012 W
SAMN16492595,55.5425 N 21.1219 E
SAMN16492440,47.498587 N 2.384849 W
SAMN16492439,47.498587 N 2.384849 W
SAMN16492589,55.5425 N 21.1219 E
SAMN16492434,47.498587 N 2.384849 W
SAMN16492422,47.498587 N 2.384849 W
SAMN16492421,47.498587 N 2.384849 W
SAMN16492756,58.939666 N 11.176402 E
SAMN16492765,58.939666 N 11.176402 E
SAMN16492747,57.26626 N 12.106816 E
SAMN16492743,57.26626 N 12.106816 E
SAMN16492742,57.26626 N 12.106816 E
SAMN16492690,37.721472 N 8.782361 W
SAMN16492739,57.26626 N 12.106816 E
SAMN16492733,57.26626 N 12.106816 E
SAMN16492726,57.26626 N 12.106816 E
SAMN16492722,37.721472 N 8.782361 W
SAMN16492719,37.721472 N 8.782361 W
SAMN16492716,37.721472 N 8.782361 W
SAMN16492705,37.721472 N 8.782361 W
SAMN16492699,37.721472 N 8.782361 W
SAMN16492686,37.721472 N 8.782361 W
SAMN16492688,37.721472 N 8.782361 W
SAMN16492680,37.721472 N 8.782361 W
SAMN16492667,34.274454 N 6.566088 W
SAMN16492653,34.274454 N 6.566088 W
SAMN16492646,34.274454 N 6.566088 W
SAMN16492644,34.274454 N 6.566088 W
SAMN16492634,34.274454 N 6.566088 W
SAMN16492630,34.274454 N 6.566088 W
SAMN16492626,55.5425 N 21.1219 E
SAMN16492618,55.5425 N 21.1219 E
SAMN16492614,55.5425 N 21.1219 E
SAMN16492684,37.721472 N 8.782361 W
SAMN16492606,55.5425 N 21.1219 E
SAMN16492880,58.588932 N 16.18397 E
SAMN16492873,58.588932 N 16.18397 E
SAMN16492882,58.588932 N 16.18397 E
SAMN16492863,58.588932 N 16.18397 E
SAMN16492852,58.588932 N 16.18397 E
SAMN16492585,55.5425 N 21.1219 E
SAMN16492849,37.012167 N 10.191194 E
SAMN16492836,37.012167 N 10.191194 E
SAMN16492818,37.012167 N 10.191194 E
SAMN16492811,37.012167 N 10.191194 E
SAMN16492810,37.012167 N 10.191194 E
SAMN16492798,37.012167 N 10.191194 E
SAMN16492780,58.939666 N 11.176402 E
SAMN16492583,55.5425 N 21.1219 E
SAMN16492766,58.939666 N 11.176402 E
SAMN16492776,58.939666 N 11.176402 E
SAMN16492763,58.939666 N 11.176402 E
SAMN16492758,58.939666 N 11.176402 E
SAMN16492736,57.26626 N 12.106816 E
SAMN16492732,57.26626 N 12.106816 E
SAMN16492735,57.26626 N 12.106816 E
SAMN16492721,37.721472 N 8.782361 W
SAMN16492715,37.721472 N 8.782361 W
SAMN16492714,37.721472 N 8.782361 W
SAMN16492550,54.504526 N 8.230453 W
SAMN16492711,37.721472 N 8.782361 W
SAMN16492718,37.721472 N 8.782361 W
SAMN16492697,37.721472 N 8.782361 W
SAMN16492696,37.721472 N 8.782361 W
SAMN16492596,55.5425 N 21.1219 E
SAMN16492431,47.498587 N 2.384849 W
SAMN16492412,47.498587 N 2.384849 W
SAMN16492603,55.5425 N 21.1219 E
SAMN16492599,55.5425 N 21.1219 E
SAMN16492594,55.5425 N 21.1219 E
SAMN16492590,55.5425 N 21.1219 E
SAMN16492570,54.504526 N 8.230453 W
SAMN16492562,54.504526 N 8.230453 W
SAMN16492556,54.504526 N 8.230453 W
SAMN16492555,54.504526 N 8.230453 W
SAMN16492679,37.721472 N 8.782361 W
SAMN16492546,54.504526 N 8.230453 W
SAMN16492542,54.504526 N 8.230453 W
SAMN16492536,54.504526 N 8.230453 W
SAMN16492526,51.993503 N 2.174012 W
SAMN16492664,34.274454 N 6.566088 W
SAMN16492450,47.498587 N 2.384849 W
SAMN16492448,47.498587 N 2.384849 W
SAMN16492415,47.498587 N 2.384849 W
SAMN16492408,47.498587 N 2.384849 W
SAMN16492407,47.498587 N 2.384849 W
SAMN16492896,58.588932 N 16.18397 E
SAMN16492895,58.588932 N 16.18397 E
SAMN16492662,34.274454 N 6.566088 W
SAMN16492890,58.588932 N 16.18397 E
SAMN16492695,37.721472 N 8.782361 W
SAMN16492685,37.721472 N 8.782361 W
SAMN16492681,37.721472 N 8.782361 W
SAMN16492666,34.274454 N 6.566088 W
SAMN16492663,34.274454 N 6.566088 W
SAMN16492549,54.504526 N 8.230453 W
SAMN16492657,34.274454 N 6.566088 W
SAMN16492624,55.5425 N 21.1219 E
SAMN16492619,55.5425 N 21.1219 E
SAMN16492616,55.5425 N 21.1219 E
SAMN16492611,55.5425 N 21.1219 E
SAMN16492600,55.5425 N 21.1219 E
SAMN16492577,54.504526 N 8.230453 W
SAMN16492548,54.504526 N 8.230453 W
SAMN16492567,54.504526 N 8.230453 W
SAMN16492559,54.504526 N 8.230453 W
SAMN16492551,54.504526 N 8.230453 W
SAMN16492547,54.504526 N 8.230453 W
SAMN16492540,54.504526 N 8.230453 W
SAMN16492539,54.504526 N 8.230453 W
SAMN16492531,54.504526 N 8.230453 W
SAMN16492525,51.993503 N 2.174012 W
SAMN16492522,51.993503 N 2.174012 W
SAMN16492517,51.993503 N 2.174012 W
SAMN16492544,54.504526 N 8.230453 W
SAMN16492515,51.993503 N 2.174012 W
SAMN16492423,47.498587 N 2.384849 W
SAMN16492419,47.498587 N 2.384849 W
SAMN16492406,47.498587 N 2.384849 W
SAMN16492755,58.939666 N 11.176402 E
SAMN16492612,55.5425 N 21.1219 E
SAMN16492520,51.993503 N 2.174012 W
SAMN16492586,55.5425 N 21.1219 E
SAMN16492420,47.498587 N 2.384849 W
SAMN16492706,37.721472 N 8.782361 W
SAMN16492503,51.993503 N 2.174012 W
SAMN16492762,58.939666 N 11.176402 E
SAMN16492508,51.993503 N 2.174012 W
SAMN16492842,37.012167 N 10.191194 E
SAMN16492788,37.012167 N 10.191194 E
SAMN16492523,51.993503 N 2.174012 W
SAMN16492861,58.588932 N 16.18397 E
SAMN16492792,37.012167 N 10.191194 E
SAMN16492749,57.26626 N 12.106816 E
SAMN16492576,54.504526 N 8.230453 W
SAMN16492851,37.012167 N 10.191194 E
SAMN16492824,37.012167 N 10.191194 E
SAMN16492591,55.5425 N 21.1219 E
SAMN16492846,37.012167 N 10.191194 E
SAMN16492514,51.993503 N 2.174012 W
SAMN16492604,55.5425 N 21.1219 E
SAMN16492730,57.26626 N 12.106816 E
SAMN16492897,58.588932 N 16.18397 E
SAMN16492888,58.588932 N 16.18397 E
SAMN16492783,58.939666 N 11.176402 E
SAMN16492430,47.498587 N 2.384849 W
SAMN16492427,47.498587 N 2.384849 W
SAMN16492770,58.939666 N 11.176402 E
SAMN16492683,37.721472 N 8.782361 W
SAMN16492645,34.274454 N 6.566088 W
SAMN16492518,51.993503 N 2.174012 W
SAMN16492745,57.26626 N 12.106816 E
SAMN16492446,47.498587 N 2.384849 W
SAMN16492853,58.588932 N 16.18397 E
SAMN16492840,37.012167 N 10.191194 E
SAMN16492554,54.504526 N 8.230453 W
SAMN16492691,37.721472 N 8.782361 W
SAMN16492847,37.012167 N 10.191194 E
SAMN16492647,34.274454 N 6.566088 W
SAMN16492768,58.939666 N 11.176402 E
SAMN16492703,37.721472 N 8.782361 W
SAMN16492802,37.012167 N 10.191194 E
SAMN16492625,55.5425 N 21.1219 E
SAMN16492731,57.26626 N 12.106816 E
SAMN16492665,34.274454 N 6.566088 W
SAMN16492506,51.993503 N 2.174012 W
SAMN16492433,47.498587 N 2.384849 W
SAMN16492482,45.18285 N 66.25026 W
SAMN16492486,45.18285 N 66.25026 W
SAMN16492474,45.18285 N 66.25026 W
SAMN16492472,45.18285 N 66.25026 W
SAMN16492468,45.18285 N 66.25026 W
SAMN16492475,45.18285 N 66.25026 W
SAMN16492458,45.18285 N 66.25026 W
SAMN16492456,45.18285 N 66.25026 W
SAMN16492501,45.18285 N 66.25026 W
SAMN16492490,45.18285 N 66.25026 W
SAMN16492487,45.18285 N 66.25026 W
SAMN16492473,45.18285 N 66.25026 W
SAMN16492460,45.18285 N 66.25026 W
SAMN16492484,45.18285 N 66.25026 W
SAMN16492469,45.18285 N 66.25026 W
SAMN16492500,45.18285 N 66.25026 W
SAMN16492494,45.18285 N 66.25026 W
SAMN16492491,45.18285 N 66.25026 W
SAMN16492497,45.18285 N 66.25026 W
SAMN16492483,45.18285 N 66.25026 W
SAMN16492476,45.18285 N 66.25026 W
SAMN16492455,45.18285 N 66.25026 W
SAMN16492489,45.18285 N 66.25026 W
SAMN16492485,45.18285 N 66.25026 W
SAMN16492479,45.18285 N 66.25026 W
SAMN16492471,45.18285 N 66.25026 W
SAMN16492463,45.18285 N 66.25026 W
SAMN16492459,45.18285 N 66.25026 W
SAMN16492454,45.18285 N 66.25026 W
SAMN16492464,45.18285 N 66.25026 W
SAMN16492502,45.18285 N 66.25026 W
SAMN16492495,45.18285 N 66.25026 W
SAMN16492492,45.18285 N 66.25026 W
SAMN16492481,45.18285 N 66.25026 W
SAMN16492477,45.18285 N 66.25026 W
SAMN16492467,45.18285 N 66.25026 W
SAMN16492465,45.18285 N 66.25026 W
SAMN16492457,45.18285 N 66.25026 W
SAMN16492470,45.18285 N 66.25026 W
SAMN16492498,45.18285 N 66.25026 W
SAMN16492493,45.18285 N 66.25026 W
SAMN16492480,45.18285 N 66.25026 W
SAMN16492466,45.18285 N 66.25026 W
SAMN16492461,45.18285 N 66.25026 W
SAMN16492499,45.18285 N 66.25026 W
SAMN16492496,45.18285 N 66.25026 W
SAMN16492488,45.18285 N 66.25026 W
SAMN16492478,45.18285 N 66.25026 W
SAMN16492462,45.18285 N 66.25026 W
SAMN10751928,42.480188 N 76.473953 W
SAMN10751929,42.480188 N 76.473953 W
SAMN10751926,42.480188 N 76.473953 W
SAMN10751927,42.480188 N 76.473953 W
SAMN10751907,42.480188 N 76.473953 W
SAMN10751906,42.480188 N 76.473953 W
SAMN10751909,42.480188 N 76.473953 W
SAMN10751908,42.480188 N 76.473953 W
SAMN10751911,42.480188 N 76.473953 W
SAMN10751910,42.480188 N 76.473953 W
SAMN10751913,42.480188 N 76.473953 W
SAMN10751912,42.480188 N 76.473953 W
SAMN10751915,42.480188 N 76.473953 W
SAMN10751914,42.480188 N 76.473953 W
SAMN10751925,42.480188 N 76.473953 W
SAMN10751924,42.480188 N 76.473953 W
SAMN10751919,42.480188 N 76.473953 W
SAMN10751918,42.480188 N 76.473953 W
SAMN10751917,42.480188 N 76.473953 W
SAMN10751916,42.480188 N 76.473953 W
SAMN10751923,42.480188 N 76.473953 W
SAMN10751922,42.480188 N 76.473953 W
SAMN10751921,42.480188 N 76.473953 W
SAMN10751920,42.480188 N 76.473953 W
SAMN08365921,56.297 N 9.633166667 W
SAMN08365920,56.297 N 9.633166667 W
SAMN08365923,56.20616667 N 9.382666667 W
SAMN08365922,56.20616667 N 9.382666667 W
SAMN08365916,56.29266667 N 9.881166667 W
SAMN08365919,56.29266667 N 9.881166667 W
SAMN08365918,56.29266667 N 9.881166667 W
SAMN08365933,56.297 N 9.633166667 W
SAMN08365944,56.29266667 N 9.881166667 W
SAMN08365925,56.23466667 N 9.256833333 W
SAMN08365924,56.20616667 N 9.382666667 W
SAMN08365935,56.20616667 N 9.382666667 W
SAMN08365937,56.20616667 N 9.382666667 W
SAMN08365900,56.297 N 9.633166667 W
SAMN08365932,56.297 N 9.633166667 W
SAMN08365943,56.29266667 N 9.881166667 W
SAMN08365942,56.29266667 N 9.881166667 W
SAMN08365939,56.23466667 N 9.256833333 W
SAMN08365940,56.23466667 N 9.256833333 W
SAMN08365936,56.20616667 N 9.382666667 W
SAMN08365954,56.20616667 N 9.382666667 W
SAMN08365950,56.297 N 9.633166667 W
SAMN08365951,56.20616667 N 9.382666667 W
SAMN08365952,56.20616667 N 9.382666667 W
SAMN08365953,56.20616667 N 9.382666667 W
SAMN08365946,56.297 N 9.633166667 W
SAMN08365947,56.297 N 9.633166667 W
SAMN08365949,56.297 N 9.633166667 W
SAMN08365914,56.23466667 N 9.256833333 W
SAMN08365915,56.29266667 N 9.881166667 W
SAMN08365930,56.29266667 N 9.881166667 W
SAMN08365931,56.297 N 9.633166667 W
SAMN08365928,56.29266667 N 9.881166667 W
SAMN08365929,56.29266667 N 9.881166667 W
SAMN08365926,56.23466667 N 9.256833333 W
SAMN08365927,56.29266667 N 9.881166667 W
SAMN08365906,56.23466667 N 9.256833333 W
SAMN08365907,56.297 N 9.633166667 W
SAMN08365908,56.29266667 N 9.881166667 W
SAMN08365909,56.297 N 9.633166667 W
SAMN08365910,56.20616667 N 9.382666667 W
SAMN08365911,56.20616667 N 9.382666667 W
SAMN08365912,56.20616667 N 9.382666667 W
SAMN08365913,56.23466667 N 9.256833333 W
SAMN08365945,56.29266667 N 9.881166667 W
SAMN08365905,56.23466667 N 9.256833333 W
SAMN08365934,56.20616667 N 9.382666667 W
SAMN08365901,56.297 N 9.633166667 W
SAMN08365902,56.20616667 N 9.382666667 W
SAMN08365896,56.23466667 N 9.256833333 W
SAMN08365897,56.23466667 N 9.256833333 W
SAMN08365898,56.29266667 N 9.881166667 W
SAMN08365899,56.29266667 N 9.881166667 W
SAMN08365941,56.23466667 N 9.256833333 W
SAMN08365904,56.23466667 N 9.256833333 W
SAMN08365917,56.29266667 N 9.881166667 W
SAMN08365955,56.20616667 N 9.382666667 W
SAMN08365948,56.297 N 9.633166667 W
SAMN08365938,56.23466667 N 9.256833333 W
SAMN08365903,56.23466667 N 9.256833333 W
SAMN09425179,36.793 S 143.412 E
SAMN10581952,36.793 S 143.412 E
SAMN10592523,33.328 S 148.975 E
SAMN10592522,32.97 S 148.42 E
SAMN10592520,24.41 S 151.04 E
SAMN10592519,23.82 S 149.07 E
SAMN10592518,37.027 S 143.774 E
SAMN10592517,36.97 S 143.733 E
SAMN10592516,36.984 S 143.737 E
SAMN10592515,36.977 S 143.736 E
SAMN10592514,37 S 143.75 E
SAMN10592528,37.027 S 143.774 E
SAMN10592531,33.27 S 148.59 E
SAMN10592525,36.982 S 143.734 E
SAMN10592524,36.98 S 143.74 E
SAMN10592527,36.975 S 143.736 E
SAMN10592526,36.981 S 143.737 E
SAMN10592532,33.27 S 148.59 E
SAMN10592529,22.81 S 150.6 E
SAMN10592530,33.27 S 148.59 E
SAMN10592521,32.96 S 146.165 E
SAMN05930393,41.1818 N 71.5793 W
SAMN05930394,41.1818 N 71.5793 W
SAMN05930395,41.1818 N 71.5793 W
SAMN05930396,41.1818 N 71.5793 W
SAMN05930397,41.1818 N 71.5793 W
SAMN05930398,41.1818 N 71.5793 W
SAMN05930399,41.1818 N 71.5793 W
SAMN05930400,41.1818 N 71.5793 W
SAMN05930391,41.1818 N 71.5793 W
SAMN05930392,41.1818 N 71.5793 W
SAMN05930643,41.6676 N 70.9159 W
SAMN05930428,41.1570 N 73.2189 W
SAMN05930427,41.1570 N 73.2189 W
SAMN05930430,41.1570 N 73.2189 W
SAMN05930429,41.1570 N 73.2189 W
SAMN05930424,41.1570 N 73.2189 W
SAMN05930423,41.1570 N 73.2189 W
SAMN05930425,41.1570 N 73.2189 W
SAMN05930422,41.1570 N 73.2189 W
SAMN05930421,41.1570 N 73.2189 W
SAMN05930528,40.9637 N 73.1342 W
SAMN05930526,40.9637 N 73.1342 W
SAMN05930527,40.9637 N 73.1342 W
SAMN05930524,40.9637 N 73.1342 W
SAMN05930525,40.9637 N 73.1342 W
SAMN05930522,40.9637 N 73.1342 W
SAMN05930523,40.9637 N 73.1342 W
SAMN05930520,40.9637 N 73.1342 W
SAMN05930521,40.9637 N 73.1342 W
SAMN05930511,40.9637 N 73.1342 W
SAMN05930510,40.9637 N 73.1342 W
SAMN05930515,40.9637 N 73.1342 W
SAMN05930514,40.9637 N 73.1342 W
SAMN05930513,40.9637 N 73.1342 W
