BioSample,Latitude,Longitude
SAMN06619702,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619705,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMEA4785070,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785071,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785072,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785073,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785074,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785075,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785076,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785078,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785079,"39°04'31.7"" N","17°06'59.4"" E"
SAMEA4785121,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785122,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785123,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785124,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785125,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785126,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785127,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785128,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785129,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785130,"44°01'41.5"" N","12°33'59.9"" E"
SAMEA4785150,"41°51'30.84"" N","15°27'03"" E"
SAMEA4785077,"39°04'31.7"" N","17°06'59.4"" E"
SAMN06619721,"~ 41° 54'
48.25"" N","~ 14° 54' 50.""
E"
SAMN06619719,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619718,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619717,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619716,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619715,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619714,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619712,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619713,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMN06619720,"~ 41° 54'
48.25"" N","~ 14° 54' 50""
E"
SAMEA104363372,NA,NA
SAMEA104363373,NA,NA
SAMEA104363374,NA,NA
SAMEA104363375,NA,NA
SAMEA104363376,NA,NA
SAMEA104363377,NA,NA
SAMEA104363378,NA,NA
SAMEA104363379,NA,NA
SAMEA104363380,NA,NA
SAMEA104363381,NA,NA
SAMEA104363382,NA,NA
SAMEA104363383,NA,NA
SAMEA104363384,NA,NA
SAMEA104363385,NA,NA
SAMEA104363386,NA,NA
SAMEA104363387,NA,NA
SAMEA104363388,NA,NA
SAMEA104363389,NA,NA
SAMEA104363390,NA,NA
SAMEA104363391,NA,NA
SAMEA104363392,NA,NA
SAMEA104363393,NA,NA
SAMEA104363394,NA,NA
SAMEA104363395,NA,NA
SAMEA104363397,NA,NA
SAMEA104363398,NA,NA
SAMEA104363399,NA,NA
SAMEA104363400,NA,NA
SAMEA104363401,NA,NA
SAMEA104363402,NA,NA
SAMEA104363403,NA,NA
SAMEA104363404,NA,NA
SAMEA104363405,NA,NA
SAMEA104363406,NA,NA
SAMEA104363408,NA,NA
SAMEA104363409,NA,NA
SAMEA104363410,NA,NA
SAMEA104363411,NA,NA
SAMEA104363412,NA,NA
SAMEA104363413,NA,NA
SAMEA104363414,NA,NA
SAMEA104363415,NA,NA
SAMEA104363416,NA,NA
SAMEA104363417,NA,NA
SAMEA104363418,NA,NA
SAMEA104363419,NA,NA
SAMEA104363420,NA,NA
SAMEA104363421,NA,NA
SAMEA104363422,NA,NA
SAMEA104363407,NA,NA
SAMEA4785141,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785142,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785143,"37°49'08.91"" N","15°16'12"" E"
SAMEA4785144,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785146,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785149,"41°58'44.3"" N","9°19'80.6"" E"
SAMEA4785145,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785147,"35°94'58.39"" N","14°38'26.19"" E"
SAMEA4785148,"35°94'58.39"" N","14°38'26.19"" E"
SAMN06619722,"~ 37° 49'
08.91"" N","~ 15° 16' 12.""
E"
