BioSample,refGenome,Organism,lat,long
SAMEA104363374,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363375,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363376,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363377,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363378,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363379,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363380,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363381,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363382,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363383,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363384,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363385,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363386,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363387,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363388,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363389,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363390,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363391,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363392,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363393,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363394,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363395,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363397,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363398,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363399,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363400,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363401,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363402,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363403,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363404,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363405,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363406,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363407,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363408,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363409,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363410,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363411,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363412,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363413,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363414,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363415,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363416,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363417,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363418,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363419,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363420,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363421,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363422,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA1317593,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317594,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317596,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317598,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317599,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317600,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317601,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317603,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317604,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317605,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317608,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317610,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317612,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317614,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317615,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1317616,GCF_002234675.1,Oryzias_latipes,34.7808837890625,137.3478240966797
SAMEA1523618,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1523619,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1523620,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1523621,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1523622,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1523623,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA1877400,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877402,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877404,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877407,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877425,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877436,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877442,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877447,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877464,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877494,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1877507,GCF_900246225.1,Astatotilapia_spp,NA,NA
